User name,Avg compilation errors,Avg logic errors,Accuracy accepted,Questions complexity,Normalized langs,Normalized code,Normalized probs,Normalized acceptance
dreamteam228,0,1.034,0.387,0.4320555556,0.0625,0.6345195338,0.0240863787,0.0188531029
rounakrajrnk,0.029,1.188,0.327,0.36925,0.1875,0.4236118827,0.1146179402,0.0848389631
vacky,0,2,0.286,0.26975,0.125,0.3435668371,0.0041528239,0.0031421838
CodePower,0.175,1.397,0.392,0.4085438596,0.75,0.2706805931,0.0523255814,0.0801256874
sahitya0000,0.071,1.786,0.3,0.2005714286,0.125,0.4658043012,0.011627907,0.0094265515
Ivan13,0.13,1.058,0.321,0.4024375,0.25,0.1282649525,0.0573089701,0.0416339356
shaktiman,0.06,1.02,0.378,0.4847653061,0.3125,0.3057234388,0.0830564784,0.0620581304
thchuan2001,0.125,2.25,0.27,0.4206875,0.125,0.4857829816,0.0132890365,0.0157109191
jorgepache,0.217,2.217,0.287,0.2126363636,0.125,0.3183417983,0.01910299,0.018067557
vred95,0.095,1.857,0.254,0.2202777778,0.125,0.4420158138,0.0174418605,0.0125687353
Rylynnn,0.022,1,0.431,0.4073333333,0.125,0.4621033622,0.0739202658,0.0667714061
prakrutijoshi10,0,0.846,0.364,0.344,0.0625,0.6098722324,0.0107973422,0.0062843676
nizky,0.143,1.286,0.316,0.463,0.125,0.6235595337,0.0058139535,0.0047132757
eKayesOrko,0.129,0.71,0.43,0.2657903226,0.3125,0.3144445512,0.0514950166,0.0384917518
Josue,0.17,0.787,0.407,0.3701914894,0.3125,0.3830133999,0.0390365449,0.034564022
EpsilonAlpha,0.102,0.602,0.549,0.2725510204,0.25,0.2108693624,0.0813953488,0.0785545954
epupkin01,0.137,1.505,0.419,0.4442102564,0.375,0.4452869301,0.1760797342,0.2388059701
sakib.cse,0,2,0.231,0.2876,0.125,0.2181023484,0.0041528239,0.0023566379
18312772931,0.03,1.624,0.341,0.3802987013,0.125,0.4367859931,0.1370431894,0.1256873527
