Username,# of Submissions,# of Problems,# of problems accepted,Accuracy accepted
dreamteam228,62,29,24,0.387
rounakrajrnk,330,138,108,0.327
vacky,14,5,4,0.286
CodePower,260,63,102,0.392
sahitya0000,40,14,12,0.3
Ivan13,165,69,53,0.321
shaktiman,209,100,79,0.378
thchuan2001,74,16,20,0.27
jorgepache,80,23,23,0.287
vred95,63,21,16,0.254
Rylynnn,197,89,85,0.431
prakrutijoshi10,22,13,8,0.364
nizky,19,7,6,0.316
eKayesOrko,114,62,49,0.43
Josue,108,47,44,0.407
EpsilonAlpha,182,98,100,0.549
epupkin01,726,212,304,0.419
sakib.cse,13,5,3,0.231
18312772931,469,165,160,0.341
FlutterWings,11,5,4,0.364
rahul4u,580,271,230,0.397
manyu.abi,18,9,4,0.222
Nybik,122,44,36,0.295
sayash,111,57,39,0.351
sailesh5,22,13,9,0.409
den_utkarsh,33,13,5,0.152
heehcs,9,3,3,0.333
danielartine,30,11,8,0.267
Ghorar_Dim,17,7,5,0.294
Lerto,49,19,13,0.265
yaroslav_ryabtsev,46,5,1,0.022
kudoshinichilike,63,29,25,0.397
lexayat,57,26,19,0.333
Mahamed.Salah,880,348,376,0.427
dmagik,106,62,60,0.566
InToYourself,97,26,16,0.165
shubham1428,52,16,17,0.327
spk,739,297,275,0.372
MrFandorin,180,64,57,0.317
BackLog_Rakib,90,52,48,0.533
jaekim708,5,4,1,0.2
utkm96,54,25,14,0.259
hichamdz,25,11,7,0.28
sarwarkhan,80,31,28,0.35
last_samurai,325,137,111,0.342
santiago17,206,67,57,0.277
eng_aang,34,15,16,0.471
Diamond_D_Capricornus,233,113,82,0.352
iiitlighthouse,27,17,12,0.444
Ru_Tornado,318,162,160,0.503
coolreshab,47,13,14,0.298
Santiago_num,54,22,24,0.444
max-zu995591,1,1,1,1
flydzt,536,262,277,0.517
jvjhfhg,53,24,28,0.528
rebornplusplus,8,5,4,0.5
Myzon,7,4,1,0.143
AgSi,251,96,101,0.402
Denissm,67,20,15,0.224
rohiit220995,1,1,1,1
1219449592,403,156,137,0.34
YoungCoder,490,168,153,0.312
krist7599555,59,25,23,0.39
terry182,241,74,73,0.303
alpah,18,12,10,0.556
saumye,300,187,174,0.58
Stole95,136,58,39,0.287
Baryshev,458,147,123,0.269
przemub,46,27,19,0.413
rishabhjoshi,112,44,35,0.312
Impy,88,42,31,0.352
Homo_Sapien_Sapien,19,8,9,0.474
deadmau5,25,6,5,0.2
Wielomian,511,362,356,0.697
kaiser.swiss,6,4,3,0.5
gautambathla,822,232,221,0.269
Hermit_Inwind,122,55,53,0.434
expecto,21,13,9,0.429
shalu1510,16,6,5,0.312
kevin841006k,47,18,13,0.277
mihirsmi,12,9,4,0.333
sevskii1111773,6,4,2,0.333
Anani_leaf,281,107,111,0.395
creepersteve7,305,123,105,0.344
dronzer,238,91,70,0.294
kevin1kevin1k,18,12,8,0.444
marvel308,779,395,343,0.44
Prosto_Proger,122,60,43,0.352
slavyan900,48,30,27,0.562
magicalcat,19,13,13,0.684
vitrums,40,18,16,0.4
Svenny,85,33,31,0.365
hollowstory,12,4,4,0.333
mwistrom,128,65,56,0.438
disa,433,149,126,0.291
t.bayguskarov,30,9,8,0.267
ZSWDXMZ,67,33,29,0.433
rishabh.jain9196,11,4,3,0.273
KtlTheBest,721,292,265,0.368
MJRT,86,24,23,0.267
glebkaable,144,73,66,0.458
off_line,2,2,2,1
hbcbs110,255,122,131,0.514
Knowledge,11,9,4,0.364
LoneRanger47,3,3,2,0.667
r9a3hul,176,66,81,0.46
mananagarwal008,4,2,2,0.5
wust_wk,168,50,55,0.327
Scarlet_Climax,36,17,16,0.444
Eslam.muhammad,229,39,34,0.148
just_for_fun_,20,9,10,0.5
iamanthonytintul,3,2,1,0.333
ddjing,23,7,5,0.217
perfectvoice,1,1,0,0
arjunrox,133,65,54,0.406
hohochicken,11,8,8,0.727
blitzkerg,6,2,0,0
Psa2001,20,9,5,0.25
sarkysaurabh,228,117,103,0.452
MD.Himel,14,9,5,0.357
S_Tomar,1,1,0,0
CUTI,6,4,2,0.333
mrigank,8,4,4,0.5
yes_I_can...,484,223,207,0.428
StRcMp,4,2,1,0.25
MRamanauskas,300,115,96,0.32
mathshenry,71,32,25,0.352
mixy,15,5,5,0.333
Interritus,50,28,21,0.42
inbarking,22,13,13,0.591
arpitism10101,2,2,1,0.5
benedemon,209,78,72,0.344
dayangxx,79,30,27,0.342
1505112,28,9,7,0.25
kudaykanth96,3,1,0,0
Rick_Chen,149,57,41,0.275
devi_shi,3,2,1,0.333
luokkaD,5,1,1,0.2
Mickey42,346,99,82,0.237
sujisuji,4,3,2,0.5
owen_creeper,11,6,5,0.455
starlord98,22,12,12,0.545
qcggg,46,14,20,0.435
giper-max1250,12,7,5,0.417
Drozd_off,6,3,2,0.333
akacoder,4,2,3,0.75
f701pseudo,18,2,1,0.056
amlatyr,6,5,2,0.333
skyfly,45,12,15,0.333
icehedgehog,1,1,1,1
xor555,9,4,3,0.333
eld,148,56,46,0.311
Ferrari101,6,1,0,0
juany360,1,1,0,0
raydensd,32,15,10,0.312
Danilka0812,14,4,1,0.071
rosteshka9475,2,1,0,0
ann_gerasimchik,2,1,0,0
nuxlear,8,2,1,0.125
P_Kyon,6,3,2,0.333
hihihihihihi,262,100,95,0.363
tafit3,956,460,414,0.433
Emarci15,293,111,94,0.321
shubham1694,1346,582,545,0.405
williamhu08,1033,477,507,0.491
NganNgu,94,31,27,0.287
opel_howard,560,301,284,0.507
corr,122,53,41,0.336
__The__Mastermind__,403,139,123,0.305
sukunrt,264,100,91,0.345
MTSranger,165,56,64,0.388
Kerim.K,4018,1204,1273,0.317
henviso,808,334,313,0.387
wizardleen,232,91,86,0.371
CS_LYJ1997,251,169,155,0.618
dergach,638,317,277,0.434
I_love_Hoang_Minh_Trang,943,349,347,0.368
dlink.uaua,448,181,134,0.299
yang12138,505,211,214,0.424
Denzed,532,253,223,0.419
lethehaiau,188,95,84,0.447
mostcleverboy,125,57,41,0.328
Ra16bit,1838,958,899,0.489
Syiml,243,112,98,0.403
hdu_justwe,45,18,28,0.622
M_H_M,1542,444,393,0.255
vippu95,456,212,208,0.456
jupanul,250,136,111,0.444
ghemnis,914,391,374,0.409
udayrocks2k8,245,80,80,0.327
Anrzej,1672,513,478,0.286
TAOCP,182,94,78,0.429
hiThere23,1223,607,586,0.479
J_X,1248,465,558,0.447
AmrMahmoud,1988,839,872,0.439
VictorForbes,119,63,58,0.487
Ping_Pong,1541,806,809,0.525
Nasic_number_one,272,186,153,0.562
chubakueno,614,252,277,0.451
arjunsanjeev7,2057,819,834,0.405
Guty,917,437,430,0.469
ACSquare,143,51,54,0.378
CHENXI1,11,7,7,0.636
Silver_Wolf,840,360,334,0.398
Efgen,183,115,105,0.574
Barcelona,105,54,43,0.41
TLKing,44,17,16,0.364
SH_HY,343,171,143,0.417
Errichto,1035,456,502,0.485
