Problem ID,Problem Name,Title Tags,Plain Tags,Number Solved
733F,Drivers Dissatisfaction,Heaps binary search trees segment trees hash tables etc|Disjoint set union|Graphs|Trees,data structures|dsu|graphs|trees,341
733E,Sleep in Class,Heaps binary search trees segment trees hash tables etc|Mathematics including integration differential equations etc|Two pointers,data structures|math|two pointers,290
733D,Kostya the Sculptor,Heaps binary search trees segment trees hash tables etc,data structures,2285
733C,Epidemic in Monstropolis,Constructive algorithms|Dynamic programming|Greedy algorithms|Two pointers,constructive algorithms|dp|greedy|two pointers,1765
733B,Parade,Mathematics including integration differential equations etc,math,5190
733A,Grasshopper And the String,Implementation problems programming technics simulation,implementation,6160
732F,Tourist Reform,Dfs and similar,dfs and similar,441
732E,Sockets,Greedy algorithms|Sortings orderings,greedy|sortings,985
732D,Exams,Binary search|Greedy algorithms|Sortings orderings,binary search|greedy|sortings,2473
732C,Sanatorium,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,4705
732B,Cormen --- The Best Friend Of a Man,Dynamic programming|Greedy algorithms,dp|greedy,6262
732A,Buy a Shovel,Brute force|Constructive algorithms|Mathematics including integration differential equations etc,brute force|constructive algorithms|math,7442
731F,Video Cards,Brute force|Heaps binary search trees segment trees hash tables etc|Implementation problems programming technics simulation|Number theory: Euler function GCD divisibility etc,brute force|data structures|implementation|number theory,1342
731E,Funny Game,Dynamic programming|Games Sprague–Grundy theorem,dp|games,542
731D,80-th Level Archeology,Brute force|Heaps binary search trees segment trees hash tables etc|Greedy algorithms|Sortings orderings,brute force|data structures|greedy|sortings,595
731C,Socks,Disjoint set union|Graphs|Greedy algorithms,dsu|graphs|greedy,2467
731B,Coupons and Discounts,Constructive algorithms|Greedy algorithms,constructive algorithms|greedy,4297
731A,Night at the Museum,Implementation problems programming technics simulation|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,implementation|strings,5689
730L,Expression Queries,,,25
730K,Roads Orientation Problem,,,23
730J,Bottles,Dynamic programming,dp,860
730I,Olympiad in Programming and Sports,Dynamic programming|Graph network flows|Greedy algorithms,dp|flows|greedy,507
730H,Delete Them,Implementation problems programming technics simulation,implementation,1548
730G,Car Repair Shop,Implementation problems programming technics simulation,implementation,1195
730F,Ber Patio,,,17
730E,Award Ceremony,Greedy algorithms,greedy,374
730D,Running Over The Bridges,Greedy algorithms|Implementation problems programming technics simulation,greedy|implementation,323
730C,Bulmart,Binary search|Dfs and similar,binary search|dfs and similar,530
730B,Minimum and Maximum,Constructive algorithms,constructive algorithms,1053
730A,Toda 2,Greedy algorithms,greedy,806
727F,Polycarp's problems,Binary search|Dynamic programming|Greedy algorithms,binary search|dp|greedy,197
727E,Games on a CD,Heaps binary search trees segment trees hash tables etc|Hashing hashtables|Suffix arrays suffix trees suffix automatas etc|Prefix- and Z-functions suffix structures Knuth–Morris–Pratt algorithm etc,data structures|hashing|string suffix structures|strings,193
727D,T-shirts Distribution,Constructive algorithms|Graph network flows|Greedy algorithms,constructive algorithms|flows|greedy,713
727C,Guess the Array,Constructive algorithms|Mathematics including integration differential equations etc,constructive algorithms|math,1485
