ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:2345
19998936,2016-08-20 17:24:24,707D - Persistent Bookcase,GNU C++11,Accepted,78 ms,15000 KB
19995492,2016-08-20 17:00:57,707A - Brain's Photos,GNU C++11,Accepted,15 ms,2000 KB
19990293,2016-08-20 16:33:03,707C - Pythagorean Triples,GNU C++11,Accepted,30 ms,2000 KB
19989696,2016-08-20 16:30:31,707C - Pythagorean Triples,GNU C++11,Wrong answer on pretest 2,0 ms,2000 KB
19987901,2016-08-20 16:22:52,707B - Bakery,GNU C++11,Accepted,77 ms,6200 KB
19984567,2016-08-20 16:11:50,707A - Brain's Photos,GNU C++11,Hacked,15 ms,2000 KB
11422050,2015-06-04 19:57:06,550C - Divisibility by Eight,GNU C++11,Accepted,31 ms,0 KB
11420668,2015-06-04 19:50:11,550B - Preparing Olympiad,GNU C++11,Accepted,15 ms,0 KB
11419350,2015-06-04 19:44:33,550A - Two Substrings,GNU C++11,Accepted,31 ms,400 KB
11418350,2015-06-04 19:40:51,550A - Two Substrings,GNU C++11,Wrong answer on pretest 2,15 ms,100 KB
11417689,2015-06-04 19:38:37,550A - Two Substrings,GNU C++11,Wrong answer on pretest 1,15 ms,100 KB
