ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1674
19698486,2016-08-07 17:47:58,704A - Thor,GNU C++11,Accepted,1372 ms,185500 KB
19697792,2016-08-07 17:43:40,704A - Thor,GNU C++11,Wrong answer on pretest 5,280 ms,178400 KB
19696418,2016-08-07 17:35:43,704A - Thor,GNU C++11,Wrong answer on pretest 5,233 ms,178400 KB
19693659,2016-08-07 17:22:52,704A - Thor,GNU C++11,Wrong answer on pretest 3,218 ms,178400 KB
19691803,2016-08-07 17:16:11,704A - Thor,GNU C++11,Wrong answer on pretest 3,218 ms,178400 KB
19667081,2016-08-06 12:33:52,663C - Graph Coloring,GNU C++11,Accepted,171 ms,8100 KB
19667070,2016-08-06 12:32:50,663C - Graph Coloring,GNU C++11,Wrong answer on test 6,15 ms,3500 KB
19666173,2016-08-06 11:45:26,663B - International Olympiad,GNU C++11,Accepted,15 ms,2000 KB
19666155,2016-08-06 11:44:46,663B - International Olympiad,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
19665984,2016-08-06 11:37:45,663B - International Olympiad,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
19665826,2016-08-06 11:29:08,663B - International Olympiad,GNU C++11,Memory limit exceeded on test 3,109 ms,262100 KB
19665480,2016-08-06 11:12:18,663B - International Olympiad,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
19665204,2016-08-06 10:58:05,663A - Rebus,GNU C++11,Accepted,15 ms,2000 KB
19648678,2016-08-05 12:26:34,703D - Mishka and Interesting sum,GNU C++11,Accepted,2027 ms,68600 KB
19639841,2016-08-05 00:44:25,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,158800 KB
19639825,2016-08-05 00:43:28,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,158800 KB
19639812,2016-08-05 00:42:24,703E - Mishka and Divisors,GNU C++11,Wrong answer on test 1,0 ms,158700 KB
19639774,2016-08-05 00:38:48,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,119500 KB
19639720,2016-08-05 00:33:08,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,119500 KB
19639686,2016-08-05 00:29:46,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,237000 KB
19639625,2016-08-05 00:24:36,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,237200 KB
19639618,2016-08-05 00:24:11,703E - Mishka and Divisors,GNU C++11,Memory limit exceeded on test 1,0 ms,262100 KB
19639609,2016-08-05 00:23:05,703E - Mishka and Divisors,GNU C++11,Time limit exceeded on test 13,1000 ms,158800 KB
19638591,2016-08-04 23:01:00,703C - Chris and Road,GNU C++11,Accepted,77 ms,2000 KB
19638532,2016-08-04 22:57:27,703C - Chris and Road,GNU C++11,Wrong answer on test 6,15 ms,2000 KB
19638349,2016-08-04 22:45:50,703B - Mishka and trip,GNU C++11,Accepted,124 ms,2500 KB
19638296,2016-08-04 22:43:15,703B - Mishka and trip,GNU C++11,Wrong answer on test 4,0 ms,2500 KB
19638273,2016-08-04 22:42:08,703B - Mishka and trip,GNU C++11,Wrong answer on test 2,0 ms,2500 KB
19638079,2016-08-04 22:34:02,703A - Mishka and Game,GNU C++11,Accepted,15 ms,2000 KB
19598420,2016-08-03 16:20:13,702F - T-Shirts,GNU C++11,Accepted,1575 ms,10300 KB
19597743,2016-08-03 15:46:14,702F - T-Shirts,GNU C++11,Wrong answer on test 1,15 ms,2400 KB
19580841,2016-08-02 17:07:25,702E - Analysis of Pathes in Functional Graph,GNU C++11,Accepted,904 ms,41500 KB
19580633,2016-08-02 16:53:56,702D - Road to Post Office,GNU C++11,Accepted,31 ms,0 KB
19580546,2016-08-02 16:49:21,702D - Road to Post Office,GNU C++11,Time limit exceeded on test 21,1000 ms,0 KB
19580532,2016-08-02 16:48:24,702D - Road to Post Office,GNU C++11,Wrong answer on test 4,15 ms,0 KB
19580372,2016-08-02 16:39:28,702C - Cellular Network,GNU C++11,Accepted,124 ms,1600 KB
