ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:2556
21320560,2016-10-09 17:21:06,665E - Beautiful Subarrays,GNU C++,Runtime error on test 19,171 ms,3600 KB
21289908,2016-10-08 16:40:30,724D - Dense Subsequence,GNU C++,Accepted,46 ms,5700 KB
21286159,2016-10-08 15:59:13,724B - Batch Sort,GNU C++,Accepted,30 ms,1800 KB
21281323,2016-10-08 15:25:56,724A - Checking the Calendar,GNU C++,Accepted,31 ms,1800 KB
20252870,2016-08-29 16:49:35,711D - Directed Roads,GNU C++,Accepted,77 ms,2200 KB
20249887,2016-08-29 16:31:52,711C - Coloring Trees,GNU C++,Accepted,31 ms,9100 KB
20237767,2016-08-29 15:35:26,711B - Chris and Magic Square,GNU C++,Accepted,93 ms,1800 KB
20236347,2016-08-29 15:30:46,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 7,15 ms,1800 KB
20231333,2016-08-29 15:14:33,711A - Bus to Udayland,GNU C++,Accepted,15 ms,0 KB
15679919,2016-01-30 17:21:56,617C - Watering Flowers,GNU C++,Wrong answer on test 7,15 ms,0 KB
15042629,2015-12-27 14:22:28,599A - Patrick and Shopping,GNU C++,Accepted,15 ms,0 KB
13576685,2015-10-12 18:21:14,585B - Phillip and Trains,GNU C++,Accepted,31 ms,0 KB
13562421,2015-10-12 12:49:44,586C - Gennady the Dentist,GNU C++,Accepted,31 ms,0 KB
13561602,2015-10-12 12:44:14,586C - Gennady the Dentist,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
13557919,2015-10-12 12:23:39,586B - Laurenty and Shop,GNU C++,Accepted,15 ms,0 KB
13556081,2015-10-12 12:15:44,586A - Alena's Schedule,GNU C++,Accepted,30 ms,0 KB
13504901,2015-10-09 10:23:31,558E - A Simple Task,GNU C++,Compilation error,0 ms,0 KB
13504834,2015-10-09 10:16:40,558E - A Simple Task,GNU C++11,Compilation error,0 ms,0 KB
13504796,2015-10-09 10:13:00,558E - A Simple Task,GNU C++11,Wrong answer on test 1,15 ms,0 KB
12839560,2015-09-04 13:28:40,359C - Prime Number,GNU C++,Wrong answer on test 5,31 ms,1200 KB
12839114,2015-09-04 12:44:30,359C - Prime Number,GNU C++,Time limit exceeded on test 5,1000 ms,1000 KB
12839026,2015-09-04 12:35:44,359C - Prime Number,GNU C++,Wrong answer on test 15,31 ms,2200 KB
12838984,2015-09-04 12:29:25,359C - Prime Number,GNU C++,Wrong answer on test 15,46 ms,2200 KB
12838936,2015-09-04 12:22:26,359C - Prime Number,GNU C++,Wrong answer on test 15,31 ms,2200 KB
12838835,2015-09-04 12:11:30,359C - Prime Number,GNU C++,Time limit exceeded on test 13,1000 ms,2200 KB
12838822,2015-09-04 12:09:22,359C - Prime Number,GNU C++,Time limit exceeded on test 5,1000 ms,2500 KB
12835985,2015-09-04 05:41:02,359C - Prime Number,GNU C++,Accepted,46 ms,4700 KB
12431341,2015-08-10 05:40:36,567A - Lineland Mail,GNU C++,Accepted,77 ms,400 KB
12173216,2015-07-22 17:44:53,559B - Equivalent Strings,GNU C++,Accepted,1434 ms,200 KB
12171211,2015-07-22 17:32:43,559B - Equivalent Strings,GNU C++,Wrong answer on pretest 3,15 ms,200 KB
12167928,2015-07-22 17:17:21,559A - Gerald's Hexagon,GNU C++,Accepted,30 ms,0 KB
12063333,2015-07-15 04:36:08,558C - Amr and Chemistry,GNU C++,Accepted,78 ms,600 KB
12055957,2015-07-14 19:45:52,558C - Amr and Chemistry,GNU C++,Wrong answer on pretest 3,0 ms,600 KB
12046213,2015-07-14 18:30:54,558B - Amr and The Large Array,GNU C++,Accepted,46 ms,11600 KB
12044327,2015-07-14 18:21:05,558A - Lala Land and Apple Trees,GNU C++,Accepted,31 ms,600 KB
11798836,2015-06-27 18:22:26,555A - Case of Matryoshkas,GNU C++,Accepted,46 ms,200 KB
11798125,2015-06-27 18:17:19,555A - Case of Matryoshkas,GNU C++,Wrong answer on pretest 8,0 ms,200 KB
11796981,2015-06-27 18:09:28,555A - Case of Matryoshkas,GNU C++,Wrong answer on pretest 8,15 ms,200 KB
11796779,2015-06-27 18:08:19,555A - Case of Matryoshkas,GNU C++,Wrong answer on pretest 1,15 ms,200 KB
11793790,2015-06-27 17:49:18,555A - Case of Matryoshkas,GNU C++,Wrong answer on pretest 8,15 ms,200 KB
11787557,2015-06-27 17:19:43,555A - Case of Matryoshkas,GNU C++,Wrong answer on pretest 6,15 ms,200 KB
