ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1412
20713120,2016-09-17 19:44:25,715C - Digit Tree,GNU C++11,Accepted,1123 ms,25200 KB
20707687,2016-09-17 18:25:14,715B - Complete The Graph,GNU C++11,Skipped,2324 ms,1600 KB
20695328,2016-09-17 17:24:47,715A - Plus and Square Root,GNU C++11,Skipped,93 ms,900 KB
20690265,2016-09-17 17:06:06,715A - Plus and Square Root,GNU C++11,Skipped,0 ms,900 KB
20594376,2016-09-13 21:20:21,713B - Searching Rectangles,GNU C++11,Accepted,30 ms,0 KB
20594041,2016-09-13 21:17:58,713B - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
20593696,2016-09-13 21:15:23,713B - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20581267,2016-09-13 20:06:36,713A - Sonya and Queries,GNU C++11,Accepted,717 ms,56800 KB
20077466,2016-08-23 08:15:48,710D - Two Arithmetic Progressions,GNU C++11,Accepted,15 ms,2000 KB
20063235,2016-08-22 18:49:42,710D - Two Arithmetic Progressions,GNU C++11,Hacked,31 ms,2000 KB
20062904,2016-08-22 18:46:52,710D - Two Arithmetic Progressions,GNU C++11,Wrong answer on test 9,15 ms,2000 KB
20061309,2016-08-22 18:33:56,710D - Two Arithmetic Progressions,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
20053796,2016-08-22 17:38:16,710C - Magic Odd Square,GNU C++11,Accepted,15 ms,2100 KB
20048551,2016-08-22 17:15:58,710B - Optimal Point on a Line,GNU C++11,Accepted,93 ms,3200 KB
20047951,2016-08-22 17:14:11,710A - King Moves,GNU C++11,Accepted,15 ms,2000 KB
19996149,2016-08-20 17:05:20,707C - Pythagorean Triples,GNU C++11,Accepted,15 ms,2000 KB
19991483,2016-08-20 16:38:41,707B - Bakery,GNU C++11,Accepted,78 ms,5900 KB
19990879,2016-08-20 16:35:42,707B - Bakery,GNU C++11,Wrong answer on pretest 3,15 ms,3300 KB
19990357,2016-08-20 16:33:19,707B - Bakery,GNU C++11,Wrong answer on pretest 12,15 ms,3300 KB
19983394,2016-08-20 16:09:39,707A - Brain's Photos,GNU C++11,Accepted,15 ms,2000 KB
19982738,2016-08-20 16:08:30,707A - Brain's Photos,GNU C++11,Skipped,15 ms,2000 KB
19803567,2016-08-11 20:42:54,706D - Vasiliy's Multiset,GNU C++11,Accepted,405 ms,79600 KB
19802539,2016-08-11 20:37:33,706E - Working routine,GNU C++11,Wrong answer on pretest 4,15 ms,18000 KB
19797115,2016-08-11 20:10:51,706D - Vasiliy's Multiset,GNU C++11,Wrong answer on pretest 5,358 ms,79600 KB
19793170,2016-08-11 19:53:05,706C - Hard problem,GNU C++11,Accepted,202 ms,9400 KB
19791376,2016-08-11 19:46:59,706B - Interesting drink,GNU C++11,Accepted,296 ms,2400 KB
19791298,2016-08-11 19:46:46,706A - Beru-taxi,GNU C++11,Wrong answer on test 41,15 ms,2000 KB
19710148,2016-08-07 19:04:14,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,15 ms,202400 KB
19709148,2016-08-07 18:58:44,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,15 ms,202400 KB
19708765,2016-08-07 18:56:06,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,3665 ms,202400 KB
19708653,2016-08-07 18:55:24,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,1825 ms,202400 KB
19708563,2016-08-07 18:54:49,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,46 ms,202400 KB
19708382,2016-08-07 18:53:36,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,15 ms,202400 KB
19708287,2016-08-07 18:52:48,705D - Ant Man,GNU C++11,Wrong answer on pretest 7,15 ms,202400 KB
19708125,2016-08-07 18:51:38,705D - Ant Man,GNU C++11,Wrong answer on pretest 4,15 ms,202400 KB
19708054,2016-08-07 18:51:10,705D - Ant Man,GNU C++11,Wrong answer on pretest 4,15 ms,202400 KB
19707990,2016-08-07 18:50:44,705D - Ant Man,GNU C++11,Wrong answer on pretest 4,15 ms,202400 KB
19707635,2016-08-07 18:48:21,705D - Ant Man,GNU C++11,Wrong answer on pretest 4,15 ms,202400 KB
19697478,2016-08-07 17:41:51,705C - Thor,GNU C++11,Accepted,404 ms,183800 KB
19695777,2016-08-07 17:32:23,705C - Thor,GNU C++11,Wrong answer on pretest 4,233 ms,182500 KB
19692540,2016-08-07 17:18:40,705B - Spider Man,GNU C++11,Accepted,436 ms,2000 KB
19688289,2016-08-07 17:08:33,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
19628055,2016-08-04 19:27:44,703B - Mishka and trip,GNU C++11,Accepted,327 ms,3700 KB
19623564,2016-08-04 18:43:00,703B - Mishka and trip,GNU C++11,Wrong answer on pretest 8,15 ms,3700 KB
19618909,2016-08-04 18:19:11,703A - Mishka and Game,GNU C++11,Accepted,15 ms,2000 KB
19344782,2016-07-22 21:14:37,701D - As Fast As Possible,GNU C++11,Accepted,15 ms,0 KB
19332906,2016-07-22 19:56:15,701C - They Are Everywhere,GNU C++11,Wrong answer on test 17,31 ms,200 KB
19330333,2016-07-22 19:46:13,701B - Cells Not Under Attack,GNU C++11,Accepted,608 ms,200 KB
19328447,2016-07-22 19:39:08,701A - Cards,GNU C++11,Accepted,15 ms,0 KB
19240713,2016-07-19 16:42:54,698B - Fix a Tree,GNU C++11,Wrong answer on pretest 5,15 ms,6300 KB
19234138,2016-07-19 16:16:40,698A - Vacations,GNU C++11,Accepted,15 ms,0 KB
19233334,2016-07-19 16:14:16,698A - Vacations,GNU C++11,Wrong answer on pretest 5,15 ms,0 KB
18807982,2016-06-29 22:01:33,688D - Remainders Game,GNU C++11,Wrong answer on pretest 5,421 ms,72400 KB
18807623,2016-06-29 21:59:18,688D - Remainders Game,GNU C++11,Runtime error on pretest 1,30 ms,54400 KB
