ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:1947
21108854,2016-10-02 11:10:05,722D - Generating Sets,GNU C++11,Accepted,374 ms,1700 KB
21084656,2016-10-01 18:07:15,722C - Destroying Array,GNU C++11,Accepted,233 ms,5500 KB
21081938,2016-10-01 17:51:04,722C - Destroying Array,GNU C++11,Time limit exceeded on pretest 5,1000 ms,35200 KB
21081367,2016-10-01 17:47:44,722C - Destroying Array,GNU C++11,Wrong answer on pretest 5,15 ms,2400 KB
21078105,2016-10-01 17:32:44,722A - Broken Clock,GNU C++11,Accepted,15 ms,0 KB
21077738,2016-10-01 17:31:17,722A - Broken Clock,GNU C++11,Wrong answer on pretest 5,15 ms,0 KB
21076209,2016-10-01 17:25:56,722B - Verse Pattern,GNU C++11,Accepted,15 ms,100 KB
20871275,2016-09-23 20:58:16,718C - Sasha and Array,GNU C++11,Accepted,2371 ms,13300 KB
20871205,2016-09-23 20:56:41,718C - Sasha and Array,GNU C++11,Wrong answer on test 6,15 ms,13300 KB
20868967,2016-09-23 20:03:20,718C - Sasha and Array,GNU C++11,Time limit exceeded on test 28,5000 ms,6700 KB
20868580,2016-09-23 19:55:46,718C - Sasha and Array,GNU C++11,Time limit exceeded on test 17,5000 ms,6700 KB
20868283,2016-09-23 19:49:58,718A - Efim and Strange Grade,GNU C++11,Accepted,31 ms,200 KB
20867957,2016-09-23 19:44:10,718A - Efim and Strange Grade,GNU C++11,Wrong answer on test 62,30 ms,200 KB
20867693,2016-09-23 19:39:26,718C - Sasha and Array,GNU C++11,Time limit exceeded on test 16,5000 ms,6700 KB
20867461,2016-09-23 19:35:46,718C - Sasha and Array,GNU C++11,Wrong answer on test 8,15 ms,5100 KB
20866181,2016-09-23 18:04:58,718C - Sasha and Array,GNU C++11,Time limit exceeded on pretest 11,5000 ms,9800 KB
20865788,2016-09-23 18:03:59,718C - Sasha and Array,GNU C++11,Wrong answer on pretest 5,15 ms,9800 KB
20864256,2016-09-23 17:57:50,718C - Sasha and Array,GNU C++11,Wrong answer on pretest 5,15 ms,9800 KB
20860738,2016-09-23 17:34:25,718C - Sasha and Array,GNU C++11,Wrong answer on pretest 5,15 ms,5100 KB
20850155,2016-09-23 16:43:09,718A - Efim and Strange Grade,GNU C++11,Wrong answer on test 12,15 ms,200 KB
20849839,2016-09-23 16:41:44,718A - Efim and Strange Grade,GNU C++11,Wrong answer on pretest 1,15 ms,200 KB
20841716,2016-09-23 16:18:00,718A - Efim and Strange Grade,GNU C++11,Hacked,15 ms,300 KB
20716131,2016-09-17 20:50:55,715B - Complete The Graph,GNU C++11,Wrong answer on test 13,15 ms,600 KB
20713530,2016-09-17 19:53:04,715B - Complete The Graph,GNU C++11,Wrong answer on test 13,15 ms,600 KB
20711816,2016-09-17 18:44:55,715B - Complete The Graph,GNU C++11,Wrong answer on pretest 13,30 ms,900 KB
20711472,2016-09-17 18:44:03,715B - Complete The Graph,GNU C++11,Wrong answer on pretest 13,15 ms,900 KB
20709856,2016-09-17 18:36:53,715B - Complete The Graph,GNU C++11,Wrong answer on pretest 13,15 ms,600 KB
20708611,2016-09-17 18:30:19,715B - Complete The Graph,GNU C++11,Wrong answer on pretest 13,15 ms,600 KB
20708164,2016-09-17 18:27:54,715B - Complete The Graph,GNU C++11,Wrong answer on pretest 9,15 ms,200 KB
20700105,2016-09-17 17:45:44,715B - Complete The Graph,GNU C++11,Time limit exceeded on pretest 6,4000 ms,200 KB
20699011,2016-09-17 17:40:22,715B - Complete The Graph,GNU C++11,Time limit exceeded on pretest 6,4000 ms,200 KB
20687674,2016-09-17 16:56:52,715A - Plus and Square Root,GNU C++11,Accepted,46 ms,0 KB
20612146,2016-09-14 14:06:33,713C - Sonya and Problem Wihtout a Legend,GNU C++11,Accepted,140 ms,71100 KB
20612030,2016-09-14 14:00:42,713C - Sonya and Problem Wihtout a Legend,GNU C++11,Time limit exceeded on test 8,5000 ms,70900 KB
20575035,2016-09-13 19:48:09,713A - Sonya and Queries,GNU C++11,Accepted,140 ms,3200 KB
19798051,2016-08-11 20:15:42,706D - Vasiliy's Multiset,GNU C++11,Accepted,217 ms,72500 KB
19796309,2016-08-11 20:06:43,706D - Vasiliy's Multiset,GNU C++11,Wrong answer on pretest 7,124 ms,72500 KB
19793736,2016-08-11 19:55:16,706C - Hard problem,GNU C++11,Accepted,202 ms,16900 KB
19789192,2016-08-11 19:41:29,706B - Interesting drink,GNU C++11,Accepted,78 ms,3100 KB
19787924,2016-08-11 19:38:00,706A - Beru-taxi,GNU C++11,Accepted,15 ms,2000 KB
19695650,2016-08-07 17:31:43,705C - Thor,GNU C++11,Accepted,264 ms,18200 KB
19692830,2016-08-07 17:19:47,705B - Spider Man,GNU C++11,Accepted,31 ms,2000 KB
19688340,2016-08-07 17:08:38,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
19688087,2016-08-07 17:08:06,705A - Hulk,GNU C,Compilation error,0 ms,0 KB
