ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:2012
21042479,2016-09-30 19:04:27,721C - Journey,GNU C++11,Runtime error on test 46,171 ms,197200 KB
21041826,2016-09-30 19:01:52,721C - Journey,GNU C++11,Memory limit exceeded on pretest 8,218 ms,262100 KB
21041197,2016-09-30 18:58:43,721C - Journey,GNU C++11,Memory limit exceeded on pretest 8,217 ms,262100 KB
21021043,2016-09-30 17:21:27,721B - Passwords,GNU C++11,Accepted,31 ms,0 KB
21017992,2016-09-30 17:12:26,721A - One-dimensional Japanese Crossword,GNU C++11,Accepted,31 ms,0 KB
21017002,2016-09-30 17:10:07,721A - One-dimensional Japanese Crossword,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
19957318,2016-08-19 07:48:51,448D - Multiplication Table,GNU C++11,Accepted,187 ms,2000 KB
19900625,2016-08-16 08:27:42,706C - Hard problem,GNU C++11,Accepted,249 ms,23900 KB
18482076,2016-06-15 00:42:52,582B - Once Again...,GNU C++11,Accepted,15 ms,2300 KB
18481749,2016-06-15 00:24:31,582B - Once Again...,GNU C++11,Wrong answer on test 3,15 ms,2200 KB
18480892,2016-06-14 23:44:46,582A - GCD Table,GNU C++11,Accepted,561 ms,3200 KB
18480791,2016-06-14 23:40:11,582A - GCD Table,GNU C++11,Wrong answer on test 37,312 ms,3000 KB
18477836,2016-06-14 22:28:22,681C - Heap Operations,GNU C++11,Accepted,857 ms,24500 KB
18474099,2016-06-14 21:14:29,681D - Gifts by the List,GNU C++11,Wrong answer on pretest 6,421 ms,17400 KB
18465982,2016-06-14 20:19:39,681C - Heap Operations,GNU C++11,Wrong answer on pretest 8,15 ms,2000 KB
18465121,2016-06-14 20:14:55,681C - Heap Operations,GNU C++11,Wrong answer on pretest 8,15 ms,2200 KB
18464400,2016-06-14 20:10:43,681C - Heap Operations,GNU C++11,Wrong answer on pretest 5,15 ms,2200 KB
18460781,2016-06-14 19:52:11,681B - Economy Game,GNU C++11,Accepted,15 ms,2200 KB
18456366,2016-06-14 19:39:03,681A - A Good Contest,GNU C++11,Accepted,31 ms,2200 KB
18329503,2016-06-08 22:42:38,680D - Bear and Tower of Cubes,GNU C++11,Accepted,15 ms,2200 KB
18329482,2016-06-08 22:41:38,680D - Bear and Tower of Cubes,GNU C++11,Time limit exceeded on test 6,2000 ms,2000 KB
18329073,2016-06-08 22:26:39,679B - Bear and Tower of Cubes,GNU C++11,Wrong answer on test 4,0 ms,2000 KB
18203617,2016-06-01 22:08:42,676E - The Last Fight Between Human and AI,GNU C++11,Wrong answer on test 87,561 ms,20400 KB
18203592,2016-06-01 22:04:00,676E - The Last Fight Between Human and AI,GNU C++11,Time limit exceeded on test 14,1000 ms,114400 KB
18197597,2016-06-01 20:46:26,677D - Vanya and Treasure,GNU C++11,Wrong answer on pretest 11,46 ms,111600 KB
18195796,2016-06-01 20:31:33,677D - Vanya and Treasure,GNU C++11,Wrong answer on pretest 4,31 ms,111500 KB
18192737,2016-06-01 20:09:26,677C - Vanya and Label,GNU C++11,Accepted,31 ms,2400 KB
18191299,2016-06-01 20:00:46,677B - Vanya and Food Processor,GNU C++11,Accepted,343 ms,3800 KB
18189989,2016-06-01 19:53:02,677B - Vanya and Food Processor,GNU C++11,Wrong answer on pretest 5,15 ms,3600 KB
18185773,2016-06-01 19:37:49,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2100 KB
18149106,2016-05-29 19:20:57,322A - Ciel and Dancing,GNU C++11,Accepted,30 ms,2200 KB
18149076,2016-05-29 19:17:21,322A - Ciel and Dancing,GNU C++11,Wrong answer on test 6,30 ms,2000 KB
18149049,2016-05-29 19:14:27,322A - Ciel and Dancing,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
18088943,2016-05-25 20:02:46,676E - The Last Fight Between Human and AI,GNU C++11,Wrong answer on test 87,545 ms,13200 KB
18088463,2016-05-25 19:59:33,676E - The Last Fight Between Human and AI,GNU C++11,Wrong answer on pretest 3,31 ms,13100 KB
18084068,2016-05-25 19:18:22,676D - Theseus and labyrinth,GNU C++11,Accepted,405 ms,47000 KB
18083422,2016-05-25 19:12:18,676D - Theseus and labyrinth,GNU C++11,Wrong answer on pretest 4,15 ms,46500 KB
18078707,2016-05-25 18:34:03,676C - Vasya and String,GNU C++11,Accepted,31 ms,3200 KB
18077394,2016-05-25 18:25:30,676B - Pyramid of Glasses,GNU C++11,Accepted,78 ms,2100 KB
18074471,2016-05-25 18:11:54,676A - Nicholas and Permutation,GNU C++11,Accepted,30 ms,2200 KB
17959331,2016-05-17 06:09:34,675C - Money Transfers,GNU C++11,Accepted,265 ms,6000 KB
17959250,2016-05-17 05:56:17,675C - Money Transfers,GNU C++11,Accepted,280 ms,6000 KB
17951942,2016-05-16 21:13:53,675D - Tree Construction,GNU C++11,Accepted,701 ms,9300 KB
17946210,2016-05-16 20:27:25,675C - Money Transfers,GNU C++11,Accepted,265 ms,9100 KB
17939683,2016-05-16 19:53:03,675B - Restoring Painting,GNU C++11,Accepted,15 ms,2200 KB
17935438,2016-05-16 19:40:57,675A - Infinite Sequence,GNU C++11,Accepted,15 ms,2200 KB
17882467,2016-05-13 03:09:38,673D - Bear and Two Paths,GNU C++11,Accepted,15 ms,2200 KB
17882456,2016-05-13 03:07:34,673D - Bear and Two Paths,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
17882449,2016-05-13 03:06:43,673A - Bear and Game,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17882412,2016-05-13 02:55:41,673D - Bear and Two Paths,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17867602,2016-05-12 03:45:58,672D - Robin Hood,GNU C++11,Accepted,202 ms,6100 KB
17867593,2016-05-12 03:44:19,672D - Robin Hood,GNU C++11,Time limit exceeded on test 36,1000 ms,6100 KB
17867277,2016-05-12 02:50:24,672C - Recycling Bottles,GNU C++11,Accepted,1746 ms,10800 KB
17867166,2016-05-12 02:23:00,672B - Different is Good,GNU C++11,Accepted,15 ms,2300 KB
17867145,2016-05-12 02:17:36,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
17817028,2016-05-09 11:19:14,652D - Nested Segments,GNU C++11,Accepted,405 ms,27800 KB
17816996,2016-05-09 11:14:51,652D - Nested Segments,GNU C++11,Wrong answer on test 52,374 ms,26700 KB
