ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:544
20055837,2016-08-22 17:50:27,710C - Magic Odd Square,GNU C++11,Wrong answer on test 3,15 ms,2100 KB
20054424,2016-08-22 17:41:54,710C - Magic Odd Square,GNU C++11,Wrong answer on test 2,15 ms,2100 KB
20054014,2016-08-22 17:39:28,710C - Magic Odd Square,GNU C++11,Wrong answer on test 2,0 ms,2100 KB
20048892,2016-08-22 17:17:00,710B - Optimal Point on a Line,GNU C++11,Accepted,841 ms,3200 KB
20048706,2016-08-22 17:16:25,710B - Optimal Point on a Line,GNU C++11,Wrong answer on test 2,0 ms,3200 KB
20048249,2016-08-22 17:15:04,710A - King Moves,GNU C++11,Accepted,15 ms,2000 KB
19702506,2016-08-07 18:12:51,704B - Ant Man,GNU C++11,Compilation error,0 ms,0 KB
19699508,2016-08-07 17:54:11,704B - Ant Man,GNU C++11,Wrong answer on pretest 7,3478 ms,2300 KB
19697855,2016-08-07 17:44:06,704B - Ant Man,GNU C++11,Wrong answer on pretest 7,3478 ms,2300 KB
19697576,2016-08-07 17:42:36,704B - Ant Man,GNU C++11,Wrong answer on pretest 7,3478 ms,2300 KB
19697104,2016-08-07 17:39:26,704B - Ant Man,GNU C++11,Wrong answer on pretest 6,15 ms,2200 KB
19696592,2016-08-07 17:36:37,704B - Ant Man,GNU C++11,Wrong answer on pretest 5,15 ms,13800 KB
19694315,2016-08-07 17:25:31,704A - Thor,GNU C++11,Accepted,1840 ms,12500 KB
19123044,2016-07-14 20:28:51,696C - PLEASE,GNU C++11,Accepted,607 ms,0 KB
19122752,2016-07-14 20:26:59,696C - PLEASE,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
19122185,2016-07-14 20:23:24,696C - PLEASE,GNU C++11,Wrong answer on pretest 2,0 ms,0 KB
19121616,2016-07-14 20:20:09,696C - PLEASE,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
19117389,2016-07-14 19:57:48,696B - Puzzles,GNU C++11,Accepted,779 ms,8600 KB
19113011,2016-07-14 19:42:45,696A - Lorenzo Von Matterhorn,GNU C++11,Accepted,46 ms,4500 KB
18806874,2016-06-29 21:54:43,687D - Dividing Kingdom II,GNU C++11,Accepted,3353 ms,17800 KB
18798618,2016-06-29 20:55:31,687C - The Values You Can Make,GNU C++11,Accepted,62 ms,300 KB
18796941,2016-06-29 20:45:56,687B - Remainders Game,GNU C++11,Time limit exceeded on test 31,1000 ms,3900 KB
18792510,2016-06-29 20:25:33,687B - Remainders Game,GNU C++11,Hacked,265 ms,3900 KB
18788724,2016-06-29 20:13:59,687A - NP-Hard Problem,GNU C++11,Accepted,452 ms,4800 KB
18676926,2016-06-23 20:16:05,686D - Kay and Snowflake,GNU C++11,Accepted,1980 ms,30500 KB
18676153,2016-06-23 20:10:40,686D - Kay and Snowflake,GNU C++11,Wrong answer on pretest 3,1543 ms,10100 KB
18674219,2016-06-23 19:59:50,686C - Robbers' watch,GNU C++11,Accepted,15 ms,0 KB
18673915,2016-06-23 19:58:31,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
18672608,2016-06-23 19:53:34,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
18668588,2016-06-23 19:40:57,686B - Little Robber Girl's Zoo,GNU C++11,Accepted,15 ms,0 KB
18667513,2016-06-23 19:37:54,686A - Free Ice Cream,GNU C++11,Accepted,15 ms,0 KB
16739963,2016-03-16 12:07:28,644A - Parliament of Berland,GNU C++11,Accepted,31 ms,400 KB
10111001,2015-03-02 11:08:57,521B - Cubes,GNU C++0x,Wrong answer on pretest 4,15 ms,2500 KB
10110697,2015-03-02 11:04:50,521B - Cubes,GNU C++0x,Wrong answer on pretest 3,15 ms,2500 KB
10110208,2015-03-02 10:58:21,521B - Cubes,GNU C++0x,Wrong answer on pretest 3,31 ms,2400 KB
10110165,2015-03-02 10:57:45,521B - Cubes,GNU C++0x,Wrong answer on pretest 1,15 ms,2400 KB
10109924,2015-03-02 10:54:34,521B - Cubes,GNU C++0x,Wrong answer on pretest 3,0 ms,2500 KB
10106487,2015-03-02 10:17:48,521A - DNA Alignment,GNU C++0x,Accepted,31 ms,300 KB
10105773,2015-03-02 10:11:45,521A - DNA Alignment,GNU C++0x,Wrong answer on pretest 10,15 ms,0 KB
9413568,2015-01-12 13:29:23,504B - Misha and Permutations Summation,GNU C++,Accepted,343 ms,3100 KB
9413528,2015-01-12 13:28:30,504B - Misha and Permutations Summation,GNU C++,Time limit exceeded on pretest 8,2000 ms,1600 KB
9413417,2015-01-12 13:25:57,504B - Misha and Permutations Summation,GNU C++,Time limit exceeded on pretest 1,2000 ms,1600 KB
