ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3627
20253085,2016-08-29 16:50:51,711C - Coloring Trees,GNU C++,Accepted,327 ms,9200 KB
20251850,2016-08-29 16:43:24,711C - Coloring Trees,GNU C++,Wrong answer on pretest 8,15 ms,9200 KB
20251616,2016-08-29 16:41:54,711C - Coloring Trees,GNU C++,Compilation error,0 ms,0 KB
20251274,2016-08-29 16:40:01,711C - Coloring Trees,GNU C++,Wrong answer on pretest 8,15 ms,9200 KB
20246409,2016-08-29 16:12:35,711C - Coloring Trees,GNU C++,Wrong answer on pretest 8,15 ms,9200 KB
20246035,2016-08-29 16:10:41,711C - Coloring Trees,GNU C++,Wrong answer on pretest 8,15 ms,9100 KB
20238015,2016-08-29 15:36:15,711B - Chris and Magic Square,GNU C++,Accepted,249 ms,2000 KB
20236373,2016-08-29 15:30:52,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
20235658,2016-08-29 15:28:30,711B - Chris and Magic Square,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
20231982,2016-08-29 15:16:25,711A - Bus to Udayland,GNU C++,Accepted,31 ms,23500 KB
19950575,2016-08-18 20:26:55,540D - Bad Luck Island,GNU C++11,Accepted,46 ms,56400 KB
19948083,2016-08-18 17:39:10,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,58300 KB
19948056,2016-08-18 17:37:15,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,58200 KB
19947969,2016-08-18 17:32:26,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,51800 KB
19947906,2016-08-18 17:28:51,703D - Mishka and Interesting sum,GNU C++,Time limit exceeded on test 14,3500 ms,51800 KB
19947877,2016-08-18 17:27:04,703D - Mishka and Interesting sum,GNU C++11,Time limit exceeded on test 14,3500 ms,51800 KB
19947850,2016-08-18 17:25:35,703D - Mishka and Interesting sum,GNU C++11,Time limit exceeded on test 14,3500 ms,51800 KB
17858590,2016-05-11 20:58:32,672D - Robin Hood,GNU C++11,Accepted,421 ms,8700 KB
17857671,2016-05-11 20:49:54,672D - Robin Hood,GNU C++11,Wrong answer on pretest 6,15 ms,2000 KB
17855069,2016-05-11 20:24:42,672C - Recycling Bottles,GNU C++11,Wrong answer on test 45,155 ms,3000 KB
17850626,2016-05-11 19:54:00,672B - Different is Good,GNU C++11,Accepted,46 ms,2300 KB
17848869,2016-05-11 19:46:52,672B - Different is Good,GNU C++11,Wrong answer on pretest 8,15 ms,2300 KB
17847128,2016-05-11 19:40:54,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
17586351,2016-04-29 23:55:34,667C - Reberland Linguistics,GNU C++11,Accepted,31 ms,4800 KB
17586141,2016-04-29 23:39:05,667C - Reberland Linguistics,GNU C++11,Wrong answer on test 42,31 ms,3300 KB
17586077,2016-04-29 23:33:00,667C - Reberland Linguistics,GNU C++11,Wrong answer on test 6,15 ms,2800 KB
17585868,2016-04-29 23:14:35,667C - Reberland Linguistics,GNU C++11,Wrong answer on test 6,15 ms,3000 KB
17585476,2016-04-29 22:50:02,667C - Reberland Linguistics,GNU C++11,Wrong answer on test 4,15 ms,4000 KB
17585395,2016-04-29 22:45:32,667C - Reberland Linguistics,GNU C++11,Wrong answer on test 6,15 ms,2400 KB
8872316,2014-11-27 19:57:40,383D - Antimatter,GNU C++0x,Accepted,342 ms,157800 KB
8587476,2014-11-06 12:54:55,484B - Maximum Value,GNU C++0x,Accepted,670 ms,6000 KB
8587279,2014-11-06 12:39:58,484B - Maximum Value,GNU C++0x,Wrong answer on test 22,499 ms,6000 KB
8587255,2014-11-06 12:38:02,484B - Maximum Value,GNU C++0x,Wrong answer on test 4,15 ms,3900 KB
8587224,2014-11-06 12:35:41,484B - Maximum Value,GNU C++0x,Wrong answer on test 4,15 ms,3900 KB
8516581,2014-11-01 21:21:28,479E - Riding in a Lift,GNU C++0x,Accepted,811 ms,196100 KB
8516555,2014-11-01 21:18:30,479E - Riding in a Lift,GNU C++0x,Wrong answer on test 51,841 ms,196100 KB
8516532,2014-11-01 21:16:56,479E - Riding in a Lift,GNU C++0x,Wrong answer on test 51,873 ms,196100 KB
8516336,2014-11-01 20:58:49,479E - Riding in a Lift,GNU C++0x,Wrong answer on test 9,139 ms,196100 KB
8240345,2014-10-15 22:16:53,475D - CGCDSSQ,GNU C++0x,Accepted,842 ms,8400 KB
8231713,2014-10-15 00:10:08,346B - Lucky Common Subsequence,GNU C++0x,Accepted,30 ms,18300 KB
