ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:2170
21694960,2016-10-23 01:14:58,725D - Contest Balloons,Java 8,Accepted,920 ms,31200 KB
21689906,2016-10-22 20:34:59,725D - Contest Balloons,Java 8,Time limit exceeded on pretest 9,3000 ms,79100 KB
21689809,2016-10-22 20:34:38,725D - Contest Balloons,Java 8,Time limit exceeded on pretest 9,3000 ms,79100 KB
21689523,2016-10-22 20:32:28,725D - Contest Balloons,Java 8,Time limit exceeded on pretest 9,3000 ms,79100 KB
21689331,2016-10-22 20:30:40,725D - Contest Balloons,Java 8,Time limit exceeded on pretest 9,3000 ms,79100 KB
21687643,2016-10-22 20:24:26,725D - Contest Balloons,Java 8,Time limit exceeded on pretest 9,3000 ms,38300 KB
21685094,2016-10-22 19:52:41,725C - Hidden Word,Java 8,Accepted,140 ms,0 KB
21672556,2016-10-22 18:17:00,725B - Food on the Plane,Java 8,Accepted,140 ms,0 KB
21670371,2016-10-22 18:08:35,725A - Jumping Ball,Java 8,Accepted,124 ms,0 KB
21454638,2016-10-15 14:03:58,727F - Polycarp's problems,Java 8,Time limit exceeded on pretest 7,2000 ms,40100 KB
21453620,2016-10-15 13:55:01,727F - Polycarp's problems,Java 8,Time limit exceeded on pretest 7,2000 ms,38500 KB
21450183,2016-10-15 13:20:15,727D - T-shirts Distribution,Java 8,Accepted,186 ms,20100 KB
21447181,2016-10-15 12:50:18,727D - T-shirts Distribution,Java 8,Wrong answer on pretest 3,124 ms,20000 KB
21445508,2016-10-15 12:34:00,727C - Guess the Array,Java 8,Accepted,311 ms,20100 KB
21444539,2016-10-15 12:24:21,727B - Bill Total Value,Java 8,Accepted,124 ms,20000 KB
21443726,2016-10-15 12:16:56,727A - Transformation: from A to B,Java 8,Accepted,187 ms,23800 KB
21290919,2016-10-08 16:52:37,724D - Dense Subsequence,Java 8,Accepted,171 ms,20000 KB
21288811,2016-10-08 16:27:53,724C - Ray Tracing,Java 8,Accepted,498 ms,58500 KB
21285168,2016-10-08 15:49:37,724B - Batch Sort,Java 8,Accepted,202 ms,20000 KB
