ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3369
21048459,2016-09-30 21:57:28,721D - Maxim and Array,GNU C++11,Accepted,717 ms,4600 KB
21048400,2016-09-30 21:55:04,721D - Maxim and Array,GNU C++11,Wrong answer on test 9,451 ms,2300 KB
21048341,2016-09-30 21:53:05,721D - Maxim and Array,GNU C++11,Wrong answer on test 9,451 ms,2300 KB
21047802,2016-09-30 21:34:32,721D - Maxim and Array,GNU C++11,Wrong answer on test 6,608 ms,1500 KB
21047559,2016-09-30 21:25:50,721D - Maxim and Array,GNU C++11,Wrong answer on test 6,452 ms,1500 KB
21047545,2016-09-30 21:25:03,721D - Maxim and Array,GNU C++11,Compilation error,0 ms,0 KB
21044463,2016-09-30 20:11:36,721D - Maxim and Array,GNU C++11,Wrong answer on test 6,498 ms,1500 KB
21044221,2016-09-30 20:07:28,721D - Maxim and Array,GNU C++11,Wrong answer on test 6,467 ms,1500 KB
21043832,2016-09-30 20:01:51,721C - Journey,GNU C++11,Accepted,498 ms,99200 KB
21043726,2016-09-30 20:00:39,721C - Journey,GNU C++11,Wrong answer on test 14,46 ms,600 KB
21043426,2016-09-30 19:56:11,721D - Maxim and Array,GNU C++11,Wrong answer on test 6,483 ms,1500 KB
21042068,2016-09-30 19:03:04,721D - Maxim and Array,GNU C++11,Wrong answer on pretest 2,30 ms,0 KB
21034116,2016-09-30 18:18:55,721C - Journey,GNU C++11,Wrong answer on test 14,31 ms,600 KB
21032249,2016-09-30 18:08:38,721C - Journey,GNU C++11,Memory limit exceeded on pretest 11,234 ms,262100 KB
21030697,2016-09-30 18:00:49,721C - Journey,GNU C++11,Memory limit exceeded on pretest 11,264 ms,262100 KB
21029545,2016-09-30 17:55:07,721C - Journey,GNU C++11,Memory limit exceeded on pretest 11,217 ms,262100 KB
21029327,2016-09-30 17:54:05,721C - Journey,GNU C++11,Memory limit exceeded on pretest 11,202 ms,262100 KB
21021079,2016-09-30 17:21:34,721B - Passwords,GNU C++11,Accepted,31 ms,0 KB
21018173,2016-09-30 17:12:53,721A - One-dimensional Japanese Crossword,GNU C++11,Accepted,31 ms,0 KB
20906380,2016-09-25 14:12:36,719C - Efim and Strange Grade,GNU C++11,Accepted,93 ms,500 KB
20906361,2016-09-25 14:11:22,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20906340,2016-09-25 14:10:02,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 12,62 ms,500 KB
20906297,2016-09-25 14:08:13,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 4,15 ms,0 KB
20906240,2016-09-25 14:05:29,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20905812,2016-09-25 13:38:16,719B - Anatoly and Cockroaches,GNU C++11,Accepted,46 ms,200 KB
20905652,2016-09-25 13:29:24,719A - Vitya in the Countryside,GNU C++11,Accepted,15 ms,0 KB
20627788,2016-09-15 00:39:48,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20627752,2016-09-15 00:34:53,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20627688,2016-09-15 00:27:39,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20627480,2016-09-15 00:03:53,714D - Searching Rectangles,GNU C++11,Wrong answer on test 17,15 ms,300 KB
20627334,2016-09-14 23:51:16,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20598820,2016-09-13 23:16:13,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20598704,2016-09-13 23:12:34,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20598651,2016-09-13 23:10:58,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20598577,2016-09-13 23:09:01,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20598470,2016-09-13 23:06:08,714D - Searching Rectangles,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20598101,2016-09-13 22:58:06,714D - Searching Rectangles,GNU C++11,Wrong answer on test 4,15 ms,0 KB
20598017,2016-09-13 22:56:29,714D - Searching Rectangles,GNU C++11,Wrong answer on test 4,15 ms,0 KB
20597849,2016-09-13 22:53:16,714D - Searching Rectangles,GNU C++11,Wrong answer on test 4,15 ms,0 KB
20597311,2016-09-13 22:44:50,714D - Searching Rectangles,GNU C++11,Wrong answer on test 4,15 ms,0 KB
20597287,2016-09-13 22:44:12,713B - Searching Rectangles,GNU C++11,Wrong answer on test 4,15 ms,0 KB
20596550,2016-09-13 21:33:45,714D - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20595534,2016-09-13 21:28:03,714D - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20595034,2016-09-13 21:24:42,714D - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,31 ms,0 KB
20594321,2016-09-13 21:20:01,714D - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20593955,2016-09-13 21:17:20,714D - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20593381,2016-09-13 21:12:43,714D - Searching Rectangles,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20583897,2016-09-13 20:16:54,714C - Sonya and Queries,GNU C++11,Accepted,608 ms,4100 KB
20580403,2016-09-13 20:03:21,714B - Filya and Homework,GNU C++11,Accepted,249 ms,3100 KB
20580135,2016-09-13 20:02:27,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20579398,2016-09-13 20:00:09,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,0 ms,0 KB
20578534,2016-09-13 19:57:30,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20578018,2016-09-13 19:56:01,714B - Filya and Homework,GNU C++11,Wrong answer on pretest 3,15 ms,0 KB
20573723,2016-09-13 19:45:00,714A - Meeting of Old Friends,GNU C++11,Accepted,31 ms,0 KB
20263163,2016-08-29 22:30:25,711E - ZS and The Birthday Paradox,GNU C++11,Wrong answer on test 2,0 ms,0 KB
20263093,2016-08-29 22:27:12,711E - ZS and The Birthday Paradox,GNU C++11,Accepted,31 ms,0 KB
20263073,2016-08-29 22:26:05,711E - ZS and The Birthday Paradox,GNU C++11,Time limit exceeded on test 3,2000 ms,0 KB
20263052,2016-08-29 22:25:01,711E - ZS and The Birthday Paradox,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20263018,2016-08-29 22:23:30,711E - ZS and The Birthday Paradox,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20262986,2016-08-29 22:22:24,711E - ZS and The Birthday Paradox,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20262292,2016-08-29 21:47:21,711E - ZS and The Birthday Paradox,GNU C++11,Accepted,31 ms,0 KB
20252627,2016-08-29 16:48:08,711D - Directed Roads,GNU C++11,Accepted,452 ms,1600 KB
20246395,2016-08-29 16:12:31,711C - Coloring Trees,GNU C++11,Accepted,373 ms,8100 KB
20240614,2016-08-29 15:46:35,711B - Chris and Magic Square,GNU C++11,Accepted,1138 ms,2100 KB
20239964,2016-08-29 15:44:08,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
20239032,2016-08-29 15:40:04,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
20237083,2016-08-29 15:33:15,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
20230607,2016-08-29 15:12:49,711A - Bus to Udayland,GNU C++11,Accepted,31 ms,0 KB
20143553,2016-08-25 07:47:29,709D - Recover the String,GNU C++11,Accepted,31 ms,2100 KB
20143505,2016-08-25 07:44:44,709D - Recover the String,GNU C++11,Runtime error on test 15,31 ms,2100 KB
20131601,2016-08-24 21:24:27,709D - Recover the String,GNU C++11,Runtime error on test 15,31 ms,2100 KB
20130090,2016-08-24 21:13:35,709D - Recover the String,GNU C++11,Wrong answer on pretest 4,15 ms,2000 KB
20127263,2016-08-24 20:54:18,709D - Recover the String,GNU C++11,Wrong answer on pretest 4,15 ms,2000 KB
20119019,2016-08-24 20:10:02,709C - Letters Cyclic Shift,GNU C++11,Accepted,31 ms,2300 KB
20118193,2016-08-24 20:06:43,709C - Letters Cyclic Shift,GNU C++11,Wrong answer on pretest 7,15 ms,2000 KB
20116940,2016-08-24 20:01:55,709B - Checkpoints,GNU C++11,Accepted,234 ms,2800 KB
20112392,2016-08-24 19:45:23,709A - Juicer,GNU C++11,Accepted,202 ms,2000 KB
19820860,2016-08-12 09:25:05,706E - Working routine,GNU C++11,Accepted,1996 ms,42300 KB
19820801,2016-08-12 09:22:05,706E - Working routine,GNU C++11,Accepted,1606 ms,34100 KB
19820726,2016-08-12 09:18:14,706E - Working routine,GNU C++11,Time limit exceeded on test 10,2500 ms,34100 KB
19820407,2016-08-12 09:02:29,706E - Working routine,GNU C++11,Time limit exceeded on test 10,2500 ms,41900 KB
19820338,2016-08-12 08:58:55,706E - Working routine,GNU C++11,Time limit exceeded on test 10,2500 ms,41900 KB
19820297,2016-08-12 08:56:11,706E - Working routine,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
19804347,2016-08-11 20:47:34,706D - Vasiliy's Multiset,GNU C++11,Accepted,1060 ms,52300 KB
19803581,2016-08-11 20:42:58,706D - Vasiliy's Multiset,GNU C++11,Runtime error on pretest 5,857 ms,27600 KB
19803353,2016-08-11 20:41:44,706D - Vasiliy's Multiset,GNU C++11,Runtime error on pretest 5,858 ms,27600 KB
19801763,2016-08-11 20:33:53,706D - Vasiliy's Multiset,GNU C++11,Runtime error on pretest 5,857 ms,27600 KB
19796515,2016-08-11 20:07:43,706C - Hard problem,GNU C++11,Accepted,202 ms,10700 KB
19791417,2016-08-11 19:47:05,706B - Interesting drink,GNU C++11,Accepted,654 ms,3100 KB
19788698,2016-08-11 19:40:31,706A - Beru-taxi,GNU C++11,Accepted,31 ms,2100 KB
19336087,2016-07-22 20:11:41,701C - They Are Everywhere,GNU C++11,Accepted,62 ms,300 KB
19333473,2016-07-22 19:58:59,701B - Cells Not Under Attack,GNU C++11,Accepted,733 ms,7100 KB
19331080,2016-07-22 19:48:31,701A - Cards,GNU C++11,Accepted,15 ms,0 KB
18687141,2016-06-23 22:39:31,686D - Kay and Snowflake,GNU C++11,Accepted,452 ms,41100 KB
18677927,2016-06-23 20:23:31,686C - Robbers' watch,GNU C++,Accepted,186 ms,0 KB
18676968,2016-06-23 20:16:26,686C - Robbers' watch,GNU C++,Wrong answer on pretest 11,15 ms,0 KB
18673828,2016-06-23 19:58:14,686A - Free Ice Cream,GNU C++,Accepted,15 ms,0 KB
18673092,2016-06-23 19:55:20,686B - Little Robber Girl's Zoo,GNU C++,Accepted,15 ms,0 KB
18670216,2016-06-23 19:45:05,686A - Free Ice Cream,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
18433330,2016-06-13 21:15:13,678E - Another Sith Tournament,GNU C++,Accepted,1122 ms,36800 KB
18433264,2016-06-13 21:13:48,678E - Another Sith Tournament,GNU C++,Accepted,1092 ms,36800 KB
18433117,2016-06-13 21:11:22,678E - Another Sith Tournament,GNU C++,Accepted,1013 ms,36800 KB
18432612,2016-06-13 21:06:42,678E - Another Sith Tournament,GNU C++,Wrong answer on test 2,0 ms,38800 KB
18318497,2016-06-08 20:38:38,680C - Bear and Prime 100,GNU C++,Accepted,15 ms,2200 KB
18318217,2016-06-08 20:37:17,680C - Bear and Prime 100,GNU C++,Compilation error,0 ms,0 KB
18309882,2016-06-08 20:00:35,680B - Bear and Finding Criminals,GNU C++,Accepted,15 ms,2200 KB
18304447,2016-06-08 19:44:03,680A - Bear and Five Cards,GNU C++,Accepted,15 ms,2200 KB
4190336,2013-07-27 18:54:28,334B - Eight Point Sets,GNU C++,Accepted,30 ms,100 KB
4190325,2013-07-27 18:52:38,334B - Eight Point Sets,GNU C++,Wrong answer on test 1,0 ms,0 KB
4190251,2013-07-27 18:43:36,334B - Eight Point Sets,GNU C++,Compilation error,0 ms,0 KB
4190025,2013-07-27 18:18:31,334A - Candy Bags,GNU C++,Accepted,30 ms,0 KB
4151621,2013-07-24 20:26:20,332B - Maximum Absurdity,GNU C++,Accepted,406 ms,3900 KB
4151557,2013-07-24 20:25:46,332B - Maximum Absurdity,GNU C++,Wrong answer on pretest 8,156 ms,1900 KB
4149675,2013-07-24 19:59:34,332B - Maximum Absurdity,GNU C++,Wrong answer on pretest 8,156 ms,1200 KB
4148399,2013-07-24 19:40:59,332A - Down the Hatch!,GNU C++,Accepted,15 ms,0 KB
1398511,2012-03-23 22:10:59,166C - Median,GNU C++,Accepted,30 ms,1400 KB
1398487,2012-03-23 22:09:52,166C - Median,GNU C++,Wrong answer on test 9,30 ms,1400 KB
1398291,2012-03-23 22:02:23,166C - Median,GNU C++,Time limit exceeded on test 1,2000 ms,1300 KB
1398155,2012-03-23 21:57:32,166A - Rank List,GNU C++,Accepted,30 ms,1400 KB
1394531,2012-03-23 20:34:24,166E - Tetrahedron,GNU C++,Accepted,30 ms,1400 KB
1394440,2012-03-23 20:33:08,166E - Tetrahedron,GNU C++,Compilation error,0 ms,0 KB
1394390,2012-03-23 20:32:29,166E - Tetrahedron,GNU C++,Compilation error,0 ms,0 KB
1393635,2012-03-23 20:21:13,166C - Median,GNU C++,Wrong answer on test 9,30 ms,1400 KB
1389968,2012-03-23 19:36:52,166A - Rank List,GNU C++,Wrong answer on test 13,30 ms,1400 KB
639192,2011-08-26 18:55:58,47A - Triangular numbers,GNU C++,Accepted,30 ms,1300 KB
495331,2011-06-17 10:21:31,89A - Robbery,GNU C++,Accepted,30 ms,1400 KB
495329,2011-06-17 10:20:57,89A - Robbery,GNU C++,Compilation error,0 ms,0 KB
495328,2011-06-17 10:20:20,89A - Robbery,GNU C++,Compilation error,0 ms,0 KB
495325,2011-06-17 10:17:55,89A - Robbery,GNU C++,Wrong answer on test 15,30 ms,1400 KB
495323,2011-06-17 10:17:21,89A - Robbery,GNU C++,Wrong answer on test 15,10 ms,1400 KB
495320,2011-06-17 10:16:31,89A - Robbery,GNU C++,Wrong answer on test 2,10 ms,1400 KB
495317,2011-06-17 10:15:56,89A - Robbery,GNU C++,Compilation error,0 ms,0 KB
495316,2011-06-17 10:14:53,89A - Robbery,GNU C++,Wrong answer on test 12,10 ms,1400 KB
495308,2011-06-17 10:08:58,89A - Robbery,GNU C++,Wrong answer on test 9,30 ms,1400 KB
490739,2011-06-16 19:34:27,89A - Robbery,GNU C++,Hacked,10 ms,1400 KB
490391,2011-06-16 19:27:04,89A - Robbery,GNU C++,Wrong answer on pretest 3,10 ms,1400 KB
482133,2011-06-07 23:45:20,87C - Interesting Game,GNU C++,Accepted,250 ms,2100 KB
482124,2011-06-07 23:42:25,87C - Interesting Game,GNU C++,Accepted,250 ms,2100 KB
482093,2011-06-07 23:34:06,87C - Interesting Game,GNU C++,Wrong answer on test 7,30 ms,1300 KB
482085,2011-06-07 23:32:14,87C - Interesting Game,GNU C++,Wrong answer on test 2,10 ms,1300 KB
481980,2011-06-07 22:54:18,87B - Vasya and Types,GNU C++,Accepted,30 ms,1400 KB
481974,2011-06-07 22:52:23,87B - Vasya and Types,GNU C++,Wrong answer on test 11,30 ms,1400 KB
481825,2011-06-07 22:16:59,87A - Trains,GNU C++,Accepted,30 ms,1300 KB
481812,2011-06-07 22:14:01,87A - Trains,GNU C++,Wrong answer on test 18,30 ms,1300 KB
471591,2011-05-28 16:17:29,85B - Embassy Queue,GNU C++,Accepted,190 ms,3300 KB
471589,2011-05-28 16:16:13,85B - Embassy Queue,GNU C++,Runtime error on test 41,190 ms,4100 KB
471569,2011-05-28 15:39:08,85A - Domino,GNU C++,Accepted,30 ms,1400 KB
441472,2011-05-06 23:49:15,82B - Sets,GNU C++,Accepted,50 ms,1600 KB
439913,2011-05-06 20:45:37,82D - Two out of Three,GNU C++,Accepted,60 ms,13300 KB
439408,2011-05-06 20:34:20,82D - Two out of Three,GNU C++,Wrong answer on pretest 3,30 ms,13200 KB
436670,2011-05-06 19:39:35,82B - Sets,GNU C++,Hacked,10 ms,1400 KB
434876,2011-05-06 19:10:40,82A - Double Cola,GNU C++,Accepted,30 ms,1300 KB
434706,2011-05-06 19:08:35,82A - Double Cola,GNU C++,Wrong answer on pretest 5,10 ms,1300 KB
420508,2011-05-01 02:55:18,79C - Beaver,GNU C++,Accepted,110 ms,1900 KB
420499,2011-05-01 02:47:04,79C - Beaver,GNU C++,Wrong answer on test 8,10 ms,1400 KB
