ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:790
21690885,2016-10-22 21:39:37,725E - Too Much Money,GNU C++11,Wrong answer on test 2,0 ms,3300 KB
21690685,2016-10-22 21:35:51,725E - Too Much Money,GNU C++11,Time limit exceeded on test 5,2000 ms,2500 KB
21685687,2016-10-22 19:59:35,725E - Too Much Money,GNU C++11,Wrong answer on pretest 3,0 ms,2600 KB
21682100,2016-10-22 19:32:02,725C - Hidden Word,GNU C++11,Accepted,30 ms,0 KB
21681273,2016-10-22 19:23:19,725D - Contest Balloons,GNU C++11,Accepted,327 ms,23200 KB
21678849,2016-10-22 19:00:26,725C - Hidden Word,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
21678305,2016-10-22 18:55:56,725C - Hidden Word,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
21671566,2016-10-22 18:12:26,725A - Jumping Ball,GNU C++11,Accepted,31 ms,400 KB
21671035,2016-10-22 18:10:31,725B - Food on the Plane,GNU C++11,Accepted,31 ms,0 KB
21091327,2016-10-01 18:59:52,722B - Verse Pattern,GNU C++11,Accepted,15 ms,0 KB
21083962,2016-10-01 18:02:40,722D - Generating Sets,GNU C++11,Accepted,841 ms,30300 KB
21075875,2016-10-01 17:24:56,722C - Destroying Array,GNU C++11,Accepted,264 ms,7800 KB
21073463,2016-10-01 17:17:41,722B - Verse Pattern,GNU C++11,Hacked,15 ms,0 KB
21071336,2016-10-01 17:11:30,722A - Broken Clock,GNU C++11,Accepted,15 ms,0 KB
21070899,2016-10-01 17:09:03,722A - Broken Clock,GNU C++11,Wrong answer on pretest 5,15 ms,0 KB
20714648,2016-09-17 20:14:12,716A - Crazy Computer,GNU C++11,Accepted,46 ms,400 KB
20714561,2016-09-17 20:12:40,716A - Crazy Computer,GNU C++11,Wrong answer on test 62,46 ms,400 KB
20714538,2016-09-17 20:12:13,716A - Crazy Computer,GNU C++11,Wrong answer on test 3,15 ms,400 KB
20714388,2016-09-17 20:09:14,716B - Complete the Word,GNU C++11,Accepted,31 ms,100 KB
