ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:3243
21717432,2016-10-23 19:42:50,484E - Sign on Fence,GNU C++,Accepted,1450 ms,72000 KB
21239822,2016-10-06 18:57:13,723C - Polycarp at the Radio,GNU C++,Accepted,15 ms,0 KB
21239430,2016-10-06 18:41:42,723C - Polycarp at the Radio,GNU C++,Wrong answer on test 12,15 ms,0 KB
21238513,2016-10-06 18:03:47,723B - Text Document Analysis,GNU C++,Accepted,15 ms,0 KB
21238053,2016-10-06 17:46:57,723A - The New Year: Meeting Friends,GNU C++,Accepted,15 ms,0 KB
21090364,2016-10-01 18:52:01,722D - Generating Sets,GNU C++,Accepted,343 ms,20100 KB
21087709,2016-10-01 18:29:15,722C - Destroying Array,GNU C++,Accepted,108 ms,3200 KB
21083584,2016-10-01 18:00:21,722C - Destroying Array,GNU C++,Time limit exceeded on pretest 13,1000 ms,1600 KB
21082062,2016-10-01 17:51:45,722C - Destroying Array,GNU C++,Time limit exceeded on pretest 4,1000 ms,1200 KB
21081709,2016-10-01 17:49:44,722C - Destroying Array,GNU C++,Time limit exceeded on pretest 13,1000 ms,1600 KB
21080994,2016-10-01 17:45:41,722C - Destroying Array,GNU C++,Wrong answer on pretest 5,15 ms,1200 KB
21080026,2016-10-01 17:41:03,722C - Destroying Array,GNU C++,Wrong answer on pretest 5,15 ms,1200 KB
21075646,2016-10-01 17:24:16,722B - Verse Pattern,GNU C++,Accepted,15 ms,0 KB
21071709,2016-10-01 17:12:51,722A - Broken Clock,GNU C++,Accepted,15 ms,0 KB
21043615,2016-09-30 19:59:10,721C - Journey,GNU C++,Time limit exceeded on test 11,3000 ms,98400 KB
21043452,2016-09-30 19:56:39,721C - Journey,GNU C++,Memory limit exceeded on test 1,93 ms,262100 KB
21038672,2016-09-30 18:45:08,721D - Maxim and Array,GNU C++,Accepted,186 ms,25700 KB
21038030,2016-09-30 18:41:06,721D - Maxim and Array,GNU C++,Wrong answer on pretest 8,109 ms,25700 KB
21023871,2016-09-30 17:30:56,721B - Passwords,GNU C++,Accepted,31 ms,0 KB
21023290,2016-09-30 17:28:52,721B - Passwords,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
