ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8122
19488741,2016-07-29 18:38:29,702B - Powers of Two,GNU C++11,Time limit exceeded on test 14,3000 ms,800 KB
19482795,2016-07-29 18:04:43,702A - Maximum Increase,GNU C++11,Accepted,31 ms,400 KB
18691409,2016-06-24 03:38:10,686C - Robbers' watch,GNU C++11,Accepted,15 ms,0 KB
18691396,2016-06-24 03:36:24,686C - Robbers' watch,GNU C++11,Wrong answer on test 28,15 ms,0 KB
18691376,2016-06-24 03:33:37,686C - Robbers' watch,GNU C++11,Wrong answer on test 4,15 ms,0 KB
18686345,2016-06-23 21:34:33,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 11,15 ms,0 KB
18685345,2016-06-23 21:28:17,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 11,15 ms,0 KB
18683678,2016-06-23 21:13:46,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 11,15 ms,0 KB
18681141,2016-06-23 20:50:15,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 6,15 ms,0 KB
18680157,2016-06-23 20:42:13,686C - Robbers' watch,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
18675177,2016-06-23 20:04:35,686B - Little Robber Girl's Zoo,GNU C++11,Accepted,15 ms,0 KB
18673194,2016-06-23 19:55:43,686B - Little Robber Girl's Zoo,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
18667897,2016-06-23 19:39:27,686A - Free Ice Cream,GNU C++11,Accepted,15 ms,0 KB
18559628,2016-06-17 20:49:22,682C - Alyona and the Tree,GNU C++11,Accepted,62 ms,8300 KB
18557070,2016-06-17 20:28:36,682C - Alyona and the Tree,GNU C++11,Wrong answer on pretest 3,15 ms,3500 KB
18556730,2016-06-17 20:25:59,682C - Alyona and the Tree,GNU C++11,Compilation error,0 ms,0 KB
18551027,2016-06-17 19:54:19,682B - Alyona and Mex,GNU C++11,Accepted,46 ms,400 KB
18549025,2016-06-17 19:46:13,682A - Alyona and Numbers,GNU C++11,Accepted,30 ms,0 KB
18548294,2016-06-17 19:43:04,682A - Alyona and Numbers,GNU C++11,Wrong answer on pretest 8,0 ms,0 KB
18194726,2016-06-01 20:23:27,677C - Vanya and Label,GNU C++11,Accepted,15 ms,2300 KB
18191063,2016-06-01 19:59:23,677B - Vanya and Food Processor,GNU C++11,Accepted,46 ms,3000 KB
18190081,2016-06-01 19:53:29,677B - Vanya and Food Processor,GNU C++11,Time limit exceeded on pretest 8,1000 ms,2400 KB
18187389,2016-06-01 19:40:27,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2200 KB
18102152,2016-05-26 13:19:54,676D - Theseus and labyrinth,GNU C++11,Wrong answer on test 4,0 ms,4000 KB
18101132,2016-05-26 12:06:12,676C - Vasya and String,GNU C++11,Accepted,31 ms,2300 KB
18094961,2016-05-26 02:53:45,676B - Pyramid of Glasses,GNU C++11,Accepted,15 ms,2200 KB
18084334,2016-05-25 19:20:58,676D - Theseus and labyrinth,GNU C++11,Wrong answer on pretest 3,15 ms,7900 KB
18077091,2016-05-25 18:23:32,676B - Pyramid of Glasses,GNU C++11,Wrong answer on test 83,15 ms,2200 KB
18074872,2016-05-25 18:13:20,676A - Nicholas and Permutation,GNU C++11,Accepted,15 ms,2200 KB
17867884,2016-05-12 04:29:35,672C - Recycling Bottles,GNU C++11,Accepted,93 ms,7700 KB
17867861,2016-05-12 04:25:46,672C - Recycling Bottles,GNU C++11,Wrong answer on test 46,109 ms,7700 KB
17867813,2016-05-12 04:19:02,672C - Recycling Bottles,GNU C++11,Wrong answer on test 80,109 ms,7700 KB
17867800,2016-05-12 04:17:49,672C - Recycling Bottles,GNU C++11,Wrong answer on test 52,124 ms,7700 KB
17867793,2016-05-12 04:17:02,672C - Recycling Bottles,GNU C++11,Wrong answer on test 52,124 ms,7700 KB
17867298,2016-05-12 02:54:32,672C - Recycling Bottles,GNU C++11,Wrong answer on test 46,108 ms,7700 KB
17867293,2016-05-12 02:53:24,672C - Recycling Bottles,GNU C++11,Wrong answer on test 25,78 ms,7700 KB
17866908,2016-05-12 01:40:18,672C - Recycling Bottles,GNU C++11,Wrong answer on test 41,62 ms,7700 KB
17866869,2016-05-12 01:33:52,672C - Recycling Bottles,GNU C++11,Wrong answer on test 46,62 ms,7700 KB
17849697,2016-05-11 19:49:58,672B - Different is Good,GNU C++11,Accepted,15 ms,2300 KB
17849411,2016-05-11 19:48:53,672B - Different is Good,GNU C++11,Wrong answer on pretest 8,15 ms,2100 KB
17846933,2016-05-11 19:40:16,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
17587798,2016-04-30 04:01:27,667A - Pouring Rain,GNU C++11,Accepted,15 ms,2200 KB
17235803,2016-04-08 18:43:50,660B - Seating On Bus,GNU C++11,Accepted,15 ms,2000 KB
17235563,2016-04-08 18:41:01,660B - Seating On Bus,GNU C++11,Wrong answer on test 19,15 ms,2000 KB
17233824,2016-04-08 18:23:37,660A - Co-prime Array,GNU C++11,Accepted,15 ms,2200 KB
17233216,2016-04-08 18:18:20,660A - Co-prime Array,GNU C++11,Wrong answer on test 8,15 ms,2000 KB
17232580,2016-04-08 18:12:42,660A - Co-prime Array,GNU C++11,Wrong answer on test 8,15 ms,2000 KB
17119821,2016-04-02 00:31:07,656A - Da Vinci Powers,GNU C++11,Accepted,15 ms,2200 KB
17117701,2016-04-01 21:50:35,656A - Da Vinci Powers,GNU C++11,Wrong answer on test 3,15 ms,2200 KB
17117681,2016-04-01 21:49:46,656A - Da Vinci Powers,GNU C++11,Wrong answer on test 3,0 ms,2000 KB
16924769,2016-03-25 16:29:24,652B - z-sort,GNU C++11,Accepted,31 ms,2200 KB
16923381,2016-03-25 16:17:11,652A - Gabriel and Caterpillar,GNU C++11,Accepted,15 ms,2200 KB
16807090,2016-03-19 11:44:40,653A - Bear and Three Balls,GNU C++11,Accepted,15 ms,2300 KB
16806377,2016-03-19 11:41:03,653A - Bear and Three Balls,GNU C++11,Wrong answer on pretest 5,15 ms,2000 KB
16805719,2016-03-19 11:38:37,653A - Bear and Three Balls,GNU C++11,Wrong answer on pretest 5,15 ms,2000 KB
16798776,2016-03-19 03:41:05,655B - Mischievous Mess Makers,GNU C++11,Accepted,31 ms,0 KB
16798698,2016-03-19 03:31:12,655A - Amity Assessment,GNU C++11,Accepted,15 ms,0 KB
16793345,2016-03-18 21:03:04,655C - Enduring Exodus,GNU C++11,Wrong answer on test 50,15 ms,500 KB
16792723,2016-03-18 20:53:40,655C - Enduring Exodus,GNU C++11,Wrong answer on pretest 10,15 ms,500 KB
16791820,2016-03-18 20:41:15,655C - Enduring Exodus,GNU C++11,Wrong answer on pretest 4,15 ms,500 KB
16791712,2016-03-18 20:39:48,655C - Enduring Exodus,GNU C++11,Wrong answer on pretest 4,15 ms,500 KB
16791448,2016-03-18 20:36:19,655C - Enduring Exodus,GNU C++11,Wrong answer on pretest 4,0 ms,500 KB
16788146,2016-03-18 20:00:17,655B - Mischievous Mess Makers,GNU C++11,Accepted,15 ms,0 KB
16786526,2016-03-18 19:47:56,655A - Amity Assessment,GNU C++11,Wrong answer on test 11,15 ms,0 KB
16603093,2016-03-08 17:32:46,651D - Image Preview,GNU C++11,Accepted,78 ms,3900 KB
16601747,2016-03-08 16:19:12,651C - Watchmen,GNU C++11,Accepted,374 ms,13000 KB
16601688,2016-03-08 16:15:53,651C - Watchmen,GNU C++11,Accepted,296 ms,10800 KB
