ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8259
21759462,2016-10-24 23:57:31,719E - Sasha and Array,GNU C++11,Time limit exceeded on test 10,5000 ms,1400 KB
21759377,2016-10-24 23:50:19,719E - Sasha and Array,GNU C++11,Time limit exceeded on test 10,5000 ms,1400 KB
21759345,2016-10-24 23:47:19,719E - Sasha and Array,GNU C++11,Runtime error on test 8,15 ms,1400 KB
21758695,2016-10-24 23:03:33,719E - Sasha and Array,GNU C++11,Runtime error on test 8,15 ms,1400 KB
21758538,2016-10-24 22:54:28,719E - Sasha and Array,GNU C++11,Wrong answer on test 2,15 ms,1400 KB
21597097,2016-10-19 18:06:14,731C - Socks,GNU C++11,Accepted,482 ms,23400 KB
21597084,2016-10-19 18:05:43,731C - Socks,GNU C++11,Wrong answer on test 2,15 ms,6800 KB
21597015,2016-10-19 18:03:02,731C - Socks,GNU C++11,Compilation error,0 ms,0 KB
21596545,2016-10-19 17:43:43,731C - Socks,GNU C++11,Time limit exceeded on test 32,2000 ms,10500 KB
21596139,2016-10-19 17:29:02,731C - Socks,GNU C++11,Wrong answer on test 2,15 ms,6800 KB
21595559,2016-10-19 17:10:19,731C - Socks,GNU C++11,Time limit exceeded on test 32,2000 ms,10500 KB
21594879,2016-10-19 16:45:06,731C - Socks,GNU C++11,Time limit exceeded on test 32,2000 ms,9700 KB
21500651,2016-10-16 18:37:43,731D - 80-th Level Archeology,GNU C++11,Wrong answer on test 9,312 ms,17100 KB
21500549,2016-10-16 18:33:37,731D - 80-th Level Archeology,GNU C++11,Wrong answer on test 9,327 ms,17100 KB
21500373,2016-10-16 18:25:39,731D - 80-th Level Archeology,GNU C++11,Wrong answer on test 9,296 ms,17100 KB
21490593,2016-10-16 14:28:23,731D - 80-th Level Archeology,GNU C++11,Wrong answer on pretest 6,31 ms,7700 KB
21489508,2016-10-16 14:19:13,731D - 80-th Level Archeology,GNU C++11,Wrong answer on pretest 1,0 ms,7700 KB
21484885,2016-10-16 13:38:00,731C - Socks,GNU C++11,Time limit exceeded on test 27,2000 ms,9700 KB
21478286,2016-10-16 12:58:48,731B - Coupons and Discounts,GNU C++11,Accepted,46 ms,1800 KB
21476594,2016-10-16 12:51:17,731A - Night at the Museum,GNU C++11,Accepted,15 ms,1800 KB
21462282,2016-10-15 19:25:03,719A - Vitya in the Countryside,GNU C++11,Accepted,31 ms,5000 KB
21461961,2016-10-15 19:11:03,719E - Sasha and Array,GNU C++11,Wrong answer on test 2,15 ms,5000 KB
21461472,2016-10-15 18:46:41,719C - Efim and Strange Grade,GNU C++11,Accepted,62 ms,2600 KB
21461431,2016-10-15 18:44:31,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 15,61 ms,2600 KB
21461259,2016-10-15 18:37:03,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 14,61 ms,2600 KB
21461237,2016-10-15 18:35:49,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 12,46 ms,2600 KB
21461154,2016-10-15 18:32:44,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 12,46 ms,2600 KB
21461111,2016-10-15 18:30:58,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 3,15 ms,2600 KB
21461036,2016-10-15 18:26:58,719C - Efim and Strange Grade,GNU C++11,Wrong answer on test 4,15 ms,2600 KB
21460688,2016-10-15 18:09:30,719B - Anatoly and Cockroaches,GNU C++11,Accepted,31 ms,2000 KB
21460499,2016-10-15 17:59:19,719B - Anatoly and Cockroaches,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
21460016,2016-10-15 17:35:47,719A - Vitya in the Countryside,GNU C++11,Wrong answer on test 33,15 ms,1900 KB
