ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9060
21812750,2016-10-27 08:53:01,725D - Contest Balloons,GNU C++11,Accepted,327 ms,21100 KB
21810187,2016-10-27 03:48:26,725C - Hidden Word,GNU C++11,Accepted,30 ms,0 KB
21675646,2016-10-22 18:35:34,725B - Food on the Plane,GNU C++11,Accepted,31 ms,0 KB
21671397,2016-10-22 18:11:52,725A - Jumping Ball,GNU C++11,Accepted,93 ms,200 KB
19747311,2016-08-09 15:46:37,519B - A and B and Compilation Errors,GNU C++11,Wrong answer on test 5,15 ms,3200 KB
19265397,2016-07-20 04:04:29,699B - One Bomb,GNU C++11,Accepted,31 ms,1000 KB
19265367,2016-07-20 04:02:49,699B - One Bomb,GNU C++11,Wrong answer on test 1,0 ms,1000 KB
19265218,2016-07-20 03:51:49,699B - One Bomb,GNU C++11,Wrong answer on test 53,15 ms,1000 KB
19265114,2016-07-20 03:42:48,699B - One Bomb,GNU C++11,Wrong answer on test 43,15 ms,1000 KB
19264891,2016-07-20 03:24:38,699B - One Bomb,GNU C++11,Wrong answer on test 50,46 ms,2000 KB
19264865,2016-07-20 03:22:37,699B - One Bomb,GNU C++11,Wrong answer on test 20,46 ms,2000 KB
19248295,2016-07-19 17:25:24,699C - Vacations,GNU C++11,Wrong answer on pretest 6,15 ms,0 KB
19247335,2016-07-19 17:19:20,699C - Vacations,GNU C++11,Wrong answer on pretest 6,15 ms,0 KB
19245482,2016-07-19 17:07:56,699C - Vacations,GNU C++11,Wrong answer on pretest 8,15 ms,0 KB
19242686,2016-07-19 16:52:36,699B - One Bomb,GNU C++11,Wrong answer on test 50,62 ms,2000 KB
19234162,2016-07-19 16:16:45,699A - Launch of Collider,GNU C++11,Accepted,78 ms,9800 KB
18320316,2016-06-08 20:49:00,680C - Bear and Prime 100,GNU C++11,Accepted,31 ms,2200 KB
18319750,2016-06-08 20:45:34,680C - Bear and Prime 100,GNU C++11,Idleness limit exceeded on pretest 1,0 ms,0 KB
18319113,2016-06-08 20:41:49,680C - Bear and Prime 100,GNU C++11,Idleness limit exceeded on pretest 1,0 ms,0 KB
18318756,2016-06-08 20:40:02,680C - Bear and Prime 100,GNU C++11,Idleness limit exceeded on pretest 1,0 ms,0 KB
18314100,2016-06-08 20:17:29,680B - Bear and Finding Criminals,GNU C++11,Accepted,15 ms,2200 KB
18312995,2016-06-08 20:12:51,680B - Bear and Finding Criminals,GNU C++11,Wrong answer on pretest 5,15 ms,2000 KB
18310759,2016-06-08 20:03:52,680B - Bear and Finding Criminals,GNU C++11,Wrong answer on pretest 5,15 ms,2000 KB
18309777,2016-06-08 20:00:14,680B - Bear and Finding Criminals,GNU C++11,Wrong answer on pretest 5,15 ms,2200 KB
18305022,2016-06-08 19:45:38,680A - Bear and Five Cards,GNU C++11,Accepted,15 ms,2200 KB
18171628,2016-05-31 19:29:02,313D - Ilya and Roads,GNU C++11,Accepted,2620 ms,3600 KB
18170840,2016-05-31 18:31:55,313B - Ilya and Queries,GNU C++11,Accepted,1590 ms,2800 KB
18170647,2016-05-31 18:15:57,292D - Connected Components,GNU C++11,Accepted,468 ms,41800 KB
18170613,2016-05-31 18:13:27,292D - Connected Components,GNU C++11,Runtime error on test 13,124 ms,4200 KB
18170560,2016-05-31 18:09:21,292D - Connected Components,GNU C++11,Accepted,436 ms,42200 KB
18170526,2016-05-31 18:06:34,292D - Connected Components,GNU C++11,Wrong answer on test 13,124 ms,4000 KB
18085358,2016-05-25 19:30:48,676B - Pyramid of Glasses,GNU C++11,Accepted,31 ms,2200 KB
18085102,2016-05-25 19:28:13,676B - Pyramid of Glasses,GNU C++11,Wrong answer on pretest 6,15 ms,2000 KB
18082973,2016-05-25 19:08:16,676C - Vasya and String,GNU C++11,Accepted,15 ms,2300 KB
18081539,2016-05-25 18:55:42,676C - Vasya and String,GNU C++11,Skipped,15 ms,2500 KB
18074328,2016-05-25 18:11:24,676A - Nicholas and Permutation,GNU C++11,Accepted,15 ms,2200 KB
17139334,2016-04-03 07:06:37,659F - Polycarp and Hay,GNU C++11,Accepted,998 ms,45500 KB
17132462,2016-04-02 18:06:52,659E - New Reform,GNU C++11,Accepted,46 ms,3300 KB
