ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:10884
20761370,2016-09-19 20:11:34,500D - New Year Santa Network,GNU C++11,Time limit exceeded on test 34,2000 ms,7500 KB
19373256,2016-07-24 02:33:10,577A - Multiplication Table,GNU C++11,Accepted,15 ms,0 KB
19373016,2016-07-24 01:42:53,577B - Modulo Sum,GNU C++11,Accepted,608 ms,54700 KB
19373011,2016-07-24 01:41:40,577B - Modulo Sum,GNU C++11,Accepted,639 ms,85900 KB
19372989,2016-07-24 01:38:13,577B - Modulo Sum,GNU C++11,Wrong answer on test 8,15 ms,0 KB
19368611,2016-07-23 19:28:49,352A - Jeff and Digits,GNU C++11,Accepted,30 ms,0 KB
19368591,2016-07-23 19:27:02,352A - Jeff and Digits,GNU C++11,Wrong answer on test 3,30 ms,0 KB
19368154,2016-07-23 18:55:49,267A - Subtractions,GNU C++11,Accepted,15 ms,0 KB
19339220,2016-07-22 20:30:13,701B - Cells Not Under Attack,GNU C++11,Accepted,234 ms,0 KB
19331105,2016-07-22 19:48:37,701A - Cards,GNU C++11,Accepted,15 ms,0 KB
19329085,2016-07-22 19:41:35,701A - Cards,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
19327601,2016-07-22 18:54:16,699A - Launch of Collider,GNU C++11,Accepted,140 ms,1300 KB
19327600,2016-07-22 18:54:16,699A - Launch of Collider,GNU C++11,Accepted,156 ms,1300 KB
19327571,2016-07-22 18:52:14,699A - Launch of Collider,GNU C++11,Wrong answer on test 6,15 ms,0 KB
19327522,2016-07-22 18:49:19,699A - Launch of Collider,GNU C++11,Wrong answer on test 5,15 ms,0 KB
19327456,2016-07-22 18:45:25,699A - Launch of Collider,GNU C++11,Wrong answer on test 5,15 ms,0 KB
19327420,2016-07-22 18:43:44,699A - Launch of Collider,GNU C++11,Time limit exceeded on test 48,2000 ms,1300 KB
