ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8025
20060523,2016-08-22 18:26:37,710B - Optimal Point on a Line,GNU C++11,Accepted,889 ms,3200 KB
20060144,2016-08-22 18:23:21,710C - Magic Odd Square,GNU C++11,Accepted,15 ms,2000 KB
20055036,2016-08-22 17:45:19,710B - Optimal Point on a Line,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
20054360,2016-08-22 17:41:30,710B - Optimal Point on a Line,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
20048588,2016-08-22 17:16:04,710A - King Moves,GNU C++11,Accepted,15 ms,2000 KB
19910864,2016-08-16 18:59:46,706C - Hard problem,GNU C++11,Accepted,202 ms,4400 KB
19910585,2016-08-16 18:43:24,706C - Hard problem,GNU C++11,Wrong answer on test 8,93 ms,3000 KB
19909167,2016-08-16 17:19:52,706C - Hard problem,GNU C++11,Wrong answer on test 8,61 ms,3000 KB
19908821,2016-08-16 17:01:03,706C - Hard problem,GNU C++11,Wrong answer on test 8,46 ms,3000 KB
19908120,2016-08-16 16:22:36,706C - Hard problem,GNU C++11,Wrong answer on test 8,46 ms,3100 KB
19908096,2016-08-16 16:21:27,706C - Hard problem,GNU C++11,Compilation error,0 ms,0 KB
19907992,2016-08-16 16:16:00,706C - Hard problem,GNU C++11,Wrong answer on test 8,46 ms,3100 KB
19713191,2016-08-07 21:58:32,704A - Thor,GNU C++11,Accepted,1965 ms,8800 KB
19713168,2016-08-07 21:57:21,704A - Thor,GNU C++11,Compilation error,0 ms,0 KB
19709769,2016-08-07 19:02:26,705C - Thor,GNU C++11,Time limit exceeded on pretest 7,2000 ms,2200 KB
19707625,2016-08-07 18:48:17,705C - Thor,GNU C++11,Wrong answer on pretest 3,15 ms,2000 KB
19706554,2016-08-07 18:40:36,705C - Thor,GNU C++11,Wrong answer on pretest 3,0 ms,2000 KB
19698327,2016-08-07 17:47:02,705B - Spider Man,GNU C++,Accepted,467 ms,2000 KB
19696478,2016-08-07 17:36:00,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
16641049,2016-03-11 02:02:18,651A - Joysticks,GNU C++,Accepted,15 ms,0 KB
16641038,2016-03-11 02:00:06,651A - Joysticks,GNU C++,Wrong answer on test 7,15 ms,0 KB
16641034,2016-03-11 01:59:08,651A - Joysticks,GNU C,Compilation error,0 ms,0 KB
10507659,2015-03-28 22:10:26,530E - Sum and product,Picat,Accepted,31 ms,0 KB
10507630,2015-03-28 22:09:14,530E - Sum and product,Picat,Wrong answer on test 1,0 ms,0 KB
10507428,2015-03-28 22:01:37,530D - Set subtraction,Picat,Accepted,109 ms,0 KB
10507074,2015-03-28 21:47:54,530A - Quadratic equation,Picat,Wrong answer on test 4,31 ms,0 KB
10506624,2015-03-28 21:32:20,530C - Diophantine equation,Picat,Accepted,30 ms,0 KB
10505790,2015-03-28 21:14:08,530B - String inside out,Picat,Accepted,30 ms,0 KB
10504785,2015-03-28 20:45:49,530A - Quadratic equation,Picat,Wrong answer on test 4,15 ms,0 KB
10383291,2015-03-21 18:38:27,524A - Возможно, вы знаете этих людей?,FPC,Accepted,93 ms,400 KB
10382936,2015-03-21 18:29:59,524A - Возможно, вы знаете этих людей?,FPC,Wrong answer on pretest 4,15 ms,100 KB
10382323,2015-03-21 18:14:27,524A - Возможно, вы знаете этих людей?,FPC,Wrong answer on pretest 3,15 ms,0 KB
10379970,2015-03-21 17:26:12,524B - Фото на память - 2 (round version),FPC,Accepted,31 ms,0 KB
10206604,2015-03-08 15:59:23,522A - Reposts,Python 3,Accepted,62 ms,0 KB
10206597,2015-03-08 15:59:03,522A - Reposts,FPC,Compilation error,0 ms,0 KB
10195886,2015-03-07 21:40:41,522B - Photo to Remember,FPC,Accepted,405 ms,3300 KB
9838605,2015-02-14 20:06:46,514B - Han Solo and Lazer Gun,FPC,Accepted,15 ms,0 KB
9833999,2015-02-14 19:44:42,514A - Chewbaсca and Number,FPC,Accepted,31 ms,0 KB
9707199,2015-02-04 01:41:06,433D - Nanami's Digital Board,FPC,Accepted,171 ms,19800 KB
9707171,2015-02-04 01:36:52,433D - Nanami's Digital Board,FPC,Wrong answer on test 4,15 ms,19800 KB
9707165,2015-02-04 01:36:16,433D - Nanami's Digital Board,FPC,Compilation error,0 ms,0 KB
9706782,2015-02-04 00:38:29,433D - Nanami's Digital Board,FPC,Wrong answer on test 2,15 ms,19800 KB
9705590,2015-02-03 22:17:00,433D - Nanami's Digital Board,FPC,Wrong answer on test 4,15 ms,19800 KB
9690246,2015-02-02 22:15:26,433D - Nanami's Digital Board,FPC,Time limit exceeded on test 7,1000 ms,19800 KB
9670083,2015-02-02 01:03:07,433D - Nanami's Digital Board,FPC,Wrong answer on test 4,15 ms,19800 KB
8767194,2014-11-20 20:15:05,489D - Unbearable Controversy of Being,FPC,Time limit exceeded on test 5,1000 ms,400 KB
8541690,2014-11-04 02:39:44,483A - Counterexample,FPC,Accepted,15 ms,0 KB
8541682,2014-11-04 02:37:33,483A - Counterexample,FPC,Wrong answer on test 1,0 ms,0 KB
8460061,2014-10-28 20:44:36,483B - Friends and Presents,FPC,Accepted,31 ms,0 KB
8459962,2014-10-28 20:34:58,483B - Friends and Presents,FPC,Wrong answer on test 20,15 ms,0 KB
7971696,2014-09-26 21:12:46,471A - MUH and Sticks,FPC,Accepted,31 ms,0 KB
7971529,2014-09-26 21:11:24,471A - MUH and Sticks,FPC,Wrong answer on pretest 4,15 ms,0 KB
7969786,2014-09-26 20:54:12,471B - MUH and Important Things,FPC,Accepted,31 ms,400 KB
7967554,2014-09-26 20:33:10,471B - MUH and Important Things,FPC,Wrong answer on pretest 1,15 ms,0 KB
7966362,2014-09-26 20:23:00,471A - MUH and Sticks,FPC,Wrong answer on hack 1,0 ms,0 KB
7959959,2014-09-26 19:42:30,471A - MUH and Sticks,FPC,Hacked,15 ms,0 KB
7770650,2014-09-12 21:20:59,466E - Information Graph,FPC,Time limit exceeded on pretest 4,1000 ms,68200 KB
7770542,2014-09-12 21:20:16,466E - Information Graph,FPC,Compilation error,0 ms,0 KB
7769831,2014-09-12 21:13:59,466E - Information Graph,FPC,Time limit exceeded on pretest 4,1000 ms,31700 KB
7766623,2014-09-12 20:46:13,466C - Number of Ways,FPC,Runtime error on pretest 6,327 ms,220200 KB
7766551,2014-09-12 20:45:35,466C - Number of Ways,FPC,Memory limit exceeded on pretest 1,0 ms,262100 KB
7766075,2014-09-12 20:42:01,466C - Number of Ways,FPC,Runtime error on pretest 6,108 ms,97900 KB
7765175,2014-09-12 20:35:09,466C - Number of Ways,FPC,Runtime error on pretest 1,0 ms,0 KB
7764946,2014-09-12 20:33:22,466C - Number of Ways,FPC,Runtime error on pretest 1,15 ms,0 KB
7755245,2014-09-12 19:39:43,466A - Cheap Travel,FPC,Accepted,15 ms,0 KB
7753696,2014-09-12 19:34:53,466A - Cheap Travel,FPC,Wrong answer on pretest 3,15 ms,0 KB
7663898,2014-09-02 00:47:34,463C - Gargari and Bishops,FPC,Time limit exceeded on test 7,3000 ms,31300 KB
7561087,2014-08-23 19:37:51,457A - Golden System,FPC,Wrong answer on test 10,15 ms,600 KB
7520721,2014-08-20 19:46:42,460A - Vasya and Socks,FPC,Accepted,15 ms,0 KB
7519945,2014-08-20 19:42:46,460A - Vasya and Socks,FPC,Wrong answer on pretest 3,15 ms,0 KB
7519293,2014-08-20 19:39:34,460A - Vasya and Socks,FPC,Wrong answer on pretest 3,0 ms,0 KB
7312017,2014-08-01 19:55:02,454B - Little Pony and Sort by Shift,FPC,Accepted,46 ms,0 KB
7309414,2014-08-01 19:39:01,454A - Little Pony and Crystal Mine,FPC,Accepted,15 ms,0 KB
7141537,2014-07-18 00:23:41,448B - Suffix Structures,FPC,Accepted,31 ms,0 KB
7141513,2014-07-18 00:20:45,448B - Suffix Structures,FPC,Wrong answer on test 5,15 ms,0 KB
7141462,2014-07-18 00:14:17,448A - Rewards,FPC,Accepted,30 ms,0 KB
7131996,2014-07-17 18:53:46,448B - Suffix Structures,FPC,Wrong answer on test 28,31 ms,0 KB
7131501,2014-07-17 18:49:17,448B - Suffix Structures,FPC,Wrong answer on pretest 1,15 ms,0 KB
7127663,2014-07-17 18:18:30,448A - Rewards,FPC,Wrong answer on test 10,15 ms,0 KB
7126216,2014-07-17 18:09:53,448A - Rewards,FPC,Wrong answer on pretest 2,0 ms,0 KB
7123915,2014-07-17 16:39:00,439D - Devu and his Brother,FPC,Time limit exceeded on test 8,1000 ms,2500 KB
7116999,2014-07-16 18:27:35,446C - DZY Loves Fibonacci Numbers,FPC,Wrong answer on test 5,15 ms,2400 KB
7116944,2014-07-16 18:18:47,446C - DZY Loves Fibonacci Numbers,FPC,Wrong answer on test 5,15 ms,2400 KB
7116569,2014-07-16 17:39:20,447A - DZY Loves Hash,FPC,Accepted,15 ms,0 KB
7116556,2014-07-16 17:37:42,447A - DZY Loves Hash,FPC,Wrong answer on test 11,15 ms,0 KB
7111515,2014-07-15 23:29:55,447B - DZY Loves Strings,FPC,Accepted,15 ms,300 KB
7107624,2014-07-15 13:27:29,445A - DZY Loves Chessboard,FPC,Accepted,30 ms,0 KB
7070922,2014-07-13 01:31:12,445B - DZY Loves Chemistry,FPC,Wrong answer on test 4,15 ms,0 KB
