ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8025
20060523,2016-08-22 18:26:37,710B - Optimal Point on a Line,GNU C++11,Accepted,889 ms,3200 KB
20060144,2016-08-22 18:23:21,710C - Magic Odd Square,GNU C++11,Accepted,15 ms,2000 KB
20055036,2016-08-22 17:45:19,710B - Optimal Point on a Line,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
20054360,2016-08-22 17:41:30,710B - Optimal Point on a Line,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
20048588,2016-08-22 17:16:04,710A - King Moves,GNU C++11,Accepted,15 ms,2000 KB
19910864,2016-08-16 18:59:46,706C - Hard problem,GNU C++11,Accepted,202 ms,4400 KB
19910585,2016-08-16 18:43:24,706C - Hard problem,GNU C++11,Wrong answer on test 8,93 ms,3000 KB
19909167,2016-08-16 17:19:52,706C - Hard problem,GNU C++11,Wrong answer on test 8,61 ms,3000 KB
19908821,2016-08-16 17:01:03,706C - Hard problem,GNU C++11,Wrong answer on test 8,46 ms,3000 KB
19908120,2016-08-16 16:22:36,706C - Hard problem,GNU C++11,Wrong answer on test 8,46 ms,3100 KB
19908096,2016-08-16 16:21:27,706C - Hard problem,GNU C++11,Compilation error,0 ms,0 KB
19907992,2016-08-16 16:16:00,706C - Hard problem,GNU C++11,Wrong answer on test 8,46 ms,3100 KB
19713191,2016-08-07 21:58:32,704A - Thor,GNU C++11,Accepted,1965 ms,8800 KB
19713168,2016-08-07 21:57:21,704A - Thor,GNU C++11,Compilation error,0 ms,0 KB
19709769,2016-08-07 19:02:26,705C - Thor,GNU C++11,Time limit exceeded on pretest 7,2000 ms,2200 KB
19707625,2016-08-07 18:48:17,705C - Thor,GNU C++11,Wrong answer on pretest 3,15 ms,2000 KB
19706554,2016-08-07 18:40:36,705C - Thor,GNU C++11,Wrong answer on pretest 3,0 ms,2000 KB
19698327,2016-08-07 17:47:02,705B - Spider Man,GNU C++,Accepted,467 ms,2000 KB
19696478,2016-08-07 17:36:00,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
16641049,2016-03-11 02:02:18,651A - Joysticks,GNU C++,Accepted,15 ms,0 KB
16641038,2016-03-11 02:00:06,651A - Joysticks,GNU C++,Wrong answer on test 7,15 ms,0 KB
