ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:6002
21545510,2016-10-17 20:02:02,732E - Sockets,Java 8,Accepted,920 ms,68900 KB
21544760,2016-10-17 19:55:10,732E - Sockets,Java 8,Time limit exceeded on pretest 7,2000 ms,32000 KB
21544484,2016-10-17 19:52:20,732E - Sockets,Java 8,Time limit exceeded on pretest 7,2000 ms,32500 KB
21530926,2016-10-17 18:08:05,732C - Sanatorium,Java 8,Accepted,139 ms,20000 KB
21525223,2016-10-17 17:46:44,732B - Cormen --- The Best Friend Of a Man,Java 8,Accepted,155 ms,19900 KB
21522764,2016-10-17 17:40:12,732A - Buy a Shovel,Java 8,Accepted,140 ms,20000 KB
21522263,2016-10-17 17:38:50,732A - Buy a Shovel,Java 8,Wrong answer on pretest 3,124 ms,19900 KB
21493915,2016-10-16 15:11:23,731F - Video Cards,Java 8,Time limit exceeded on test 23,1000 ms,20000 KB
21493733,2016-10-16 15:09:09,731F - Video Cards,Java 8,Time limit exceeded on test 23,1000 ms,20000 KB
21493428,2016-10-16 15:05:00,731D - 80-th Level Archeology,Java 8,Wrong answer on test 5,109 ms,19900 KB
21493408,2016-10-16 15:04:43,731F - Video Cards,Java 8,Wrong answer on test 13,186 ms,19900 KB
21493046,2016-10-16 14:44:52,731D - 80-th Level Archeology,Java 8,Wrong answer on pretest 2,109 ms,20000 KB
21489331,2016-10-16 14:17:32,731F - Video Cards,Java 8,Time limit exceeded on test 22,1000 ms,19900 KB
21488439,2016-10-16 14:09:20,731F - Video Cards,Java 8,Time limit exceeded on pretest 8,1000 ms,19900 KB
21485810,2016-10-16 13:45:35,731C - Socks,Java 8,Accepted,654 ms,89300 KB
21480219,2016-10-16 13:08:24,731B - Coupons and Discounts,Java 8,Accepted,140 ms,20000 KB
21479947,2016-10-16 13:06:52,731B - Coupons and Discounts,Java 8,Wrong answer on pretest 3,108 ms,19900 KB
21476475,2016-10-16 12:50:48,731A - Night at the Museum,Java 8,Accepted,155 ms,19700 KB
21299197,2016-10-08 18:53:30,724B - Batch Sort,Java 8,Wrong answer on test 69,140 ms,20000 KB
21299014,2016-10-08 18:49:25,724C - Ray Tracing,Java 8,Accepted,951 ms,175100 KB
21296873,2016-10-08 18:05:20,724C - Ray Tracing,Java 8,Wrong answer on pretest 4,124 ms,19700 KB
21294561,2016-10-08 17:36:40,724C - Ray Tracing,Java 8,Wrong answer on pretest 4,108 ms,19700 KB
21286847,2016-10-08 16:06:11,724B - Batch Sort,Java 8,Wrong answer on test 29,124 ms,20000 KB
21281181,2016-10-08 15:25:26,724A - Checking the Calendar,Java 8,Accepted,140 ms,20000 KB
21094247,2016-10-01 20:25:42,722C - Destroying Array,Java 8,Wrong answer on test 28,280 ms,16400 KB
21090772,2016-10-01 18:55:25,722D - Generating Sets,Java 8,Time limit exceeded on pretest 5,2000 ms,0 KB
21090588,2016-10-01 18:53:43,722D - Generating Sets,Java 8,Wrong answer on pretest 4,108 ms,0 KB
21088521,2016-10-01 18:36:02,722D - Generating Sets,Java 8,Wrong answer on pretest 4,93 ms,0 KB
21087930,2016-10-01 18:31:10,722D - Generating Sets,Java 8,Runtime error on pretest 4,108 ms,0 KB
21081260,2016-10-01 17:47:10,722C - Destroying Array,Java 8,Wrong answer on test 28,358 ms,15500 KB
21077773,2016-10-01 17:31:24,722B - Verse Pattern,Java 8,Accepted,124 ms,0 KB
21074610,2016-10-01 17:21:02,722A - Broken Clock,Java 8,Accepted,124 ms,0 KB
21073315,2016-10-01 17:17:22,722A - Broken Clock,Java 8,Wrong answer on pretest 5,187 ms,0 KB
21072683,2016-10-01 17:15:42,722A - Broken Clock,Java 8,Wrong answer on pretest 3,93 ms,0 KB
