ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8607
21845081,2016-10-28 14:30:54,725D - Contest Balloons,GNU C++11,Accepted,529 ms,15600 KB
21844999,2016-10-28 14:27:15,725D - Contest Balloons,GNU C++11,Wrong answer on test 9,452 ms,15500 KB
21844983,2016-10-28 14:26:33,725D - Contest Balloons,GNU C++11,Wrong answer on test 9,451 ms,15500 KB
21844914,2016-10-28 14:24:10,725D - Contest Balloons,GNU C++11,Wrong answer on test 6,15 ms,0 KB
21844884,2016-10-28 14:23:02,725D - Contest Balloons,GNU C++11,Wrong answer on test 6,15 ms,0 KB
21844427,2016-10-28 13:59:35,725D - Contest Balloons,GNU C++11,Wrong answer on test 9,467 ms,19100 KB
21843877,2016-10-28 13:26:49,725D - Contest Balloons,GNU C++11,Wrong answer on test 9,451 ms,19100 KB
21788488,2016-10-26 10:01:48,732D - Exams,GNU C++11,Accepted,109 ms,1600 KB
21788475,2016-10-26 10:00:56,732D - Exams,GNU C++11,Runtime error on test 4,31 ms,300 KB
21776408,2016-10-25 19:52:04,622C - Not Equal on a Segment,GNU C++11,Accepted,935 ms,2400 KB
21776094,2016-10-25 19:39:18,622C - Not Equal on a Segment,GNU C++11,Wrong answer on test 6,15 ms,0 KB
21776074,2016-10-25 19:38:37,622C - Not Equal on a Segment,GNU C++11,Wrong answer on test 1,0 ms,0 KB
21776009,2016-10-25 19:35:52,622C - Not Equal on a Segment,GNU C++11,Wrong answer on test 5,15 ms,0 KB
21767820,2016-10-25 12:39:12,721C - Journey,GNU C++11,Accepted,78 ms,197000 KB
21767765,2016-10-25 12:36:40,721C - Journey,GNU C++11,Wrong answer on test 66,77 ms,197000 KB
21767681,2016-10-25 12:32:41,721C - Journey,GNU C++11,Memory limit exceeded on test 11,997 ms,262100 KB
21767639,2016-10-25 12:30:40,721C - Journey,GNU C++11,Memory limit exceeded on test 11,1294 ms,262100 KB
21767600,2016-10-25 12:28:50,721C - Journey,GNU C++11,Wrong answer on test 3,15 ms,196500 KB
21767378,2016-10-25 12:19:16,721C - Journey,GNU C++11,Memory limit exceeded on test 1,0 ms,262100 KB
21767266,2016-10-25 12:13:55,721C - Journey,GNU C++11,Memory limit exceeded on test 1,15 ms,262100 KB
21763986,2016-10-25 08:32:22,721C - Journey,GNU C++11,Memory limit exceeded on test 1,15 ms,262100 KB
21763918,2016-10-25 08:26:15,721C - Journey,GNU C++11,Memory limit exceeded on test 1,31 ms,262100 KB
21763897,2016-10-25 08:24:13,721C - Journey,GNU C++11,Accepted,140 ms,197200 KB
21763882,2016-10-25 08:23:27,721C - Journey,GNU C++11,Memory limit exceeded on test 1,0 ms,262100 KB
21763848,2016-10-25 08:19:01,721C - Journey,GNU C++11,Memory limit exceeded on test 1,0 ms,262100 KB
21763803,2016-10-25 08:15:17,721C - Journey,GNU C++11,Memory limit exceeded on test 8,108 ms,262100 KB
21750816,2016-10-24 18:03:46,721C - Journey,GNU C++11,Wrong answer on test 4,15 ms,140900 KB
21750660,2016-10-24 18:00:38,721C - Journey,GNU C++,Compilation error,0 ms,0 KB
21211844,2016-10-05 17:47:09,723D - Lakes in Berland,GNU C++,Accepted,15 ms,200 KB
21211634,2016-10-05 17:40:27,723D - Lakes in Berland,GNU C++,Wrong answer on test 6,15 ms,0 KB
21211174,2016-10-05 17:25:32,723D - Lakes in Berland,GNU C++,Wrong answer on test 5,15 ms,100 KB
21188238,2016-10-04 16:50:49,722D - Generating Sets,GNU C++11,Accepted,358 ms,1600 KB
21186734,2016-10-04 15:43:35,722D - Generating Sets,GNU C++,Wrong answer on test 2,0 ms,0 KB
21185560,2016-10-04 14:46:16,722C - Destroying Array,GNU C++,Accepted,420 ms,3600 KB
21185540,2016-10-04 14:45:18,722C - Destroying Array,GNU C++,Wrong answer on test 15,514 ms,3100 KB
21025557,2016-09-30 17:37:22,721B - Passwords,GNU C++,Accepted,31 ms,0 KB
21018706,2016-09-30 17:14:13,721A - One-dimensional Japanese Crossword,GNU C++,Accepted,31 ms,0 KB
21017536,2016-09-30 17:11:29,721A - One-dimensional Japanese Crossword,GNU C++,Runtime error on pretest 8,15 ms,0 KB
20977819,2016-09-28 22:34:11,567D - One-Dimensional Battle Ships,GNU C++,Accepted,374 ms,2300 KB
20977783,2016-09-28 22:32:32,567D - One-Dimensional Battle Ships,GNU C++,Runtime error on test 14,61 ms,400 KB
20977669,2016-09-28 22:26:40,567D - One-Dimensional Battle Ships,GNU C++,Runtime error on test 14,62 ms,400 KB
20977527,2016-09-28 22:18:55,567D - One-Dimensional Battle Ships,GNU C++,Wrong answer on test 3,15 ms,400 KB
20977496,2016-09-28 22:16:46,567D - One-Dimensional Battle Ships,GNU C++,Wrong answer on test 2,0 ms,400 KB
20945746,2016-09-27 15:33:25,538C - Tourist's Notes,GNU C++,Accepted,124 ms,1500 KB
20940597,2016-09-27 11:32:32,538C - Tourist's Notes,GNU C++,Wrong answer on test 1,0 ms,0 KB
20940577,2016-09-27 11:31:43,538C - Tourist's Notes,GNU C++,Compilation error,0 ms,0 KB
20940505,2016-09-27 11:27:45,538C - Tourist's Notes,GNU C++,Wrong answer on test 10,109 ms,1500 KB
20940472,2016-09-27 11:25:52,538C - Tourist's Notes,GNU C++,Wrong answer on test 9,124 ms,1500 KB
20940466,2016-09-27 11:25:29,538C - Tourist's Notes,Mono C#,Compilation error,0 ms,0 KB
20940413,2016-09-27 11:22:21,538C - Tourist's Notes,GNU C++,Wrong answer on test 3,15 ms,0 KB
20940060,2016-09-27 11:02:29,448D - Multiplication Table,GNU C++,Accepted,171 ms,0 KB
20940027,2016-09-27 11:00:52,448D - Multiplication Table,GNU C,Compilation error,0 ms,0 KB
20804185,2016-09-21 21:51:01,448C - Painting Fence,GNU C++,Wrong answer on test 2,0 ms,0 KB
20804108,2016-09-21 21:47:01,448C - Painting Fence,GNU C++,Wrong answer on test 3,0 ms,0 KB
20803592,2016-09-21 21:18:34,448C - Painting Fence,GNU C++,Wrong answer on test 3,0 ms,0 KB
20803359,2016-09-21 21:08:00,448C - Painting Fence,GNU C++,Wrong answer on test 3,15 ms,0 KB
20802997,2016-09-21 20:50:20,448B - Suffix Structures,Java 8,Accepted,124 ms,0 KB
20802470,2016-09-21 20:31:05,448A - Rewards,Java 8,Accepted,124 ms,0 KB
20660314,2016-09-16 16:02:14,567C - Geometric Progression,GNU C++,Accepted,436 ms,19200 KB
20660183,2016-09-16 15:55:42,567C - Geometric Progression,GNU C++,Wrong answer on test 7,93 ms,1500 KB
20655494,2016-09-16 11:12:15,414B - Mashmokh and ACM,GNU C++,Accepted,296 ms,31400 KB
20649218,2016-09-16 00:24:29,431C - k-Tree,GNU C++,Accepted,31 ms,100 KB
20570168,2016-09-13 18:30:44,660C - Hard Process,GNU C++,Accepted,295 ms,2300 KB
20570121,2016-09-13 18:28:20,660C - Hard Process,GNU C++,Wrong answer on test 22,327 ms,2300 KB
20570026,2016-09-13 18:22:12,660C - Hard Process,GNU C++,Wrong answer on test 6,15 ms,0 KB
20566174,2016-09-13 14:50:33,660C - Hard Process,GNU C++,Wrong answer on test 21,296 ms,2300 KB
20565964,2016-09-13 14:42:01,660C - Hard Process,GNU C++,Wrong answer on test 6,15 ms,0 KB
20526789,2016-09-11 13:01:15,717C - Potions Homework,GNU C++,Wrong answer on test 3,93 ms,200 KB
20525520,2016-09-11 12:30:40,717C - Potions Homework,GNU C++,Time limit exceeded on test 3,1000 ms,400 KB
20511286,2016-09-10 21:13:17,712C - Memory and De-Evolution,GNU C++,Accepted,15 ms,0 KB
20508532,2016-09-10 20:44:21,712B - Memory and Trident,GNU C++,Accepted,15 ms,300 KB
20507767,2016-09-10 20:37:58,712B - Memory and Trident,GNU C++,Wrong answer on pretest 2,0 ms,0 KB
20505267,2016-09-10 20:23:04,712B - Memory and Trident,GNU C++,Wrong answer on pretest 9,15 ms,300 KB
20501426,2016-09-10 20:00:31,712A - Memory and Crow,GNU C++,Accepted,109 ms,800 KB
20442890,2016-09-07 20:32:22,478C - Table Decorations,GNU C++,Wrong answer on test 11,15 ms,0 KB
20442466,2016-09-07 20:11:10,478C - Table Decorations,GNU C++,Wrong answer on test 11,15 ms,0 KB
20442311,2016-09-07 20:04:46,478C - Table Decorations,GNU C++,Wrong answer on test 5,15 ms,0 KB
20068866,2016-08-22 20:49:02,710B - Optimal Point on a Line,GNU C++,Accepted,280 ms,3200 KB
20002212,2016-08-20 17:47:36,707B - Bakery,Java 8,Accepted,311 ms,59700 KB
20001613,2016-08-20 17:43:05,707C - Pythagorean Triples,GNU C++,Accepted,30 ms,2000 KB
20000152,2016-08-20 17:32:45,707B - Bakery,GNU C++,Wrong answer on pretest 1,0 ms,2400 KB
19995293,2016-08-20 16:59:45,707C - Pythagorean Triples,GNU C++,Hacked,15 ms,2000 KB
19994728,2016-08-20 16:56:27,707C - Pythagorean Triples,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
19984539,2016-08-20 16:11:48,707A - Brain's Photos,GNU C++,Accepted,15 ms,2000 KB
19969292,2016-08-19 21:24:31,500C - New Year Book Reading,GNU C++,Wrong answer on test 3,0 ms,2000 KB
19968221,2016-08-19 20:21:33,500B - New Year Permutation,GNU C++11,Runtime error on test 2,15 ms,2000 KB
19968170,2016-08-19 20:18:52,500B - New Year Permutation,GNU C++,Runtime error on test 2,15 ms,2000 KB
19967674,2016-08-19 19:48:56,500B - New Year Permutation,GNU C++,Wrong answer on test 15,15 ms,2100 KB
