ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8788
20902682,2016-09-25 10:22:56,58A - Chat room,Python 3,Accepted,156 ms,500 KB
20812208,2016-09-22 10:55:59,122A - Lucky Division,Python 3,Wrong answer on test 26,122 ms,0 KB
20812200,2016-09-22 10:55:36,122A - Lucky Division,Python 3,Wrong answer on test 1,122 ms,0 KB
20812142,2016-09-22 10:51:46,281A - Word Capitalization,Python 3,Accepted,186 ms,0 KB
20812097,2016-09-22 10:48:42,160A - Twins,Python 3,Accepted,124 ms,0 KB
20811960,2016-09-22 10:39:15,133A - HQ9+,Python 3,Accepted,154 ms,100 KB
20811875,2016-09-22 10:32:35,266A - Stones on the Table,Python 3,Accepted,154 ms,0 KB
20811770,2016-09-22 10:23:48,131A - cAPS lOCK,Python 3,Accepted,62 ms,0 KB
20811626,2016-09-22 10:13:28,116A - Tram,Python 3,Accepted,154 ms,300 KB
20811540,2016-09-22 10:06:47,339A - Helpful Maths,Python 3,Accepted,124 ms,0 KB
20811501,2016-09-22 10:03:55,339A - Helpful Maths,Python 3,Wrong answer on test 3,122 ms,0 KB
20811411,2016-09-22 09:57:12,112A - Petya and Strings,Python 3,Accepted,124 ms,0 KB
20798929,2016-09-21 18:11:47,96A - Football,Python 3,Accepted,156 ms,0 KB
20798760,2016-09-21 18:06:04,158B - Taxi,Python 3,Accepted,154 ms,1900 KB
20798225,2016-09-21 17:46:05,158B - Taxi,Python 3,Wrong answer on test 37,124 ms,100 KB
20798138,2016-09-21 17:42:50,282A - Bit++,Python 3,Accepted,62 ms,0 KB
20798047,2016-09-21 17:39:52,231A - Team,Python 3,Accepted,124 ms,0 KB
20797610,2016-09-21 17:24:49,50A - Domino piling,Python 3,Accepted,124 ms,0 KB
20797539,2016-09-21 17:22:45,118A - String Task,Python 3,Accepted,124 ms,0 KB
20797082,2016-09-21 17:08:00,158A - Next Round,Python 3,Accepted,124 ms,100 KB
20796626,2016-09-21 16:55:06,71A - Way Too Long Words,Python 3,Accepted,124 ms,100 KB
20796370,2016-09-21 16:48:44,4A - Watermelon,Python 3,Accepted,124 ms,0 KB
20787891,2016-09-21 06:41:27,1A - Theatre Square,Python 3,Accepted,61 ms,0 KB
20787879,2016-09-21 06:39:51,1A - Theatre Square,Python 3,Runtime error on test 1,46 ms,0 KB
20787862,2016-09-21 06:37:30,1A - Theatre Square,Python 3,Runtime error on test 1,46 ms,0 KB
20787859,2016-09-21 06:37:14,1A - Theatre Square,GNU C++11,Compilation error,0 ms,0 KB
19783809,2016-08-11 15:19:35,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
