ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:8487
21240928,2016-10-06 19:40:33,723B - Text Document Analysis,GNU C++,Accepted,15 ms,0 KB
21240903,2016-10-06 19:39:17,723B - Text Document Analysis,GNU C++,Wrong answer on test 31,15 ms,0 KB
21240386,2016-10-06 19:18:30,723D - Lakes in Berland,GNU C++,Accepted,30 ms,400 KB
21240343,2016-10-06 19:16:49,723D - Lakes in Berland,GNU C++,Runtime error on test 7,15 ms,0 KB
21239906,2016-10-06 19:00:13,723D - Lakes in Berland,GNU C++,Wrong answer on test 3,15 ms,0 KB
21233421,2016-10-06 14:57:28,723A - The New Year: Meeting Friends,GNU C++,Accepted,30 ms,0 KB
21222023,2016-10-06 00:13:00,723C - Polycarp at the Radio,GNU C++,Accepted,78 ms,200 KB
21221962,2016-10-06 00:08:31,723C - Polycarp at the Radio,GNU C++,Wrong answer on test 8,15 ms,0 KB
21221810,2016-10-05 23:58:11,723C - Polycarp at the Radio,GNU C++,Wrong answer on test 2,0 ms,0 KB
21094597,2016-10-01 20:40:36,722B - Verse Pattern,GNU C++,Accepted,15 ms,0 KB
21093500,2016-10-01 19:59:37,722A - Broken Clock,GNU C++,Accepted,30 ms,0 KB
20737117,2016-09-18 17:15:37,1A - Theatre Square,GNU C++,Accepted,30 ms,0 KB
20726407,2016-09-18 09:53:20,714B - Filya and Homework,GNU C++,Accepted,249 ms,800 KB
20726367,2016-09-18 09:50:19,714B - Filya and Homework,GNU C++,Wrong answer on test 10,15 ms,0 KB
20726360,2016-09-18 09:49:41,714B - Filya and Homework,GNU C++,Wrong answer on test 3,15 ms,0 KB
20726257,2016-09-18 09:42:06,714A - Meeting of Old Friends,GNU C++,Accepted,15 ms,0 KB
20726246,2016-09-18 09:41:11,714A - Meeting of Old Friends,GNU C++,Wrong answer on test 10,15 ms,0 KB
20726240,2016-09-18 09:40:46,714A - Meeting of Old Friends,GNU C++,Wrong answer on test 6,15 ms,0 KB
20713361,2016-09-17 19:49:03,716C - Plus and Square Root,GNU C++,Time limit exceeded on test 5,2000 ms,500 KB
20697965,2016-09-17 17:35:56,716C - Plus and Square Root,GNU C++,Time limit exceeded on pretest 5,2000 ms,0 KB
20689461,2016-09-17 17:03:14,716B - Complete the Word,GNU C++,Accepted,31 ms,100 KB
20688983,2016-09-17 17:01:28,716B - Complete the Word,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
20684143,2016-09-17 16:49:09,716A - Crazy Computer,GNU C++,Accepted,280 ms,400 KB
20683622,2016-09-17 16:48:15,716A - Crazy Computer,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
20301126,2016-08-31 13:50:52,711B - Chris and Magic Square,GNU C++,Accepted,795 ms,2000 KB
20301087,2016-08-31 13:48:39,711B - Chris and Magic Square,GNU C++,Wrong answer on test 100,686 ms,1000 KB
20301060,2016-08-31 13:47:16,711B - Chris and Magic Square,GNU C++,Wrong answer on test 7,15 ms,0 KB
20301032,2016-08-31 13:45:52,711B - Chris and Magic Square,GNU C++,Wrong answer on test 4,15 ms,0 KB
20298772,2016-08-31 13:30:04,711A - Bus to Udayland,GNU C++,Accepted,15 ms,0 KB
20195740,2016-08-27 16:09:45,709B - Checkpoints,GNU C++,Wrong answer on test 10,15 ms,2000 KB
20195162,2016-08-27 15:41:49,709C - Letters Cyclic Shift,GNU C++,Accepted,46 ms,2300 KB
20129626,2016-08-24 21:10:26,709B - Checkpoints,GNU C++,Wrong answer on pretest 9,15 ms,2000 KB
20127408,2016-08-24 20:55:17,709B - Checkpoints,GNU C++,Wrong answer on pretest 9,15 ms,2000 KB
20126918,2016-08-24 20:52:03,709B - Checkpoints,GNU C++,Wrong answer on pretest 9,15 ms,2000 KB
20126226,2016-08-24 20:47:23,709B - Checkpoints,GNU C++,Wrong answer on pretest 9,15 ms,2000 KB
20125653,2016-08-24 20:43:41,709B - Checkpoints,GNU C++,Wrong answer on pretest 7,15 ms,2000 KB
20125489,2016-08-24 20:42:47,709B - Checkpoints,GNU C++,Wrong answer on pretest 7,15 ms,2000 KB
20125086,2016-08-24 20:40:24,709B - Checkpoints,GNU C++,Wrong answer on pretest 7,15 ms,2000 KB
20124991,2016-08-24 20:39:45,709B - Checkpoints,GNU C++,Compilation error,0 ms,0 KB
20123881,2016-08-24 20:33:07,709B - Checkpoints,GNU C++,Wrong answer on pretest 7,15 ms,2000 KB
20123226,2016-08-24 20:29:28,709B - Checkpoints,GNU C++,Wrong answer on pretest 9,15 ms,2000 KB
20122144,2016-08-24 20:24:09,709C - Letters Cyclic Shift,GNU C++,Wrong answer on test 15,15 ms,2300 KB
20121742,2016-08-24 20:22:08,709C - Letters Cyclic Shift,GNU C++,Wrong answer on pretest 7,15 ms,2000 KB
20120742,2016-08-24 20:17:25,709C - Letters Cyclic Shift,GNU C++,Wrong answer on pretest 7,15 ms,2000 KB
20119272,2016-08-24 20:11:08,709B - Checkpoints,GNU C++,Wrong answer on pretest 8,15 ms,2000 KB
