ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:7451
17787326,2016-05-07 18:46:06,673C - Bear and Colors,GNU C++,Accepted,61 ms,2200 KB
17784741,2016-05-07 18:28:40,673B - Problems for Round,GNU C++,Accepted,31 ms,2200 KB
17784565,2016-05-07 18:27:48,673B - Problems for Round,GNU C++,Wrong answer on pretest 1,0 ms,2000 KB
17781060,2016-05-07 18:11:21,673A - Bear and Game,GNU C++,Accepted,15 ms,2200 KB
17780610,2016-05-07 18:10:01,673A - Bear and Game,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
17359293,2016-04-17 10:19:27,606C - Sorting Railway Cars,GNU C++,Accepted,31 ms,2800 KB
17359136,2016-04-17 10:09:40,651C - Watchmen,GNU C++,Accepted,124 ms,5100 KB
17359097,2016-04-17 10:08:17,651C - Watchmen,GNU C++,Runtime error on test 10,31 ms,3400 KB
16582614,2016-03-07 16:40:50,651C - Watchmen,GNU C++,Accepted,124 ms,3100 KB
16579488,2016-03-07 14:14:24,651D - Image Preview,GNU C++,Wrong answer on pretest 5,15 ms,4400 KB
16579166,2016-03-07 14:11:24,651D - Image Preview,GNU C++,Wrong answer on pretest 5,15 ms,4400 KB
16569104,2016-03-07 12:54:21,651B - Beautiful Paintings,GNU C++,Accepted,15 ms,0 KB
16567369,2016-03-07 12:46:12,651C - Watchmen,GNU C++,Wrong answer on test 28,124 ms,3100 KB
16564287,2016-03-07 12:34:20,651A - Joysticks,GNU C++,Accepted,15 ms,0 KB
16563536,2016-03-07 12:31:47,651A - Joysticks,GNU C++,Wrong answer on pretest 7,15 ms,0 KB
15234177,2016-01-08 11:32:37,610A - Pasha and Stick,GNU C++,Accepted,15 ms,0 KB
15180694,2016-01-04 15:06:03,604C - Alternative Thinking,GNU C++,Accepted,15 ms,0 KB
15180670,2016-01-04 15:04:36,604C - Alternative Thinking,GNU C++,Runtime error on test 1,15 ms,0 KB
15180609,2016-01-04 14:58:37,603A - Alternative Thinking,GNU C++,Accepted,15 ms,0 KB
15084741,2015-12-29 15:44:31,606B - Testing Robots,GNU C++,Accepted,30 ms,200 KB
15083740,2015-12-29 14:24:53,606D - Lazy Student,GNU C++,Accepted,78 ms,1800 KB
15083606,2015-12-29 14:14:23,606D - Lazy Student,GNU C++,Wrong answer on test 7,15 ms,1800 KB
15083571,2015-12-29 14:12:01,606D - Lazy Student,GNU C++,Wrong answer on test 7,15 ms,1800 KB
15083530,2015-12-29 14:08:44,606D - Lazy Student,GNU C++,Wrong answer on test 7,15 ms,1800 KB
15083313,2015-12-29 13:50:20,606D - Lazy Student,GNU C++,Wrong answer on test 7,15 ms,1800 KB
15083126,2015-12-29 13:34:55,606C - Sorting Railway Cars,GNU C++,Accepted,31 ms,200 KB
15082735,2015-12-29 13:06:47,606A - Magic Spheres,GNU C++,Accepted,15 ms,0 KB
15078721,2015-12-29 04:40:59,414B - Mashmokh and ACM,GNU C++,Accepted,62 ms,0 KB
15071468,2015-12-28 16:41:13,607B - Zuma,GNU C++,Accepted,124 ms,800 KB
15071374,2015-12-28 16:34:52,607B - Zuma,GNU C++,Accepted,124 ms,800 KB
15069749,2015-12-28 14:35:21,608C - Chain Reaction,GNU C++,Accepted,31 ms,4900 KB
15069425,2015-12-28 14:09:25,608C - Chain Reaction,GNU C++,Wrong answer on test 11,30 ms,4900 KB
15069399,2015-12-28 14:07:51,608C - Chain Reaction,GNU C++,Wrong answer on test 11,31 ms,4900 KB
15069360,2015-12-28 14:04:48,608C - Chain Reaction,GNU C++,Wrong answer on test 11,15 ms,4900 KB
15069325,2015-12-28 14:01:40,608C - Chain Reaction,GNU C++,Wrong answer on test 6,15 ms,4900 KB
15069292,2015-12-28 13:59:12,608C - Chain Reaction,GNU C++,Wrong answer on test 11,15 ms,1800 KB
15069087,2015-12-28 13:42:20,608B - Hamming Distance Sum,GNU C++,Accepted,15 ms,1000 KB
15069070,2015-12-28 13:40:38,608B - Hamming Distance Sum,GNU C++,Wrong answer on test 9,15 ms,1800 KB
15068969,2015-12-28 13:32:57,608A - Saitama Destroys Hotel,GNU C++,Accepted,15 ms,0 KB
15068855,2015-12-28 13:23:32,608B - Hamming Distance Sum,GNU C++,Wrong answer on test 7,15 ms,200 KB
15068781,2015-12-28 13:17:09,608A - Saitama Destroys Hotel,GNU C++,Wrong answer on test 11,15 ms,0 KB
15068769,2015-12-28 13:16:18,608A - Saitama Destroys Hotel,GNU C++,Wrong answer on test 5,15 ms,0 KB
15068761,2015-12-28 13:15:27,608A - Saitama Destroys Hotel,GNU C++,Wrong answer on test 5,15 ms,0 KB
15063198,2015-12-28 03:41:24,610C - Harmony Analysis,GNU C++,Accepted,15 ms,1000 KB
15063184,2015-12-28 03:39:28,610C - Harmony Analysis,GNU C++,Wrong answer on test 3,0 ms,1000 KB
15045590,2015-12-27 14:34:30,610B - Vika and Squares,GNU C++,Accepted,46 ms,800 KB
15043050,2015-12-27 14:24:23,610A - Pasha and Stick,GNU C++,Accepted,15 ms,0 KB
13848228,2015-10-25 13:28:18,591C - Median Smoothing,GNU C++,Accepted,77 ms,800 KB
13845464,2015-10-25 13:03:22,591C - Median Smoothing,GNU C++,Wrong answer on pretest 5,15 ms,800 KB
13845043,2015-10-25 12:59:36,591C - Median Smoothing,GNU C++,Wrong answer on pretest 5,15 ms,800 KB
13839250,2015-10-25 12:17:54,591B - Rebranding,GNU C++,Accepted,15 ms,0 KB
13837072,2015-10-25 12:07:48,591A - Wizards' Duel,GNU C++,Accepted,15 ms,0 KB
