ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:10488
20934062,2016-09-26 23:22:05,719A - Vitya in the Countryside,Java 8,Accepted,139 ms,0 KB
20934054,2016-09-26 23:21:37,719A - Vitya in the Countryside,Java 8,Compilation error,0 ms,0 KB
19995230,2016-08-20 16:59:23,707C - Pythagorean Triples,Python 2,Accepted,61 ms,4500 KB
19994302,2016-08-20 16:53:53,707C - Pythagorean Triples,GNU C,Wrong answer on pretest 12,15 ms,1800 KB
19989820,2016-08-20 16:31:04,707A - Brain's Photos,Java 8,Accepted,171 ms,20400 KB
19806170,2016-08-11 20:59:46,706B - Interesting drink,GNU C++,Hacked,623 ms,2800 KB
19792027,2016-08-11 19:48:51,706A - Beru-taxi,GNU C++,Accepted,15 ms,2000 KB
19627438,2016-08-04 19:22:12,703B - Mishka and trip,GNU C,Time limit exceeded on pretest 10,1000 ms,2600 KB
19627243,2016-08-04 19:19:55,703A - Mishka and Game,GNU C,Wrong answer on pretest 6,15 ms,1800 KB
19491079,2016-07-29 18:54:04,702B - Powers of Two,Python 2,Wrong answer on test 6,420 ms,100 KB
19489295,2016-07-29 18:42:08,702A - Maximum Increase,Python 2,Wrong answer on test 1,62 ms,0 KB
19486982,2016-07-29 18:27:17,702A - Maximum Increase,Python 2,Wrong answer on test 1,31 ms,0 KB
