ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9324
21177891,2016-10-04 06:47:43,722D - Generating Sets,GNU C++14,Accepted,312 ms,1700 KB
21102405,2016-10-02 02:21:48,722C - Destroying Array,GNU C++14,Time limit exceeded on test 32,1000 ms,6400 KB
21102402,2016-10-02 02:21:03,722C - Destroying Array,GNU C++14,Wrong answer on test 15,561 ms,6400 KB
21102389,2016-10-02 02:19:44,722C - Destroying Array,GNU C++14,Wrong answer on test 15,670 ms,5400 KB
21102379,2016-10-02 02:18:59,722C - Destroying Array,GNU C++14,Wrong answer on test 15,499 ms,5400 KB
21088016,2016-10-01 18:31:47,722C - Destroying Array,Java 8,Time limit exceeded on test 32,1000 ms,5600 KB
21081587,2016-10-01 17:48:59,722B - Verse Pattern,Java 8,Accepted,124 ms,0 KB
21080764,2016-10-01 17:44:35,722A - Broken Clock,Java 8,Accepted,187 ms,0 KB
21080661,2016-10-01 17:44:06,722A - Broken Clock,Java 8,Runtime error on pretest 1,140 ms,0 KB
21076985,2016-10-01 17:28:38,722A - Broken Clock,Java 8,Hacked,139 ms,0 KB
21075782,2016-10-01 17:24:37,722A - Broken Clock,Java 8,Wrong answer on pretest 5,140 ms,0 KB
21073924,2016-10-01 17:19:02,722A - Broken Clock,Java 8,Wrong answer on pretest 5,124 ms,0 KB
21073143,2016-10-01 17:16:57,722A - Broken Clock,Java 8,Runtime error on pretest 1,93 ms,0 KB
21049935,2016-09-30 23:02:18,721C - Journey,Java 8,Time limit exceeded on test 5,3000 ms,253400 KB
21048095,2016-09-30 21:44:19,721C - Journey,Java 8,Runtime error on test 3,124 ms,0 KB
21040950,2016-09-30 18:57:34,721C - Journey,Java 8,Wrong answer on pretest 4,109 ms,0 KB
21040747,2016-09-30 18:56:25,721C - Journey,Java 8,Wrong answer on pretest 4,109 ms,0 KB
21027201,2016-09-30 17:44:08,721B - Passwords,Java 8,Accepted,233 ms,0 KB
21026901,2016-09-30 17:42:46,721B - Passwords,Java 8,Wrong answer on pretest 1,155 ms,0 KB
21020364,2016-09-30 17:19:25,721A - One-dimensional Japanese Crossword,Java 8,Accepted,170 ms,0 KB
20699751,2016-09-17 17:44:03,716B - Complete the Word,Java 8,Accepted,171 ms,0 KB
20685154,2016-09-17 16:50:47,716A - Crazy Computer,Java 8,Accepted,156 ms,0 KB
20615272,2016-09-14 16:21:55,714C - Sonya and Queries,Java 8,Accepted,468 ms,0 KB
20615148,2016-09-14 16:19:04,714C - Sonya and Queries,Java 8,Wrong answer on test 4,108 ms,0 KB
20593956,2016-09-13 21:17:20,714C - Sonya and Queries,Java 8,Wrong answer on pretest 3,93 ms,0 KB
20588832,2016-09-13 20:42:14,714C - Sonya and Queries,Java 8,Wrong answer on pretest 3,93 ms,0 KB
20581167,2016-09-13 20:06:17,714A - Meeting of Old Friends,Java 8,Accepted,140 ms,0 KB
20580249,2016-09-13 20:02:51,714A - Meeting of Old Friends,Java 8,Wrong answer on pretest 5,109 ms,0 KB
20578842,2016-09-13 19:58:22,714B - Filya and Homework,Java 8,Accepted,186 ms,2200 KB
20574708,2016-09-13 19:47:20,714A - Meeting of Old Friends,Java 8,Wrong answer on pretest 3,108 ms,0 KB
20291955,2016-08-31 03:40:10,711C - Coloring Trees,GNU C++11,Accepted,327 ms,8100 KB
20291949,2016-08-31 03:39:13,711C - Coloring Trees,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20263002,2016-08-29 22:22:43,711B - Chris and Magic Square,GNU C++11,Accepted,748 ms,1900 KB
20262966,2016-08-29 22:21:29,711B - Chris and Magic Square,GNU C++11,Wrong answer on test 7,15 ms,0 KB
20260921,2016-08-29 20:49:03,711A - Bus to Udayland,GNU C++11,Accepted,15 ms,0 KB
20260888,2016-08-29 20:47:51,711A - Bus to Udayland,GNU C++11,Wrong answer on test 3,15 ms,0 KB
20260844,2016-08-29 20:46:26,711A - Bus to Udayland,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20123430,2016-08-24 20:30:37,709C - Letters Cyclic Shift,Java 8,Accepted,140 ms,20000 KB
20116651,2016-08-24 20:00:54,709B - Checkpoints,Java 8,Accepted,155 ms,20300 KB
20115121,2016-08-24 19:55:59,709B - Checkpoints,Java 8,Runtime error on pretest 4,124 ms,19700 KB
20111060,2016-08-24 19:41:36,709A - Juicer,Java 8,Accepted,170 ms,19900 KB
20073416,2016-08-23 01:54:35,710B - Optimal Point on a Line,GNU C++11,Accepted,748 ms,5100 KB
20072846,2016-08-23 00:49:21,710B - Optimal Point on a Line,Java 8,Time limit exceeded on test 24,1000 ms,35000 KB
20072554,2016-08-23 00:22:29,710E - Generate a String,Java 8,Wrong answer on test 1,92 ms,20200 KB
20070444,2016-08-22 22:03:53,710E - Generate a String,Java 8,Time limit exceeded on test 13,2000 ms,244500 KB
20070415,2016-08-22 22:02:18,710E - Generate a String,Java 8,Wrong answer on test 6,109 ms,20300 KB
20055190,2016-08-22 17:46:13,710C - Magic Odd Square,Java 8,Accepted,218 ms,20800 KB
20052679,2016-08-22 17:32:16,710B - Optimal Point on a Line,Java 8,Hacked,202 ms,35000 KB
20048792,2016-08-22 17:16:40,710A - King Moves,Java 8,Compilation error,0 ms,0 KB
20030008,2016-08-21 18:40:44,707C - Pythagorean Triples,GNU C++11,Accepted,31 ms,2000 KB
20029968,2016-08-21 18:38:43,707C - Pythagorean Triples,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
20029485,2016-08-21 18:11:46,707C - Pythagorean Triples,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
19991783,2016-08-20 16:40:17,707B - Bakery,Java 8,Accepted,311 ms,50100 KB
19989850,2016-08-20 16:31:15,707B - Bakery,Java 8,Wrong answer on pretest 3,93 ms,19700 KB
19984616,2016-08-20 16:11:52,707A - Brain's Photos,Java 8,Accepted,139 ms,20000 KB
19892146,2016-08-15 19:36:57,706B - Interesting drink,Java 8,Accepted,467 ms,20200 KB
19892086,2016-08-15 19:33:00,706B - Interesting drink,Java 8,Runtime error on test 1,108 ms,19900 KB
19891991,2016-08-15 19:27:43,706B - Interesting drink,Java 8,Runtime error on test 7,420 ms,20000 KB
19891968,2016-08-15 19:26:47,706B - Interesting drink,Java 8,Runtime error on test 2,93 ms,19900 KB
19873110,2016-08-14 20:26:25,669B - Little Artem and Grasshopper,Java 8,Accepted,140 ms,21200 KB
