ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9324
21177891,2016-10-04 06:47:43,722D - Generating Sets,GNU C++14,Accepted,312 ms,1700 KB
21102405,2016-10-02 02:21:48,722C - Destroying Array,GNU C++14,Time limit exceeded on test 32,1000 ms,6400 KB
21102402,2016-10-02 02:21:03,722C - Destroying Array,GNU C++14,Wrong answer on test 15,561 ms,6400 KB
21102389,2016-10-02 02:19:44,722C - Destroying Array,GNU C++14,Wrong answer on test 15,670 ms,5400 KB
21102379,2016-10-02 02:18:59,722C - Destroying Array,GNU C++14,Wrong answer on test 15,499 ms,5400 KB
20291955,2016-08-31 03:40:10,711C - Coloring Trees,GNU C++11,Accepted,327 ms,8100 KB
20291949,2016-08-31 03:39:13,711C - Coloring Trees,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20263002,2016-08-29 22:22:43,711B - Chris and Magic Square,GNU C++11,Accepted,748 ms,1900 KB
20262966,2016-08-29 22:21:29,711B - Chris and Magic Square,GNU C++11,Wrong answer on test 7,15 ms,0 KB
20260921,2016-08-29 20:49:03,711A - Bus to Udayland,GNU C++11,Accepted,15 ms,0 KB
20260888,2016-08-29 20:47:51,711A - Bus to Udayland,GNU C++11,Wrong answer on test 3,15 ms,0 KB
20260844,2016-08-29 20:46:26,711A - Bus to Udayland,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20073416,2016-08-23 01:54:35,710B - Optimal Point on a Line,GNU C++11,Accepted,748 ms,5100 KB
20030008,2016-08-21 18:40:44,707C - Pythagorean Triples,GNU C++11,Accepted,31 ms,2000 KB
20029968,2016-08-21 18:38:43,707C - Pythagorean Triples,GNU C++11,Wrong answer on test 3,15 ms,2000 KB
20029485,2016-08-21 18:11:46,707C - Pythagorean Triples,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
19371167,2016-07-23 22:23:14,678C - Joty and Chocolate,GNU C++11,Accepted,31 ms,0 KB
19370877,2016-07-23 22:05:05,678C - Joty and Chocolate,GNU C++11,Time limit exceeded on test 17,1000 ms,0 KB
19370838,2016-07-23 22:02:43,678C - Joty and Chocolate,GNU C++11,Time limit exceeded on test 16,1000 ms,0 KB
