ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:10183
20705835,2016-09-17 18:15:09,716B - Complete the Word,GNU C++,Accepted,46 ms,4000 KB
20701108,2016-09-17 17:50:28,716B - Complete the Word,GNU C++,Wrong answer on pretest 6,15 ms,3900 KB
20700414,2016-09-17 17:47:17,716B - Complete the Word,GNU C++,Wrong answer on pretest 6,15 ms,3900 KB
20696196,2016-09-17 17:28:14,716B - Complete the Word,GNU C++,Wrong answer on pretest 6,15 ms,3900 KB
20693320,2016-09-17 17:17:03,716B - Complete the Word,GNU C++,Wrong answer on pretest 6,0 ms,3900 KB
20691042,2016-09-17 17:08:55,716B - Complete the Word,GNU C++,Wrong answer on pretest 6,15 ms,3900 KB
20685749,2016-09-17 16:51:51,716A - Crazy Computer,GNU C++,Accepted,249 ms,7800 KB
19600315,2016-08-03 18:00:37,1A - Theatre Square,GNU C++11,Accepted,15 ms,0 KB
19600269,2016-08-03 17:57:48,1A - Theatre Square,GNU C++11,Wrong answer on test 9,15 ms,0 KB
14264187,2015-11-15 10:01:17,1A - Theatre Square,GNU C,Compilation error,0 ms,0 KB
11915383,2015-07-03 22:47:52,556A - Case of the Zeros and Ones,GNU C,Time limit exceeded on test 12,1000 ms,200 KB
