ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:9899
20708573,2016-09-17 18:30:10,716B - Complete the Word,MS C#,Accepted,124 ms,5200 KB
20705393,2016-09-17 18:12:26,716B - Complete the Word,MS C#,Wrong answer on pretest 6,46 ms,0 KB
20703676,2016-09-17 18:02:49,716B - Complete the Word,MS C#,Wrong answer on pretest 6,46 ms,0 KB
20703545,2016-09-17 18:02:12,716B - Complete the Word,MS C#,Wrong answer on pretest 6,62 ms,0 KB
20687901,2016-09-17 16:57:36,716A - Crazy Computer,MS C#,Accepted,93 ms,10300 KB
20259688,2016-08-29 20:07:54,707B - Bakery,MS C#,Runtime error on test 21,62 ms,5300 KB
20259651,2016-08-29 20:06:48,707B - Bakery,MS C#,Runtime error on test 21,77 ms,5300 KB
20259598,2016-08-29 20:05:22,707B - Bakery,MS C#,Wrong answer on test 4,46 ms,2500 KB
20258830,2016-08-29 19:42:59,707B - Bakery,MS C#,Runtime error on test 21,78 ms,5100 KB
20256115,2016-08-29 18:43:02,707B - Bakery,MS C#,Runtime error on test 21,46 ms,3000 KB
20255980,2016-08-29 18:36:59,707B - Bakery,MS C#,Runtime error on test 21,77 ms,2900 KB
20000878,2016-08-20 17:37:47,707C - Pythagorean Triples,MS C#,Accepted,62 ms,8700 KB
19987592,2016-08-20 16:21:37,707A - Brain's Photos,MS C#,Accepted,61 ms,9100 KB
19911664,2016-08-16 19:45:34,706A - Beru-taxi,MS C#,Accepted,46 ms,8900 KB
19911505,2016-08-16 19:37:11,706A - Beru-taxi,MS C#,Accepted,46 ms,8900 KB
19911428,2016-08-16 19:33:20,706A - Beru-taxi,MS C#,Runtime error on test 1,30 ms,9900 KB
19911364,2016-08-16 19:30:04,706A - Beru-taxi,MS C#,Wrong answer on test 2,46 ms,8800 KB
19911046,2016-08-16 19:11:10,706A - Beru-taxi,MS C#,Wrong answer on test 2,46 ms,8800 KB
19911002,2016-08-16 19:08:35,706A - Beru-taxi,MS C#,Wrong answer on test 2,31 ms,8500 KB
19910875,2016-08-16 19:00:08,706A - Beru-taxi,MS C#,Wrong answer on test 2,31 ms,8400 KB
19910856,2016-08-16 18:59:16,706A - Beru-taxi,MS C#,Wrong answer on test 2,30 ms,8400 KB
19910281,2016-08-16 18:24:13,706A - Beru-taxi,Mono C#,Wrong answer on test 2,31 ms,8500 KB
19910275,2016-08-16 18:23:55,706A - Beru-taxi,MS C#,Wrong answer on test 2,31 ms,8400 KB
19910170,2016-08-16 18:18:04,706A - Beru-taxi,MS C#,Wrong answer on test 2,31 ms,8400 KB
19910133,2016-08-16 18:16:00,706A - Beru-taxi,MS C#,Wrong answer on test 2,31 ms,8400 KB
19910119,2016-08-16 18:15:07,706A - Beru-taxi,MS C#,Wrong answer on test 1,46 ms,8400 KB
19910070,2016-08-16 18:12:16,706A - Beru-taxi,MS C#,Wrong answer on test 1,46 ms,8400 KB
19908093,2016-08-16 16:21:19,705A - Hulk,MS C#,Accepted,61 ms,8700 KB
2585975,2012-11-18 20:23:11,244B - Undoubtedly Lucky Numbers,GNU C++,Time limit exceeded on test 6,2000 ms,0 KB
2585849,2012-11-18 19:44:54,244A - Dividing Orange,GNU C++,Accepted,31 ms,0 KB
