ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:14404
21475918,2016-10-16 12:43:46,427A - Police Recruits,GNU C++11,Accepted,140 ms,2000 KB
21475893,2016-10-16 12:42:17,372A - Counting Kangaroos is Fun,GNU C++11,Time limit exceeded on test 19,1000 ms,5900 KB
21475816,2016-10-16 12:40:49,727A - Transformation: from A to B,GNU C++14,Wrong answer on test 2,15 ms,1800 KB
21475777,2016-10-16 12:38:21,727A - Transformation: from A to B,GNU C++11,Wrong answer on test 2,15 ms,1800 KB
21475711,2016-10-16 12:32:44,727A - Transformation: from A to B,GNU C++11,Time limit exceeded on test 2,1000 ms,11400 KB
21475703,2016-10-16 12:31:50,727A - Transformation: from A to B,GNU C++11,Time limit exceeded on test 2,1000 ms,11500 KB
21453712,2016-10-15 13:55:43,727A - Transformation: from A to B,GNU C++11,Wrong answer on test 20,15 ms,1800 KB
21452312,2016-10-15 13:41:33,727A - Transformation: from A to B,GNU C++14,Wrong answer on pretest 4,15 ms,1800 KB
21451364,2016-10-15 13:32:18,727A - Transformation: from A to B,GNU C++11,Wrong answer on pretest 4,15 ms,1800 KB
21450503,2016-10-15 13:23:46,727A - Transformation: from A to B,GNU C++11,Wrong answer on pretest 5,15 ms,1800 KB
21450242,2016-10-15 13:20:56,727A - Transformation: from A to B,GNU C++11,Idleness limit exceeded on pretest 1,0 ms,0 KB
21191404,2016-10-04 19:26:02,723A - The New Year: Meeting Friends,GNU C++14,Wrong answer on test 3,15 ms,0 KB
21191283,2016-10-04 19:20:32,723A - The New Year: Meeting Friends,GNU C++14,Wrong answer on test 3,15 ms,0 KB
21191259,2016-10-04 19:19:35,723A - The New Year: Meeting Friends,GNU C++14,Idleness limit exceeded on test 1,0 ms,0 KB
