ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15311
17853941,2016-05-11 20:15:17,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
17141273,2016-04-03 10:08:35,136A - Presents,GNU C++11,Accepted,30 ms,2600 KB
17141246,2016-04-03 10:05:41,136A - Presents,GNU C++11,Compilation error,0 ms,0 KB
16671277,2016-03-12 13:58:16,82A - Double Cola,GNU C++11,Accepted,15 ms,0 KB
16651545,2016-03-11 18:25:11,110A - Nearly Lucky Number,GNU C++11,Accepted,30 ms,0 KB
16650635,2016-03-11 17:34:10,110A - Nearly Lucky Number,GNU C++11,Wrong answer on test 1,0 ms,0 KB
16650540,2016-03-11 17:29:03,110A - Nearly Lucky Number,GNU C++11,Wrong answer on test 7,30 ms,0 KB
16650513,2016-03-11 17:27:10,110A - Nearly Lucky Number,MS C++,Compilation error,0 ms,0 KB
16650503,2016-03-11 17:26:45,110A - Nearly Lucky Number,GNU C++,Compilation error,0 ms,0 KB
16650495,2016-03-11 17:26:18,110A - Nearly Lucky Number,GNU C++11,Compilation error,0 ms,0 KB
16650478,2016-03-11 17:25:27,110A - Nearly Lucky Number,GNU C++11,Compilation error,0 ms,0 KB
16650277,2016-03-11 17:13:52,263A - Beautiful Matrix,GNU C++11,Accepted,30 ms,0 KB
16649433,2016-03-11 16:30:15,148A - Insomnia cure,GNU C++11,Accepted,60 ms,0 KB
16649098,2016-03-11 16:12:13,467A - George and Accommodation,GNU C++11,Accepted,15 ms,0 KB
16648986,2016-03-11 16:07:17,58A - Chat room,GNU C++11,Accepted,30 ms,0 KB
16648937,2016-03-11 16:04:10,58A - Chat room,GNU C++11,Wrong answer on test 35,30 ms,0 KB
16648745,2016-03-11 15:52:49,122A - Lucky Division,GNU C++11,Accepted,30 ms,0 KB
16648731,2016-03-11 15:52:23,122A - Lucky Division,GNU C++11,Compilation error,0 ms,0 KB
16648683,2016-03-11 15:49:38,122A - Lucky Division,GNU C++11,Wrong answer on test 26,30 ms,0 KB
16648660,2016-03-11 15:48:38,122A - Lucky Division,GNU C++11,Compilation error,0 ms,0 KB
16648577,2016-03-11 15:43:08,236A - Boy or Girl,GNU C++11,Accepted,30 ms,0 KB
16640206,2016-03-11 00:20:52,236A - Boy or Girl,GNU C++11,Wrong answer on test 6,30 ms,0 KB
16640119,2016-03-11 00:11:41,236A - Boy or Girl,GNU C++11,Wrong answer on test 2,30 ms,0 KB
16640067,2016-03-11 00:06:46,236A - Boy or Girl,GNU C++11,Wrong answer on test 2,30 ms,0 KB
16640032,2016-03-11 00:04:09,236A - Boy or Girl,GNU C++11,Wrong answer on test 1,30 ms,0 KB
16639982,2016-03-11 00:00:26,281A - Word Capitalization,GNU C++11,Accepted,30 ms,0 KB
16639938,2016-03-10 23:55:30,160A - Twins,GNU C++11,Accepted,30 ms,400 KB
16639398,2016-03-10 23:03:58,133A - HQ9+,GNU C++11,Accepted,30 ms,0 KB
16639374,2016-03-10 23:01:51,133A - HQ9+,GNU C++11,Wrong answer on test 3,0 ms,0 KB
16639320,2016-03-10 22:57:26,266A - Stones on the Table,GNU C++11,Accepted,60 ms,0 KB
16639229,2016-03-10 22:50:24,339A - Helpful Maths,GNU C++11,Accepted,30 ms,0 KB
16638818,2016-03-10 22:19:44,112A - Petya and Strings,GNU C++11,Accepted,30 ms,0 KB
16638794,2016-03-10 22:18:10,112A - Petya and Strings,GNU C++11,Wrong answer on test 8,30 ms,0 KB
16638778,2016-03-10 22:17:15,112A - Petya and Strings,GNU C++11,Wrong answer on test 8,30 ms,0 KB
16638752,2016-03-10 22:15:30,112A - Petya and Strings,GNU C++11,Wrong answer on test 8,30 ms,0 KB
16636482,2016-03-10 19:46:04,112A - Petya and Strings,GNU C++11,Wrong answer on test 5,30 ms,0 KB
16635885,2016-03-10 19:09:11,131A - cAPS lOCK,GNU C++11,Accepted,15 ms,0 KB
16635283,2016-03-10 18:31:50,131A - cAPS lOCK,GNU C++11,Wrong answer on test 3,15 ms,0 KB
16635197,2016-03-10 18:26:02,116A - Tram,GNU C++11,Accepted,30 ms,800 KB
16634955,2016-03-10 18:10:47,96A - Football,GNU C++11,Accepted,30 ms,0 KB
16634947,2016-03-10 18:09:48,96A - Football,GNU C++11,Runtime error on test 5,0 ms,0 KB
16634733,2016-03-10 17:57:25,282A - Bit++,GNU C++11,Accepted,15 ms,0 KB
16634562,2016-03-10 17:46:35,231A - Team,GNU C++11,Accepted,30 ms,400 KB
16634317,2016-03-10 17:28:14,118A - String Task,GNU C++11,Accepted,30 ms,0 KB
16634231,2016-03-10 17:22:20,118A - String Task,GNU C++11,Wrong answer on test 2,0 ms,0 KB
16634113,2016-03-10 17:15:48,158A - Next Round,GNU C++11,Accepted,30 ms,0 KB
16624269,2016-03-09 23:47:48,158A - Next Round,GNU C++11,Wrong answer on test 5,30 ms,400 KB
16624265,2016-03-09 23:47:24,158A - Next Round,GNU C++11,Wrong answer on test 2,30 ms,400 KB
16624214,2016-03-09 23:43:01,158A - Next Round,MS C++,Wrong answer on test 4,0 ms,400 KB
16624190,2016-03-09 23:41:26,158A - Next Round,GNU C++11,Wrong answer on test 4,30 ms,400 KB
16624168,2016-03-09 23:39:44,158A - Next Round,GNU C++11,Wrong answer on test 4,0 ms,400 KB
16624028,2016-03-09 23:29:23,71A - Way Too Long Words,GNU C++11,Accepted,30 ms,0 KB
16623908,2016-03-09 23:21:29,1A - Theatre Square,GNU C++11,Accepted,30 ms,0 KB
16623897,2016-03-09 23:20:48,1A - Theatre Square,GNU C++11,Wrong answer on test 16,30 ms,0 KB
16623853,2016-03-09 23:17:41,1A - Theatre Square,GNU C++11,Wrong answer on test 4,30 ms,0 KB
16623778,2016-03-09 23:12:54,1A - Theatre Square,GNU C++11,Wrong answer on test 3,30 ms,0 KB
15753867,2016-02-02 19:11:42,597A - Divisibility,GNU C++11,Wrong answer on test 8,15 ms,0 KB
15753846,2016-02-02 19:10:37,597A - Divisibility,GNU C++11,Wrong answer on test 2,15 ms,0 KB
15753801,2016-02-02 19:08:28,597A - Divisibility,GNU C++11,Wrong answer on test 1,15 ms,0 KB
15753638,2016-02-02 18:59:34,597A - Divisibility,GNU C++11,Time limit exceeded on test 57,1000 ms,0 KB
15753567,2016-02-02 18:54:18,597A - Divisibility,GNU C++11,Time limit exceeded on test 64,1000 ms,0 KB
15753492,2016-02-02 18:50:48,597A - Divisibility,GNU C++11,Time limit exceeded on test 64,1000 ms,0 KB
15753433,2016-02-02 18:48:11,597A - Divisibility,GNU C++11,Wrong answer on test 63,31 ms,0 KB
15753422,2016-02-02 18:47:33,597A - Divisibility,GNU C++11,Wrong answer on test 62,46 ms,0 KB
15753353,2016-02-02 18:44:00,597A - Divisibility,GNU C++11,Wrong answer on test 62,46 ms,0 KB
15753334,2016-02-02 18:42:57,597A - Divisibility,GNU C++11,Wrong answer on test 61,31 ms,0 KB
15753317,2016-02-02 18:41:55,597A - Divisibility,GNU C++11,Wrong answer on test 60,31 ms,0 KB
15753259,2016-02-02 18:38:23,597A - Divisibility,GNU C++11,Wrong answer on test 58,46 ms,0 KB
15753240,2016-02-02 18:37:06,597A - Divisibility,GNU C++11,Time limit exceeded on test 58,1000 ms,0 KB
15753223,2016-02-02 18:35:47,597A - Divisibility,GNU C++11,Wrong answer on test 4,15 ms,0 KB
15753156,2016-02-02 18:32:12,597A - Divisibility,GNU C++11,Wrong answer on test 60,31 ms,0 KB
15753137,2016-02-02 18:31:17,597A - Divisibility,GNU C++11,Wrong answer on test 59,31 ms,0 KB
15753062,2016-02-02 18:26:26,597A - Divisibility,GNU C++11,Time limit exceeded on test 59,1000 ms,0 KB
15753041,2016-02-02 18:25:06,597A - Divisibility,GNU C++11,Wrong answer on test 58,46 ms,0 KB
15753006,2016-02-02 18:23:00,597A - Divisibility,GNU C++11,Time limit exceeded on test 57,1000 ms,0 KB
15752944,2016-02-02 18:19:21,597A - Divisibility,GNU C++11,Time limit exceeded on test 57,1000 ms,0 KB
15752898,2016-02-02 18:16:35,597A - Divisibility,GNU C++11,Time limit exceeded on test 4,1000 ms,0 KB
15752821,2016-02-02 18:12:02,597A - Divisibility,GNU C++11,Compilation error,0 ms,0 KB
15752778,2016-02-02 18:09:38,597A - Divisibility,GNU C++11,Time limit exceeded on test 57,1000 ms,87600 KB
15752727,2016-02-02 18:06:03,597A - Divisibility,GNU C++11,Time limit exceeded on test 57,1000 ms,87600 KB
15752715,2016-02-02 18:05:16,597A - Divisibility,GNU C++11,Runtime error on test 1,77 ms,262100 KB
15752690,2016-02-02 18:03:51,597A - Divisibility,GNU C++11,Time limit exceeded on test 51,1000 ms,12000 KB
15752670,2016-02-02 18:02:40,597A - Divisibility,GNU C++11,Time limit exceeded on test 24,1000 ms,9800 KB
15752567,2016-02-02 17:56:04,597A - Divisibility,GNU C++11,Wrong answer on test 5,15 ms,400 KB
15680737,2016-01-30 18:11:39,461A - Appleman and Toastman,GNU C++11,Accepted,592 ms,2300 KB
15680687,2016-01-30 18:08:50,461A - Appleman and Toastman,GNU C++11,Wrong answer on test 8,561 ms,1200 KB
15680670,2016-01-30 18:08:05,461A - Appleman and Toastman,GNU C++11,Time limit exceeded on test 7,2000 ms,12600 KB
15680645,2016-01-30 18:05:37,461A - Appleman and Toastman,GNU C++11,Wrong answer on test 7,342 ms,1200 KB
15680467,2016-01-30 17:53:41,461A - Appleman and Toastman,GNU C++11,Time limit exceeded on test 7,2000 ms,12900 KB
15680094,2016-01-30 17:32:19,461A - Appleman and Toastman,GNU C++11,Compilation error,0 ms,0 KB
