ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:14913
21868799,2016-10-29 13:08:13,349A - Cinema Line,Python 2,Accepted,248 ms,3800 KB
21868683,2016-10-29 13:00:50,349A - Cinema Line,Python 2,Wrong answer on test 12,218 ms,3700 KB
21868618,2016-10-29 12:57:09,349A - Cinema Line,Python 2,Wrong answer on test 8,92 ms,0 KB
21865829,2016-10-29 10:24:01,730H - Delete Them,Python 2,Accepted,62 ms,0 KB
21659460,2016-10-22 10:00:18,53C - Little Frog,Python 2,Accepted,92 ms,600 KB
21659203,2016-10-22 09:46:59,115A - Party,Python 2,Wrong answer on test 3,92 ms,100 KB
21659039,2016-10-22 09:38:24,258A - Little Elephant and Bits,Python 2,Accepted,124 ms,1700 KB
21560456,2016-10-18 11:02:15,732B - Cormen --- The Best Friend Of a Man,Python 2,Accepted,62 ms,4500 KB
21560207,2016-10-18 10:48:28,732A - Buy a Shovel,Python 2,Accepted,62 ms,4500 KB
21560190,2016-10-18 10:47:19,732A - Buy a Shovel,Python 2,Wrong answer on test 3,61 ms,4500 KB
21560052,2016-10-18 10:39:04,731B - Coupons and Discounts,Python 2,Accepted,295 ms,15300 KB
21559842,2016-10-18 10:26:58,731A - Night at the Museum,Python 2,Accepted,62 ms,4500 KB
21493349,2016-10-16 15:04:03,264A - Escape from Stones,Python 2,Accepted,639 ms,66200 KB
21493276,2016-10-16 14:58:31,456A - Laptops,Python 2,Wrong answer on test 2,61 ms,4500 KB
21493146,2016-10-16 14:51:02,264A - Escape from Stones,Python 2,Wrong answer on test 11,61 ms,4500 KB
21462570,2016-10-15 19:39:56,118A - String Task,Python 2,Accepted,154 ms,4500 KB
21462453,2016-10-15 19:33:51,337A - Puzzles,GNU C++11,Accepted,30 ms,2000 KB
21462436,2016-10-15 19:32:39,337A - Puzzles,GNU C++11,Wrong answer on test 2,30 ms,2000 KB
21178011,2016-10-04 06:58:28,723B - Text Document Analysis,Python 2,Accepted,77 ms,100 KB
21168357,2016-10-03 20:09:21,363B - Fence,Python 2,Accepted,171 ms,6000 KB
21168136,2016-10-03 20:00:48,363B - Fence,Python 2,Time limit exceeded on test 7,1000 ms,1500 KB
21167927,2016-10-03 19:53:03,363B - Fence,Python 2,Wrong answer on test 15,139 ms,3000 KB
21167862,2016-10-03 19:51:12,363B - Fence,Python 2,Wrong answer on test 2,61 ms,0 KB
21167815,2016-10-03 19:49:57,363B - Fence,Python 2,Wrong answer on test 10,186 ms,3000 KB
21111826,2016-10-02 13:31:48,722A - Broken Clock,Python 2,Accepted,62 ms,0 KB
21111755,2016-10-02 13:28:53,722A - Broken Clock,Python 2,Wrong answer on test 20,62 ms,0 KB
21111608,2016-10-02 13:22:40,722A - Broken Clock,Python 2,Wrong answer on test 12,46 ms,0 KB
21111491,2016-10-02 13:17:19,722A - Broken Clock,Python 2,Wrong answer on test 12,61 ms,0 KB
21111385,2016-10-02 13:11:13,722A - Broken Clock,Python 2,Wrong answer on test 5,46 ms,0 KB
21111297,2016-10-02 13:06:03,722A - Broken Clock,Python 2,Wrong answer on test 29,77 ms,0 KB
21110924,2016-10-02 12:46:25,722B - Verse Pattern,Python 2,Accepted,61 ms,100 KB
21110765,2016-10-02 12:38:42,722B - Verse Pattern,Python 2,Wrong answer on test 5,62 ms,100 KB
21034849,2016-09-30 18:22:54,721C - Journey,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
21026500,2016-09-30 17:40:59,721B - Passwords,Python 2,Wrong answer on test 10,61 ms,0 KB
21019525,2016-09-30 17:17:05,721A - One-dimensional Japanese Crossword,Python 2,Accepted,62 ms,0 KB
21001263,2016-09-29 22:04:30,604B - More Cowbell,Python 2,Wrong answer on test 1,30 ms,0 KB
21000772,2016-09-29 21:38:19,708B - Recover the String,Python 2,Wrong answer on test 3,46 ms,100 KB
21000537,2016-09-29 21:27:40,709B - Checkpoints,Python 2,Runtime error on test 7,62 ms,0 KB
20998353,2016-09-29 19:43:01,709B - Checkpoints,Python 2,Wrong answer on test 2,31 ms,0 KB
20997636,2016-09-29 19:13:29,710B - Optimal Point on a Line,Python 2,Accepted,389 ms,15900 KB
20997612,2016-09-29 19:12:19,710B - Optimal Point on a Line,Python 2,Wrong answer on test 1,31 ms,0 KB
20963687,2016-09-28 12:34:48,706B - Interesting drink,GNU C++11,Accepted,732 ms,800 KB
20963616,2016-09-28 12:30:36,706B - Interesting drink,GNU C++11,Time limit exceeded on test 11,2000 ms,800 KB
20963577,2016-09-28 12:28:11,706B - Interesting drink,Python 2,Compilation error,0 ms,0 KB
20947747,2016-09-27 16:51:03,667B - Coat of Anticubism,Python 2,Accepted,124 ms,2700 KB
20947712,2016-09-27 16:50:12,667B - Coat of Anticubism,GNU C++11,Compilation error,0 ms,0 KB
20947121,2016-09-27 16:28:43,669A - Little Artem and Presents,GNU C++11,Accepted,858 ms,0 KB
20946948,2016-09-27 16:22:35,669A - Little Artem and Presents,Python 2,Time limit exceeded on test 8,2000 ms,0 KB
20906221,2016-09-25 14:04:46,550A - Two Substrings,Python 2,Accepted,93 ms,2400 KB
20906118,2016-09-25 13:57:57,550A - Two Substrings,Python 2,Time limit exceeded on test 72,2000 ms,900 KB
20906103,2016-09-25 13:56:59,550A - Two Substrings,Python 2,Wrong answer on test 37,93 ms,900 KB
20906087,2016-09-25 13:56:01,550A - Two Substrings,Python 2,Wrong answer on test 1,30 ms,0 KB
20906006,2016-09-25 13:51:40,550A - Two Substrings,Python 2,Wrong answer on test 36,93 ms,900 KB
20905914,2016-09-25 13:45:26,550A - Two Substrings,Python 2,Wrong answer on test 26,92 ms,900 KB
20903201,2016-09-25 10:56:30,550A - Two Substrings,Python 2,Wrong answer on test 4,46 ms,0 KB
20902964,2016-09-25 10:40:09,717C - Potions Homework,Python 2,Accepted,763 ms,2900 KB
20902926,2016-09-25 10:38:06,717C - Potions Homework,Python 2,Wrong answer on test 2,93 ms,500 KB
20881018,2016-09-24 07:49:28,160A - Twins,Python 2,Accepted,124 ms,0 KB
20881006,2016-09-24 07:48:49,160A - Twins,Python 2,Wrong answer on test 1,62 ms,0 KB
20880957,2016-09-24 07:45:30,160A - Twins,Python 2,Wrong answer on test 5,122 ms,0 KB
20880638,2016-09-24 07:21:41,501A - Contest,GNU C++11,Accepted,15 ms,0 KB
20880576,2016-09-24 07:17:32,58A - Chat room,GNU C++11,Accepted,30 ms,0 KB
20835086,2016-09-23 13:47:58,270A - Fancy Fence,Python 2,Accepted,92 ms,0 KB
20834760,2016-09-23 13:24:15,219A - k-String,Python 2,Accepted,124 ms,0 KB
20779994,2016-09-20 18:57:05,463B - Caisa and Pylons,Python 2,Wrong answer on test 3,46 ms,0 KB
20779776,2016-09-20 18:47:12,463B - Caisa and Pylons,PyPy 2,Wrong answer on test 3,61 ms,0 KB
20779616,2016-09-20 18:39:21,463B - Caisa and Pylons,PyPy 2,Wrong answer on test 3,62 ms,0 KB
20776259,2016-09-20 16:02:05,96A - Football,PyPy 2,Accepted,186 ms,0 KB
20775983,2016-09-20 15:51:36,141A - Amusing Joke,GNU C++11,Accepted,30 ms,0 KB
20775945,2016-09-20 15:50:00,141A - Amusing Joke,GNU C++,Wrong answer on test 14,30 ms,0 KB
20775899,2016-09-20 15:48:05,141A - Amusing Joke,GNU C++14,Wrong answer on test 3,30 ms,0 KB
20775852,2016-09-20 15:46:32,141A - Amusing Joke,GNU C++11,Wrong answer on test 13,30 ms,0 KB
20774877,2016-09-20 15:05:55,61A - Ultra-Fast Mathematician,Python 2,Accepted,77 ms,0 KB
20774544,2016-09-20 14:50:42,116A - Tram,Python 2,Accepted,124 ms,0 KB
20774332,2016-09-20 14:41:10,112A - Petya and Strings,Python 2,Accepted,154 ms,0 KB
