ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:12867
20248751,2016-08-29 16:25:27,711B - Chris and Magic Square,GNU C++11,Wrong answer on test 100,77 ms,1900 KB
20248378,2016-08-29 16:23:12,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
20246694,2016-08-29 16:13:58,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
20246376,2016-08-29 16:12:24,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 2,15 ms,0 KB
20246167,2016-08-29 16:11:19,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20243229,2016-08-29 15:57:29,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
20241375,2016-08-29 15:49:49,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 7,15 ms,0 KB
20240544,2016-08-29 15:46:18,711B - Chris and Magic Square,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
20231046,2016-08-29 15:13:52,711A - Bus to Udayland,GNU C++11,Accepted,30 ms,0 KB
20230604,2016-08-29 15:12:49,711A - Bus to Udayland,GNU C++11,Wrong answer on pretest 2,0 ms,0 KB
20098031,2016-08-24 07:09:23,567E - President and Roads,GNU C++11,Accepted,171 ms,22300 KB
20098024,2016-08-24 07:09:02,567E - President and Roads,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
20098005,2016-08-24 07:08:02,567E - President and Roads,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
20017569,2016-08-21 06:13:10,707C - Pythagorean Triples,GNU C++11,Accepted,15 ms,2000 KB
19998146,2016-08-20 17:18:52,707C - Pythagorean Triples,GNU C++11,Hacked,15 ms,2000 KB
19997662,2016-08-20 17:15:16,707C - Pythagorean Triples,GNU C++11,Wrong answer on pretest 12,15 ms,2000 KB
19993432,2016-08-20 16:48:59,707B - Bakery,GNU C++11,Accepted,655 ms,3300 KB
19991619,2016-08-20 16:39:29,707B - Bakery,GNU C++11,Wrong answer on pretest 2,15 ms,2000 KB
19989002,2016-08-20 16:27:33,707B - Bakery,GNU C++11,Wrong answer on pretest 13,15 ms,2000 KB
19984511,2016-08-20 16:11:46,707A - Brain's Photos,GNU C++11,Accepted,31 ms,2000 KB
19958868,2016-08-19 09:57:42,701A - Cards,GNU C++11,Accepted,15 ms,2000 KB
19958151,2016-08-19 09:02:01,705B - Spider Man,GNU C++11,Accepted,499 ms,2000 KB
19958138,2016-08-19 09:01:26,705A - Hulk,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
19958093,2016-08-19 08:57:27,705B - Spider Man,GNU C++11,Wrong answer on test 4,15 ms,2000 KB
19957219,2016-08-19 07:38:11,705A - Hulk,GNU C++11,Accepted,15 ms,2000 KB
19921132,2016-08-17 09:50:06,706D - Vasiliy's Multiset,GNU C++11,Time limit exceeded on test 2,4000 ms,5200 KB
19921093,2016-08-17 09:47:08,706D - Vasiliy's Multiset,GNU C++11,Time limit exceeded on test 2,4000 ms,5200 KB
19901630,2016-08-16 09:46:08,706C - Hard problem,GNU C++11,Accepted,108 ms,8700 KB
19881738,2016-08-15 09:48:53,706B - Interesting drink,GNU C++11,Accepted,405 ms,2400 KB
19881547,2016-08-15 09:36:53,706B - Interesting drink,GNU C++11,Time limit exceeded on test 47,2000 ms,2400 KB
19881541,2016-08-15 09:36:24,706A - Beru-taxi,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
19881493,2016-08-15 09:33:15,706B - Interesting drink,GNU C++11,Wrong answer on test 5,15 ms,2000 KB
19881377,2016-08-15 09:25:32,706B - Interesting drink,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
19880745,2016-08-15 08:38:22,706A - Beru-taxi,GNU C++11,Accepted,15 ms,2000 KB
19880703,2016-08-15 08:34:47,706A - Beru-taxi,GNU C++11,Wrong answer on test 42,15 ms,2000 KB
