ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15163
21773586,2016-10-25 17:42:33,732E - Sockets,GNU C++11,Accepted,514 ms,17500 KB
21773465,2016-10-25 17:36:19,732E - Sockets,GNU C++11,Wrong answer on test 8,156 ms,4900 KB
21773221,2016-10-25 17:24:59,732E - Sockets,GNU C++11,Time limit exceeded on test 7,2000 ms,4900 KB
21773085,2016-10-25 17:19:04,732E - Sockets,GNU C++11,Wrong answer on test 6,15 ms,4900 KB
21773006,2016-10-25 17:15:41,732E - Sockets,GNU C++11,Time limit exceeded on test 6,2000 ms,4900 KB
21772994,2016-10-25 17:15:03,732E - Sockets,GNU C++11,Compilation error,0 ms,0 KB
21772979,2016-10-25 17:14:27,732E - Sockets,GNU C,Compilation error,0 ms,0 KB
21769636,2016-10-25 14:26:32,630C - Lucky Numbers,GNU C,Accepted,15 ms,0 KB
21769012,2016-10-25 13:46:45,731C - Socks,GNU C++11,Accepted,171 ms,8900 KB
21768261,2016-10-25 13:04:23,731C - Socks,GNU C++11,Time limit exceeded on test 6,2000 ms,7000 KB
21702324,2016-10-23 11:31:34,725B - Food on the Plane,GNU C++11,Accepted,31 ms,0 KB
21697410,2016-10-23 06:38:40,725A - Jumping Ball,GNU C++11,Accepted,62 ms,3500 KB
21562146,2016-10-18 12:17:50,732D - Exams,GNU C++11,Accepted,31 ms,3000 KB
21562055,2016-10-18 12:14:02,732D - Exams,GNU C++11,Accepted,46 ms,3000 KB
21561945,2016-10-18 12:10:08,732D - Exams,GNU C++11,Wrong answer on test 4,15 ms,3000 KB
21559410,2016-10-18 10:02:24,732C - Sanatorium,GNU C++11,Accepted,15 ms,2000 KB
21559279,2016-10-18 09:56:34,732C - Sanatorium,GNU C++11,Accepted,15 ms,2000 KB
21559182,2016-10-18 09:51:25,732C - Sanatorium,GNU C++11,Wrong answer on test 43,15 ms,2000 KB
21537332,2016-10-17 18:46:38,732C - Sanatorium,GNU C++11,Wrong answer on test 16,30 ms,2000 KB
21530347,2016-10-17 18:05:21,732B - Cormen --- The Best Friend Of a Man,GNU C++11,Accepted,31 ms,2000 KB
21524230,2016-10-17 17:44:03,732A - Buy a Shovel,GNU C++11,Accepted,15 ms,2000 KB
21496435,2016-10-16 16:06:25,731F - Video Cards,GNU C++11,Accepted,62 ms,2800 KB
21495700,2016-10-16 15:46:46,731F - Video Cards,GNU C++11,Time limit exceeded on test 8,1000 ms,2800 KB
21495490,2016-10-16 15:40:51,731F - Video Cards,GNU C++11,Wrong answer on test 8,499 ms,2800 KB
21495449,2016-10-16 15:39:57,731F - Video Cards,GNU C++11,Wrong answer on test 8,358 ms,2800 KB
21495405,2016-10-16 15:38:52,731F - Video Cards,GNU C++11,Wrong answer on test 8,265 ms,2800 KB
21495354,2016-10-16 15:37:49,731F - Video Cards,GNU C++11,Wrong answer on test 8,140 ms,2800 KB
21495321,2016-10-16 15:37:08,731F - Video Cards,GNU C++11,Wrong answer on test 8,46 ms,2800 KB
21491449,2016-10-16 14:34:58,731F - Video Cards,GNU C++11,Wrong answer on pretest 8,46 ms,2800 KB
21491322,2016-10-16 14:33:56,731F - Video Cards,GNU C++11,Wrong answer on pretest 8,15 ms,2800 KB
21491205,2016-10-16 14:32:59,731F - Video Cards,GNU C++11,Wrong answer on pretest 8,31 ms,2800 KB
21488306,2016-10-16 14:07:57,731C - Socks,GNU C++11,Wrong answer on pretest 6,78 ms,5900 KB
21481750,2016-10-16 13:17:09,731B - Coupons and Discounts,GNU C++11,Accepted,46 ms,2800 KB
21481525,2016-10-16 13:15:50,731A - Night at the Museum,GNU C++11,Accepted,15 ms,2000 KB
21481331,2016-10-16 13:14:39,731A - Night at the Museum,GNU C++11,Wrong answer on pretest 1,15 ms,2000 KB
