ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:15601
21872253,2016-10-29 16:05:33,368B - Sereja and Suffixes,GNU C++11,Accepted,733 ms,1200 KB
21870611,2016-10-29 14:48:13,651A - Joysticks,GNU C++11,Accepted,15 ms,0 KB
21823491,2016-10-27 16:46:56,313B - Ilya and Queries,GNU C++11,Accepted,1528 ms,600 KB
21823113,2016-10-27 16:33:00,313B - Ilya and Queries,GNU C++11,Accepted,1340 ms,600 KB
21822597,2016-10-27 16:14:19,313B - Ilya and Queries,GNU C++11,Time limit exceeded on test 10,2000 ms,600 KB
21821541,2016-10-27 15:36:33,550A - Two Substrings,GNU C++11,Accepted,31 ms,1100 KB
21821098,2016-10-27 15:21:11,550A - Two Substrings,GNU C++11,Wrong answer on test 17,31 ms,200 KB
21821063,2016-10-27 15:19:47,550A - Two Substrings,GNU C++11,Wrong answer on test 4,15 ms,0 KB
21815420,2016-10-27 11:57:45,489B - BerSU Ball,GNU C++11,Accepted,31 ms,0 KB
21797025,2016-10-26 17:27:31,489C - Given Length and Sum of Digits...,GNU C++11,Accepted,15 ms,0 KB
21797003,2016-10-26 17:26:46,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 1,0 ms,0 KB
21796438,2016-10-26 17:08:12,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 42,31 ms,0 KB
21796255,2016-10-26 17:04:31,489C - Given Length and Sum of Digits...,GNU C++11,Memory limit exceeded on test 1,233 ms,262100 KB
21796204,2016-10-26 17:02:58,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 16,15 ms,0 KB
21796138,2016-10-26 17:00:37,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 4,15 ms,0 KB
21795139,2016-10-26 16:27:51,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 42,15 ms,0 KB
21795050,2016-10-26 16:24:46,489C - Given Length and Sum of Digits...,GNU C++11,Memory limit exceeded on test 7,248 ms,262100 KB
21794942,2016-10-26 16:21:26,489C - Given Length and Sum of Digits...,GNU C++11,Memory limit exceeded on test 3,202 ms,262100 KB
21786133,2016-10-26 06:40:17,327A - Flipping Game,GNU C++11,Accepted,30 ms,0 KB
21773285,2016-10-25 17:27:35,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 16,15 ms,0 KB
21773224,2016-10-25 17:25:10,489C - Given Length and Sum of Digits...,GNU C++11,Wrong answer on test 8,15 ms,0 KB
21751375,2016-10-24 18:29:37,327A - Flipping Game,GNU C++11,Accepted,60 ms,0 KB
21750823,2016-10-24 18:04:17,327A - Flipping Game,GNU C++11,Wrong answer on test 4,30 ms,0 KB
21750688,2016-10-24 18:01:48,327A - Flipping Game,GNU C++11,Wrong answer on test 3,30 ms,0 KB
21741168,2016-10-24 15:41:28,189A - Cut Ribbon,GNU C++11,Accepted,31 ms,0 KB
21741125,2016-10-24 15:39:35,189A - Cut Ribbon,GNU C++11,Runtime error on test 13,15 ms,0 KB
21733118,2016-10-24 07:37:45,455A - Boredom,GNU C++11,Accepted,234 ms,800 KB
21733054,2016-10-24 07:29:41,455A - Boredom,GNU C++11,Accepted,187 ms,800 KB
21733047,2016-10-24 07:28:33,455A - Boredom,GNU C++11,Wrong answer on test 12,171 ms,400 KB
21708791,2016-10-23 13:56:30,455A - Boredom,GNU C++11,Memory limit exceeded on test 11,265 ms,262100 KB
21708608,2016-10-23 13:52:00,455A - Boredom,GNU C++11,Wrong answer on test 4,15 ms,0 KB
21689898,2016-10-22 20:34:57,455A - Boredom,GNU C++11,Memory limit exceeded on test 11,483 ms,262100 KB
21686139,2016-10-22 20:05:11,455A - Boredom,GNU C++11,Wrong answer on test 7,15 ms,0 KB
21682977,2016-10-22 19:41:56,455A - Boredom,GNU C++11,Memory limit exceeded on test 11,373 ms,262100 KB
21657348,2016-10-22 07:50:38,580A - Kefa and First Steps,GNU C++11,Accepted,249 ms,400 KB
21647790,2016-10-21 19:57:10,337A - Puzzles,GNU C++11,Accepted,30 ms,0 KB
21647594,2016-10-21 19:50:05,337A - Puzzles,GNU C++11,Accepted,30 ms,0 KB
21646996,2016-10-21 19:26:58,337A - Puzzles,GNU C++11,Wrong answer on test 3,30 ms,0 KB
21646629,2016-10-21 19:12:28,702A - Maximum Increase,GNU C++11,Accepted,218 ms,400 KB
21646613,2016-10-21 19:11:43,702A - Maximum Increase,GNU C++11,Wrong answer on test 5,15 ms,0 KB
21646577,2016-10-21 19:10:07,702A - Maximum Increase,GNU C++11,Accepted,296 ms,400 KB
21646365,2016-10-21 19:02:05,702A - Maximum Increase,GNU C++11,Accepted,234 ms,400 KB
21646314,2016-10-21 18:59:46,702A - Maximum Increase,GNU C++11,Wrong answer on test 1,15 ms,0 KB
21636865,2016-10-21 11:52:42,732B - Cormen --- The Best Friend Of a Man,GNU C++11,Accepted,15 ms,0 KB
21636825,2016-10-21 11:51:03,732B - Cormen --- The Best Friend Of a Man,GNU C++11,Wrong answer on test 3,15 ms,0 KB
21529239,2016-10-17 18:00:42,732A - Buy a Shovel,GNU C++11,Accepted,15 ms,2000 KB
