ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:13870
21799012,2016-10-26 18:39:11,255C - Almost Arithmetical Progression,GNU C++14,Accepted,311 ms,74700 KB
21798971,2016-10-26 18:37:44,255C - Almost Arithmetical Progression,GNU C++14,Wrong answer on test 7,15 ms,74500 KB
21797036,2016-10-26 17:27:46,348A - Mafia,GNU C++14,Accepted,436 ms,0 KB
21729874,2016-10-24 00:26:22,231C - To Add or Not to Add,GNU C++14,Accepted,466 ms,1600 KB
21729799,2016-10-24 00:18:19,231C - To Add or Not to Add,GNU C++14,Wrong answer on test 9,312 ms,1200 KB
21720740,2016-10-23 22:22:36,348A - Mafia,GNU C++14,Wrong answer on test 3,30 ms,0 KB
21716294,2016-10-23 18:39:32,486C - Palindrome Transformation,GNU C++14,Accepted,30 ms,700 KB
21716225,2016-10-23 18:36:13,486C - Palindrome Transformation,GNU C++14,Wrong answer on test 12,31 ms,700 KB
21714895,2016-10-23 17:26:36,75C - Modified GCD,GNU C++14,Accepted,124 ms,0 KB
21714665,2016-10-23 17:14:55,340D - Bubble Sort Graph,GNU C++14,Accepted,280 ms,800 KB
21714624,2016-10-23 17:13:11,340D - Bubble Sort Graph,GNU C++14,Wrong answer on test 51,280 ms,800 KB
21711525,2016-10-23 15:18:54,332B - Maximum Absurdity,GNU C++14,Accepted,998 ms,5500 KB
21626103,2016-10-20 21:45:48,285C - Building Permutation,GNU C++14,Wrong answer on test 1,0 ms,0 KB
21625614,2016-10-20 21:22:41,277A - Learning Languages,GNU C++14,Accepted,60 ms,200 KB
21623919,2016-10-20 20:08:23,217A - Ice Skating,GNU C++14,Wrong answer on test 3,30 ms,7900 KB
21602856,2016-10-19 22:29:36,337A - Puzzles,GNU C++14,Accepted,30 ms,1900 KB
21602781,2016-10-19 22:26:17,282A - Bit++,GNU C++14,Accepted,30 ms,1900 KB
21602580,2016-10-19 22:16:20,217A - Ice Skating,GNU C++14,Wrong answer on test 1,30 ms,7900 KB
21601857,2016-10-19 21:44:08,58A - Chat room,GNU C++14,Accepted,15 ms,1900 KB
21601800,2016-10-19 21:41:00,230A - Dragons,GNU C++14,Accepted,30 ms,1900 KB
21601713,2016-10-19 21:36:21,337A - Puzzles,GNU C++14,Wrong answer on test 3,60 ms,1900 KB
21601607,2016-10-19 21:29:43,230A - Dragons,GNU C++14,Wrong answer on test 9,30 ms,1900 KB
21601457,2016-10-19 21:20:45,122A - Lucky Division,GNU C++14,Accepted,30 ms,1900 KB
21601400,2016-10-19 21:17:40,208A - Dubstep,GNU C++14,Accepted,60 ms,1900 KB
21601247,2016-10-19 21:10:05,208A - Dubstep,GNU C++14,Wrong answer on test 3,30 ms,1900 KB
21600856,2016-10-19 20:44:45,214A - System of Equations,GNU C++14,Accepted,30 ms,1900 KB
21600741,2016-10-19 20:39:17,208A - Dubstep,GNU C++14,Wrong answer on test 3,0 ms,1800 KB
21600626,2016-10-19 20:33:27,318A - Even Odds,GNU C++14,Accepted,30 ms,1900 KB
21600483,2016-10-19 20:27:35,281A - Word Capitalization,GNU C++14,Accepted,30 ms,1900 KB
21600410,2016-10-19 20:24:37,69A - Young Physicist,GNU C++14,Accepted,30 ms,1900 KB
21600292,2016-10-19 20:19:20,344A - Magnets,GNU C++14,Accepted,156 ms,1900 KB
21600194,2016-10-19 20:15:22,231A - Team,GNU C++14,Accepted,30 ms,1900 KB
21600177,2016-10-19 20:14:47,231A - Team,GNU C++14,Wrong answer on test 1,30 ms,1900 KB
21600102,2016-10-19 20:12:04,263A - Beautiful Matrix,GNU C++14,Accepted,30 ms,1900 KB
21599990,2016-10-19 20:08:06,236A - Boy or Girl,GNU C++14,Accepted,30 ms,2000 KB
21556942,2016-10-18 07:27:22,4A - Watermelon,GNU C++14,Accepted,30 ms,1900 KB
21539869,2016-10-17 19:06:47,732C - Sanatorium,GNU C++14,Wrong answer on pretest 4,15 ms,1900 KB
