ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:20140
19028055,2016-07-11 13:52:08,288B - Polo the Penguin and Houses,GNU C++11,Accepted,31 ms,0 KB
19026381,2016-07-11 12:17:15,288A - Polo the Penguin and Strings,GNU C++11,Accepted,122 ms,0 KB
19026356,2016-07-11 12:16:00,288A - Polo the Penguin and Strings,GNU C++11,Wrong answer on test 26,124 ms,0 KB
19026327,2016-07-11 12:14:31,288A - Polo the Penguin and Strings,GNU C++11,Wrong answer on test 8,30 ms,0 KB
19026281,2016-07-11 12:12:17,288A - Polo the Penguin and Strings,GNU C++11,Wrong answer on test 1,0 ms,0 KB
18285642,2016-06-07 17:24:06,432C - Prime Swaps,GNU C++11,Wrong answer on test 3,15 ms,4400 KB
18277717,2016-06-07 05:41:32,456C - Boredom,GNU C++11,Accepted,249 ms,4500 KB
18277704,2016-06-07 05:39:05,456C - Boredom,GNU C++11,Wrong answer on test 12,171 ms,3200 KB
18224633,2016-06-03 04:29:49,459C - Pashmak and Buses,GNU C++11,Time limit exceeded on test 7,1000 ms,6200 KB
18224623,2016-06-03 04:25:59,459C - Pashmak and Buses,GNU C++11,Wrong answer on test 1,15 ms,6000 KB
18207893,2016-06-02 04:16:12,625C - K-special Tables,GNU C++11,Accepted,155 ms,3000 KB
18207866,2016-06-02 04:13:08,625C - K-special Tables,GNU C++11,Wrong answer on test 2,15 ms,2000 KB
18192420,2016-06-01 20:07:18,677B - Vanya and Food Processor,GNU C++11,Wrong answer on test 14,249 ms,2400 KB
18187510,2016-06-01 19:40:44,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2200 KB
18076086,2016-05-25 18:18:12,676A - Nicholas and Permutation,GNU C++11,Accepted,15 ms,2200 KB
17852555,2016-05-11 20:04:51,672B - Different is Good,GNU C++11,Wrong answer on test 24,46 ms,2300 KB
17852476,2016-05-11 20:04:13,672B - Different is Good,FPC,Compilation error,0 ms,0 KB
17846989,2016-05-11 19:40:26,672A - Summer Camp,FPC,Accepted,31 ms,2100 KB
16998824,2016-03-28 20:29:57,658C - Bear and Forgotten Tree 3,FPC,Wrong answer on pretest 4,15 ms,1600 KB
16995468,2016-03-28 20:07:32,658B - Bear and Displayed Friends,FPC,Accepted,233 ms,2500 KB
16992993,2016-03-28 19:52:39,658A - Bear and Reverse Radewoosh,FPC,Accepted,15 ms,1700 KB
16992753,2016-03-28 19:51:30,658A - Bear and Reverse Radewoosh,FPC,Wrong answer on pretest 2,15 ms,1700 KB
16992302,2016-03-28 19:49:28,658A - Bear and Reverse Radewoosh,FPC,Wrong answer on pretest 1,15 ms,1600 KB
16774926,2016-03-18 06:37:34,484D - Kindergarten,FPC,Wrong answer on test 7,15 ms,3900 KB
16728339,2016-03-15 16:57:58,333D - Characteristics of Rectangles,FPC,Accepted,716 ms,8900 KB
16728292,2016-03-15 16:55:40,333D - Characteristics of Rectangles,FPC,Wrong answer on test 5,30 ms,8800 KB
16687902,2016-03-13 11:16:29,109C - Lucky Tree,FPC,Wrong answer on test 3,0 ms,11700 KB
16687849,2016-03-13 11:12:21,109C - Lucky Tree,FPC,Wrong answer on test 3,0 ms,11700 KB
16687840,2016-03-13 11:11:32,109C - Lucky Tree,FPC,Wrong answer on test 1,0 ms,11700 KB
16613850,2016-03-09 12:35:31,219D - Choosing Capital for Treeland,FPC,Accepted,748 ms,15600 KB
16459523,2016-03-02 11:04:02,633B - A Trivial Problem,FPC,Accepted,31 ms,0 KB
16459456,2016-03-02 10:59:00,633B - A Trivial Problem,FPC,Wrong answer on test 2,15 ms,0 KB
16459378,2016-03-02 10:51:56,633A - Ebony and Ivory,FPC,Accepted,30 ms,0 KB
16296000,2016-02-23 19:30:45,342E - Xenia and Tree,FPC,Wrong answer on test 4,1903 ms,14200 KB
16295698,2016-02-23 19:11:03,342E - Xenia and Tree,FPC,Wrong answer on test 3,15 ms,13100 KB
16295603,2016-02-23 19:04:10,342E - Xenia and Tree,FPC,Wrong answer on test 2,15 ms,13100 KB
16279898,2016-02-22 18:56:51,342E - Xenia and Tree,FPC,Wrong answer on test 4,1762 ms,52100 KB
16279197,2016-02-22 18:10:02,342E - Xenia and Tree,FPC,Wrong answer on test 4,1762 ms,35100 KB
16279140,2016-02-22 18:06:08,342E - Xenia and Tree,FPC,Wrong answer on test 2,15 ms,34100 KB
16264977,2016-02-21 20:16:14,629C - Famil Door and Brackets,FPC,Runtime error on test 45,186 ms,31700 KB
16236622,2016-02-20 19:54:56,629B - Far Relative’s Problem,FPC,Accepted,15 ms,0 KB
16233208,2016-02-20 19:40:27,629A - Far Relative’s Birthday Cake,FPC,Accepted,15 ms,0 KB
15475898,2016-01-21 18:36:22,620C - Pearls in a Row,FPC,Accepted,312 ms,8800 KB
15472614,2016-01-21 18:13:09,620B - Grandfather Dovlet’s calculator,FPC,Accepted,77 ms,100 KB
15471239,2016-01-21 18:06:24,620A - Professor GukiZ's Robot,FPC,Accepted,15 ms,0 KB
15468818,2016-01-21 16:18:55,616A - Comparing Two Long Integers,GNU C++11,Accepted,373 ms,6800 KB
15468760,2016-01-21 16:15:09,616A - Comparing Two Long Integers,GNU C++11,Wrong answer on test 7,15 ms,0 KB
15468713,2016-01-21 16:11:12,616A - Comparing Two Long Integers,GNU C++11,Time limit exceeded on test 20,2000 ms,6800 KB
15468683,2016-01-21 16:09:33,616A - Comparing Two Long Integers,MS C++,Time limit exceeded on test 20,2000 ms,4300 KB
15468661,2016-01-21 16:08:36,616A - Comparing Two Long Integers,FPC,Compilation error,0 ms,0 KB
15107997,2015-12-30 18:26:38,611A - New Year and Days,FPC,Hacked,15 ms,0 KB
15107023,2015-12-30 18:23:21,611A - New Year and Days,FPC,Wrong answer on pretest 5,15 ms,0 KB
13638992,2015-10-15 20:28:01,588C - Duff and Weight Lifting,FPC,Accepted,467 ms,7800 KB
13634410,2015-10-15 20:02:40,588C - Duff and Weight Lifting,FPC,Wrong answer on pretest 7,15 ms,3900 KB
13630898,2015-10-15 19:47:32,588B - Duff in Love,FPC,Accepted,46 ms,4900 KB
13628060,2015-10-15 19:37:17,588A - Duff and Meat,FPC,Accepted,31 ms,800 KB
13565740,2015-10-12 13:14:12,586C - Gennady the Dentist,FPC,Wrong answer on pretest 3,15 ms,100 KB
13564897,2015-10-12 13:07:39,586C - Gennady the Dentist,FPC,Wrong answer on pretest 3,15 ms,100 KB
13564480,2015-10-12 13:04:42,586C - Gennady the Dentist,FPC,Wrong answer on pretest 3,15 ms,100 KB
13561458,2015-10-12 12:43:20,586B - Laurenty and Shop,FPC,Accepted,31 ms,0 KB
13558500,2015-10-12 12:26:08,586A - Alena's Schedule,FPC,Accepted,15 ms,0 KB
13556353,2015-10-12 12:17:21,586A - Alena's Schedule,FPC,Wrong answer on pretest 2,15 ms,0 KB
13462126,2015-10-06 23:53:01,584A - Olesya and Rodion,FPC,Wrong answer on test 12,15 ms,0 KB
13456670,2015-10-06 21:18:46,584C - Marina and Vasya,FPC,Accepted,46 ms,700 KB
13456098,2015-10-06 21:15:04,584C - Marina and Vasya,FPC,Wrong answer on pretest 5,15 ms,100 KB
13455695,2015-10-06 21:12:03,584C - Marina and Vasya,FPC,Wrong answer on pretest 2,15 ms,100 KB
13453091,2015-10-06 20:54:36,584C - Marina and Vasya,FPC,Wrong answer on pretest 5,30 ms,100 KB
13452670,2015-10-06 20:51:40,584C - Marina and Vasya,FPC,Wrong answer on pretest 1,15 ms,100 KB
13451463,2015-10-06 20:44:14,584D - Dima and Lisa,FPC,Accepted,31 ms,0 KB
13451113,2015-10-06 20:42:10,584D - Dima and Lisa,FPC,Wrong answer on pretest 3,15 ms,0 KB
13450841,2015-10-06 20:40:32,584D - Dima and Lisa,FPC,Wrong answer on pretest 3,15 ms,0 KB
13447395,2015-10-06 20:20:29,584C - Marina and Vasya,FPC,Wrong answer on pretest 5,15 ms,100 KB
13447250,2015-10-06 20:19:38,584C - Marina and Vasya,FPC,Runtime error on pretest 1,15 ms,100 KB
13446221,2015-10-06 20:14:21,584C - Marina and Vasya,FPC,Wrong answer on pretest 5,15 ms,100 KB
13441660,2015-10-06 19:52:17,584B - Kolya and Tanya,FPC,Accepted,31 ms,0 KB
13437718,2015-10-06 19:38:44,584A - Olesya and Rodion,FPC,Wrong answer on test 12,15 ms,0 KB
13417018,2015-10-05 16:45:03,279B - Books,FPC,Wrong answer on test 7,30 ms,400 KB
13378627,2015-10-03 21:03:35,583C - GCD Table,FPC,Accepted,78 ms,15700 KB
13370323,2015-10-03 20:12:20,583B - Robot's Task,FPC,Accepted,31 ms,0 KB
13369865,2015-10-03 20:10:28,583B - Robot's Task,FPC,Wrong answer on pretest 8,30 ms,0 KB
13365576,2015-10-03 19:56:20,583A - Asphalting Roads,FPC,Accepted,31 ms,0 KB
13364834,2015-10-03 19:54:38,583A - Asphalting Roads,FPC,Wrong answer on pretest 4,15 ms,0 KB
13272468,2015-09-28 13:20:19,581D - Three Logos,FPC,Accepted,46 ms,0 KB
13266429,2015-09-28 12:30:57,581C - Developing Skills,FPC,Accepted,31 ms,800 KB
13266378,2015-09-28 12:30:33,581C - Developing Skills,FPC,Runtime error on pretest 1,30 ms,1000 KB
13262794,2015-09-28 12:12:07,581B - Luxurious Houses,FPC,Accepted,187 ms,800 KB
13259773,2015-09-28 12:02:42,581A - Vasya the Hipster,FPC,Accepted,15 ms,0 KB
13209471,2015-09-24 22:06:18,510D - Fox And Jumping,FPC,Time limit exceeded on test 49,2000 ms,0 KB
13209456,2015-09-24 22:05:25,510D - Fox And Jumping,FPC,Wrong answer on test 3,0 ms,0 KB
13209444,2015-09-24 22:04:12,510D - Fox And Jumping,FPC,Compilation error,0 ms,0 KB
13209426,2015-09-24 22:02:56,510D - Fox And Jumping,FPC,Wrong answer on test 3,0 ms,0 KB
13209374,2015-09-24 21:59:09,510D - Fox And Jumping,FPC,Time limit exceeded on test 33,2000 ms,0 KB
13209371,2015-09-24 21:58:28,510D - Fox And Jumping,FPC,Time limit exceeded on test 1,2000 ms,0 KB
13209292,2015-09-24 21:51:11,510D - Fox And Jumping,FPC,Time limit exceeded on test 65,2000 ms,0 KB
13207905,2015-09-24 20:02:42,248B - Chilly Willy,FPC,Accepted,312 ms,400 KB
13205227,2015-09-24 16:51:24,214B - Hometask,FPC,Accepted,498 ms,3900 KB
13205148,2015-09-24 16:46:53,214B - Hometask,FPC,Wrong answer on test 13,404 ms,3900 KB
13205129,2015-09-24 16:45:51,214B - Hometask,FPC,Compilation error,0 ms,0 KB
13204252,2015-09-24 15:50:38,148D - Bag of mice,FPC,Accepted,62 ms,23600 KB
13168195,2015-09-22 21:22:58,580D - Kefa and Dishes,FPC,Accepted,1450 ms,164200 KB
13167457,2015-09-22 21:18:24,580D - Kefa and Dishes,FPC,Compilation error,0 ms,0 KB
13166359,2015-09-22 21:11:23,580D - Kefa and Dishes,FPC,Compilation error,0 ms,0 KB
13165795,2015-09-22 21:07:38,580D - Kefa and Dishes,FPC,Compilation error,0 ms,0 KB
13165171,2015-09-22 21:03:26,580D - Kefa and Dishes,FPC,Compilation error,0 ms,0 KB
13164883,2015-09-22 21:01:37,580D - Kefa and Dishes,FPC,Compilation error,0 ms,0 KB
13159549,2015-09-22 20:30:28,580C - Kefa and Park,FPC,Accepted,46 ms,3200 KB
13158476,2015-09-22 20:25:10,580C - Kefa and Park,FPC,Wrong answer on pretest 3,30 ms,3200 KB
13151878,2015-09-22 19:57:23,580B - Kefa and Company,FPC,Accepted,77 ms,2400 KB
13145393,2015-09-22 19:35:50,580A - Kefa and First Steps,FPC,Accepted,46 ms,400 KB
13127688,2015-09-21 17:27:06,546D - Soldier and Number Game,FPC,Accepted,2651 ms,58700 KB
13126581,2015-09-21 16:14:17,474D - Flowers,FPC,Accepted,233 ms,1600 KB
13105793,2015-09-19 20:49:52,349B - Color the Fence,FPC,Accepted,122 ms,1400 KB
13105695,2015-09-19 20:42:36,349B - Color the Fence,FPC,Time limit exceeded on test 25,2000 ms,3900 KB
13105648,2015-09-19 20:39:04,349B - Color the Fence,FPC,Wrong answer on test 9,124 ms,3900 KB
13105622,2015-09-19 20:37:30,349B - Color the Fence,FPC,Wrong answer on test 9,122 ms,3900 KB
13105615,2015-09-19 20:36:39,349B - Color the Fence,FPC,Wrong answer on test 4,0 ms,3900 KB
13105208,2015-09-19 19:58:43,538B - Quasi Binary,FPC,Accepted,15 ms,0 KB
13104658,2015-09-19 19:15:55,489C - Given Length and Sum of Digits...,FPC,Accepted,31 ms,100 KB
13104631,2015-09-19 19:14:14,489C - Given Length and Sum of Digits...,FPC,Wrong answer on test 6,15 ms,100 KB
13104590,2015-09-19 19:10:19,489C - Given Length and Sum of Digits...,FPC,Wrong answer on test 3,0 ms,0 KB
13104065,2015-09-19 18:29:38,363B - Fence,FPC,Accepted,31 ms,1200 KB
12954210,2015-09-11 10:13:33,577B - Modulo Sum,FPC,Compilation error,0 ms,0 KB
12940627,2015-09-10 20:49:57,577C - Vasya and Petya's Game,FPC,Wrong answer on pretest 4,15 ms,0 KB
12937194,2015-09-10 20:26:20,577C - Vasya and Petya's Game,FPC,Wrong answer on pretest 4,15 ms,0 KB
12936029,2015-09-10 20:19:09,577C - Vasya and Petya's Game,FPC,Wrong answer on pretest 4,15 ms,0 KB
12926437,2015-09-10 19:34:28,577A - Multiplication Table,FPC,Accepted,30 ms,0 KB
12720784,2015-08-27 17:37:46,180C - Letter,FPC,Accepted,62 ms,1100 KB
12720773,2015-08-27 17:36:50,180C - Letter,FPC,Runtime error on test 15,30 ms,300 KB
12719964,2015-08-27 16:16:57,132C - Logo Turtle,FPC,Wrong answer on test 5,30 ms,0 KB
12719915,2015-08-27 16:11:20,132C - Logo Turtle,FPC,Wrong answer on test 3,30 ms,0 KB
12717980,2015-08-27 13:11:16,508C - Anya and Ghosts,FPC,Accepted,15 ms,0 KB
12717952,2015-08-27 13:08:07,508C - Anya and Ghosts,FPC,Wrong answer on test 8,15 ms,0 KB
12717887,2015-08-27 13:00:14,508C - Anya and Ghosts,FPC,Wrong answer on test 4,15 ms,0 KB
12555007,2015-08-16 07:40:18,148D - Bag of mice,FPC,Compilation error,0 ms,0 KB
12555001,2015-08-16 07:38:58,148D - Bag of mice,FPC,Compilation error,0 ms,0 KB
12554988,2015-08-16 07:35:49,148D - Bag of mice,FPC,Compilation error,0 ms,0 KB
12548931,2015-08-15 17:28:52,148D - Bag of mice,FPC,Wrong answer on test 1,30 ms,3900 KB
12548891,2015-08-15 17:25:56,148D - Bag of mice,FPC,Compilation error,0 ms,0 KB
12547759,2015-08-15 15:56:40,106C - Buns,FPC,Accepted,62 ms,100 KB
12547727,2015-08-15 15:54:08,106C - Buns,FPC,Wrong answer on test 11,30 ms,100 KB
12545931,2015-08-15 13:29:04,231C - To Add or Not to Add,FPC,Accepted,92 ms,400 KB
12545352,2015-08-15 12:45:19,234C - Weather,FPC,Accepted,60 ms,1300 KB
12545306,2015-08-15 12:42:24,234C - Weather,FPC,Wrong answer on test 1,30 ms,1200 KB
12532419,2015-08-14 18:23:01,4D - Mysterious Present,FPC,Accepted,62 ms,100 KB
12531696,2015-08-14 17:33:51,118D - Caesar's Legions,FPC,Accepted,62 ms,16500 KB
12531628,2015-08-14 17:29:53,118D - Caesar's Legions,FPC,Wrong answer on test 9,30 ms,16500 KB
12531540,2015-08-14 17:25:34,118D - Caesar's Legions,FPC,Wrong answer on test 8,30 ms,16500 KB
12530421,2015-08-14 16:15:21,225C - Barcode,FPC,Accepted,92 ms,9200 KB
12522356,2015-08-14 07:06:19,219C - Color Stripe,FPC,Accepted,1716 ms,112900 KB
12522260,2015-08-14 06:55:41,219C - Color Stripe,FPC,Wrong answer on test 1,30 ms,52900 KB
12519081,2015-08-14 00:47:46,59B - Fortune Telling,FPC,Accepted,62 ms,0 KB
12504994,2015-08-13 20:14:08,570C - Replacement,FPC,Accepted,655 ms,1300 KB
12504936,2015-08-13 20:13:50,570C - Replacement,FPC,Wrong answer on pretest 1,343 ms,3000 KB
12499757,2015-08-13 19:51:27,570B - Simple Game,FPC,Accepted,30 ms,0 KB
12497923,2015-08-13 19:45:14,570A - Elections,FPC,Accepted,46 ms,0 KB
12495784,2015-08-13 19:38:42,570A - Elections,FPC,Wrong answer on pretest 9,15 ms,0 KB
12494160,2015-08-13 18:43:36,165C - Another Problem on Strings,FPC,Accepted,62 ms,5200 KB
12494133,2015-08-13 18:41:13,165C - Another Problem on Strings,FPC,Wrong answer on test 4,30 ms,800 KB
12493850,2015-08-13 18:14:02,455A - Boredom,FPC,Accepted,31 ms,2000 KB
12493833,2015-08-13 18:12:13,455A - Boredom,FPC,Wrong answer on test 3,15 ms,2000 KB
12493703,2015-08-13 18:02:46,455A - Boredom,FPC,Wrong answer on test 5,15 ms,1600 KB
12493246,2015-08-13 17:28:25,230B - T-primes,FPC,Accepted,436 ms,3700 KB
12493232,2015-08-13 17:27:23,230B - T-primes,FPC,Runtime error on test 5,62 ms,3300 KB
12493222,2015-08-13 17:26:33,230B - T-primes,FPC,Wrong answer on test 1,0 ms,3300 KB
12493148,2015-08-13 17:20:33,230B - T-primes,FPC,Wrong answer on test 4,0 ms,400 KB
12493134,2015-08-13 17:19:37,230B - T-primes,FPC,Wrong answer on test 3,30 ms,400 KB
12463947,2015-08-11 12:01:15,569A - Music,FPC,Accepted,31 ms,0 KB
12463772,2015-08-11 11:48:43,569A - Music,FPC,Wrong answer on test 15,15 ms,0 KB
12452870,2015-08-10 21:09:36,569C - Primes or Palindromes?,FPC,Accepted,343 ms,3000 KB
12445903,2015-08-10 20:10:40,569B - Inventory,FPC,Accepted,187 ms,1200 KB
12443585,2015-08-10 19:56:10,569B - Inventory,FPC,Wrong answer on pretest 6,15 ms,1200 KB
12442341,2015-08-10 19:47:42,569A - Music,FPC,Wrong answer on test 15,15 ms,0 KB
12435261,2015-08-10 12:27:06,474D - Flowers,FPC,Accepted,249 ms,1600 KB
12435236,2015-08-10 12:24:49,474D - Flowers,FPC,Wrong answer on test 3,15 ms,1600 KB
12435219,2015-08-10 12:23:24,476D - Dreamoon and Sets,FPC,Wrong answer on test 1,0 ms,1600 KB
12434895,2015-08-10 11:56:29,467C - George and Job,FPC,Accepted,592 ms,195900 KB
12434448,2015-08-10 11:18:12,567C - Geometric Progression,FPC,Accepted,78 ms,4700 KB
12434422,2015-08-10 11:16:13,567C - Geometric Progression,FPC,Wrong answer on test 12,30 ms,4700 KB
12434403,2015-08-10 11:14:45,567C - Geometric Progression,FPC,Runtime error on test 1,0 ms,4800 KB
12434271,2015-08-10 11:01:51,567C - Geometric Progression,FPC,Wrong answer on test 2,15 ms,4700 KB
12434248,2015-08-10 11:00:15,567C - Geometric Progression,FPC,Wrong answer on test 2,30 ms,4700 KB
12434153,2015-08-10 10:52:03,567C - Geometric Progression,FPC,Wrong answer on test 2,0 ms,4700 KB
