ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:18869
21486131,2016-10-16 13:48:12,731B - Coupons and Discounts,Java 8,Accepted,483 ms,20400 KB
21484852,2016-10-16 13:37:44,731C - Socks,Java 8,Wrong answer on pretest 6,904 ms,20400 KB
21480365,2016-10-16 13:09:14,731A - Night at the Museum,Java 8,Accepted,156 ms,20400 KB
17504990,2016-04-25 11:05:09,669B - Little Artem and Grasshopper,Java 8,Wrong answer on test 5,124 ms,20300 KB
17504971,2016-04-25 11:03:51,669B - Little Artem and Grasshopper,Java 8,Wrong answer on test 1,108 ms,20300 KB
17504906,2016-04-25 11:00:16,669B - Little Artem and Grasshopper,Java 8,Runtime error on test 3,124 ms,20300 KB
17504724,2016-04-25 10:46:58,669B - Little Artem and Grasshopper,Java 8,Runtime error on test 3,124 ms,20300 KB
17504643,2016-04-25 10:38:23,669A - Little Artem and Presents,Java 8,Accepted,623 ms,20500 KB
17504636,2016-04-25 10:37:56,669A - Little Artem and Presents,Java 7,Runtime error on test 1,77 ms,38200 KB
17504625,2016-04-25 10:37:08,669A - Little Artem and Presents,Java 8,Runtime error on test 1,93 ms,20000 KB
17407951,2016-04-20 19:48:37,665A - Buses Between Cities,Java 8,Wrong answer on test 3,124 ms,20400 KB
17407755,2016-04-20 19:44:36,665A - Buses Between Cities,Java 8,Wrong answer on test 3,124 ms,20300 KB
17407234,2016-04-20 19:33:28,665A - Buses Between Cities,Java 8,Wrong answer on test 3,124 ms,20300 KB
17406075,2016-04-20 19:13:09,665B - Shopping,Java 8,Accepted,156 ms,20500 KB
17405464,2016-04-20 19:03:09,665C - Simple Strings,Java 8,Accepted,156 ms,20500 KB
17003241,2016-03-28 21:03:24,639A - Bear and Displayed Friends,GNU C++,Time limit exceeded on pretest 8,2000 ms,8300 KB
17002594,2016-03-28 20:58:07,639A - Bear and Displayed Friends,GNU C++,Time limit exceeded on pretest 8,2000 ms,8300 KB
17000780,2016-03-28 20:44:14,639A - Bear and Displayed Friends,GNU C++,Time limit exceeded on pretest 8,2000 ms,4600 KB
16995109,2016-03-28 20:05:19,639A - Bear and Displayed Friends,GNU C++,Time limit exceeded on pretest 8,2000 ms,4400 KB
16850637,2016-03-21 09:22:17,638C - Road Improvement,GNU C++,Wrong answer on pretest 3,15 ms,6300 KB
16843436,2016-03-20 20:07:48,638C - Road Improvement,GNU C++,Wrong answer on pretest 3,15 ms,6500 KB
16842959,2016-03-20 19:38:33,638B - Making Genome in Berland,Java 7,Accepted,124 ms,38900 KB
16840990,2016-03-20 17:48:40,638C - Road Improvement,GNU C++,Wrong answer on pretest 12,780 ms,6100 KB
16837788,2016-03-20 15:17:16,638A - Home Numbers,Java 7,Accepted,140 ms,38400 KB
16823836,2016-03-19 19:49:00,645B - Mischievous Mess Makers,Java 7,Accepted,109 ms,38500 KB
16823795,2016-03-19 19:46:04,645B - Mischievous Mess Makers,Java 7,Wrong answer on test 7,93 ms,38400 KB
16823622,2016-03-19 19:33:30,645A - Amity Assessment,Java 7,Accepted,124 ms,38400 KB
16823582,2016-03-19 19:30:53,645A - Amity Assessment,Java 7,Wrong answer on test 1,61 ms,37800 KB
16823546,2016-03-19 19:28:59,645A - Amity Assessment,Java 7,Wrong answer on test 3,109 ms,38300 KB
16821094,2016-03-19 17:15:19,644B - Processing Queries,Java 7,Accepted,857 ms,38600 KB
16820948,2016-03-19 17:08:51,644B - Processing Queries,Java 7,Wrong answer on test 4,93 ms,38300 KB
16820916,2016-03-19 17:07:19,644A - Parliament of Berland,Java 7,Accepted,155 ms,38500 KB
16820866,2016-03-19 17:05:32,644A - Parliament of Berland,Java 7,Wrong answer on test 2,77 ms,37800 KB
16820850,2016-03-19 17:04:39,644A - Parliament of Berland,Java 7,Runtime error on test 1,46 ms,37400 KB
16820809,2016-03-19 17:03:11,644A - Parliament of Berland,Java 7,Wrong answer on test 2,124 ms,38300 KB
16820429,2016-03-19 16:47:40,644B - Processing Queries,Java 7,Runtime error on test 1,46 ms,37700 KB
16820417,2016-03-19 16:47:15,644A - Parliament of Berland,Java 7,Runtime error on test 1,93 ms,38300 KB
16697701,2016-03-13 17:59:19,637D - Running with Obstacles,Java 8,Memory limit exceeded on pretest 4,155 ms,262100 KB
16697623,2016-03-13 17:56:01,637D - Running with Obstacles,Java 8,Memory limit exceeded on pretest 4,140 ms,262100 KB
16697506,2016-03-13 17:51:30,637D - Running with Obstacles,Java 8,Wrong answer on pretest 3,124 ms,0 KB
16695941,2016-03-13 17:33:23,637A - Voting for Photos,GNU C++,Accepted,15 ms,0 KB
16695399,2016-03-13 17:11:51,637D - Running with Obstacles,Java 8,Wrong answer on pretest 3,140 ms,0 KB
16695197,2016-03-13 17:05:07,637D - Running with Obstacles,Java 8,Wrong answer on pretest 2,124 ms,0 KB
16695146,2016-03-13 17:03:19,637D - Running with Obstacles,Java 7,Compilation error,0 ms,0 KB
16695113,2016-03-13 17:02:00,637D - Running with Obstacles,Java 8,Compilation error,0 ms,0 KB
16694706,2016-03-13 16:46:58,637A - Voting for Photos,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
16694297,2016-03-13 16:32:16,637D - Running with Obstacles,Java 7,Wrong answer on pretest 3,108 ms,0 KB
16693473,2016-03-13 16:05:19,637B - Chat Order,Java 8,Accepted,1684 ms,27300 KB
16693437,2016-03-13 16:03:54,637B - Chat Order,Java 7,Runtime error on pretest 1,93 ms,0 KB
