ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:20622
21790504,2016-10-26 12:20:19,725D - Contest Balloons,GNU C++11,Time limit exceeded on test 8,3000 ms,1300 KB
21787439,2016-10-26 08:32:07,725A - Jumping Ball,GNU C++11,Accepted,109 ms,400 KB
21787271,2016-10-26 08:18:29,725A - Jumping Ball,GNU C++11,Wrong answer on test 5,93 ms,0 KB
21691313,2016-10-22 21:50:18,725B - Food on the Plane,GNU C++11,Accepted,15 ms,0 KB
21691257,2016-10-22 21:48:51,725B - Food on the Plane,GNU C++11,Wrong answer on test 7,15 ms,0 KB
21689639,2016-10-22 20:33:32,725B - Food on the Plane,GNU C++11,Wrong answer on pretest 7,0 ms,0 KB
21689509,2016-10-22 20:32:17,725B - Food on the Plane,GNU C++11,Wrong answer on pretest 2,15 ms,0 KB
21687957,2016-10-22 20:27:56,725B - Food on the Plane,GNU C++11,Wrong answer on pretest 4,15 ms,0 KB
21687908,2016-10-22 20:27:19,725B - Food on the Plane,GNU C++11,Wrong answer on pretest 1,0 ms,0 KB
20914318,2016-09-25 22:11:58,602A - Two Bases,GNU C++11,Accepted,15 ms,0 KB
20912569,2016-09-25 20:20:43,602A - Two Bases,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20910732,2016-09-25 18:20:43,602A - Two Bases,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20910633,2016-09-25 18:15:17,602A - Two Bases,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20910456,2016-09-25 18:04:16,602A - Two Bases,GNU C++11,Wrong answer on test 1,0 ms,0 KB
19125908,2016-07-14 20:50:26,697A - Pineapple Incident,GNU C++11,Accepted,15 ms,0 KB
19125799,2016-07-14 20:49:31,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 2,15 ms,0 KB
19125752,2016-07-14 20:49:09,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 2,0 ms,0 KB
19125365,2016-07-14 20:46:13,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 8,15 ms,0 KB
19125246,2016-07-14 20:45:13,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 5,15 ms,0 KB
19125076,2016-07-14 20:43:48,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 8,15 ms,0 KB
19124827,2016-07-14 20:41:45,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 1,15 ms,0 KB
19124143,2016-07-14 20:36:15,697A - Pineapple Incident,GNU C++11,Time limit exceeded on pretest 8,1000 ms,0 KB
19123981,2016-07-14 20:35:01,697B - Barnicle,GNU C++11,Wrong answer on test 29,15 ms,0 KB
19119087,2016-07-14 20:06:02,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 6,15 ms,0 KB
19118333,2016-07-14 20:02:19,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 4,0 ms,0 KB
19117688,2016-07-14 19:59:17,697A - Pineapple Incident,GNU C++11,Wrong answer on pretest 3,312 ms,0 KB
19064997,2016-07-13 09:32:30,689C - Mike and Chocolate Thieves,GNU C++11,Accepted,265 ms,7800 KB
18982958,2016-07-09 12:36:17,496B - Secret Combination,GNU C++11,Accepted,15 ms,0 KB
18982886,2016-07-09 12:31:27,496B - Secret Combination,GNU C++11,Wrong answer on test 8,15 ms,0 KB
18982787,2016-07-09 12:24:48,496B - Secret Combination,GNU C++11,Wrong answer on test 7,15 ms,0 KB
18982076,2016-07-09 11:43:29,496A - Minimum Difficulty,GNU C++11,Accepted,15 ms,0 KB
18837826,2016-07-01 12:31:39,688C - NP-Hard Problem,GNU C++11,Accepted,436 ms,4800 KB
18837807,2016-07-01 12:30:27,688C - NP-Hard Problem,GNU C++11,Wrong answer on test 7,15 ms,1600 KB
18837779,2016-07-01 12:28:44,688C - NP-Hard Problem,GNU C++11,Wrong answer on test 7,15 ms,1600 KB
18837666,2016-07-01 12:19:52,688C - NP-Hard Problem,GNU C++11,Memory limit exceeded on test 3,249 ms,262100 KB
18837630,2016-07-01 12:17:20,688C - NP-Hard Problem,GNU C++11,Memory limit exceeded on test 3,249 ms,262100 KB
18837621,2016-07-01 12:16:50,688C - NP-Hard Problem,GNU C++11,Memory limit exceeded on test 3,249 ms,262100 KB
18837542,2016-07-01 12:10:29,688C - NP-Hard Problem,GNU C++11,Memory limit exceeded on test 2,217 ms,262100 KB
18836399,2016-07-01 10:44:59,688A - Opponents,GNU C++11,Accepted,15 ms,0 KB
18836349,2016-07-01 10:41:03,688A - Opponents,GNU C++11,Wrong answer on test 1,15 ms,0 KB
18821346,2016-06-30 13:11:31,681C - Heap Operations,GNU C++11,Accepted,873 ms,21000 KB
18821232,2016-06-30 13:04:37,681C - Heap Operations,GNU C++11,Time limit exceeded on test 11,1000 ms,21000 KB
18820812,2016-06-30 12:37:32,681C - Heap Operations,GNU C++11,Wrong answer on test 10,811 ms,10700 KB
18820733,2016-06-30 12:31:47,681C - Heap Operations,GNU C++11,Wrong answer on test 10,780 ms,12500 KB
18820521,2016-06-30 12:17:26,681C - Heap Operations,GNU C++11,Runtime error on test 9,15 ms,1700 KB
18820460,2016-06-30 12:13:41,681C - Heap Operations,GNU C++11,Wrong answer on test 8,15 ms,1700 KB
18820412,2016-06-30 12:10:24,681C - Heap Operations,GNU C++11,Wrong answer on test 5,15 ms,1700 KB
18820360,2016-06-30 12:07:33,681C - Heap Operations,GNU C++11,Wrong answer on test 1,15 ms,1700 KB
18707215,2016-06-24 21:23:43,681B - Economy Game,GNU C++11,Accepted,15 ms,500 KB
18695408,2016-06-24 09:51:37,681B - Economy Game,GNU C++11,Wrong answer on test 3,951 ms,85800 KB
18695401,2016-06-24 09:51:08,681B - Economy Game,GNU C++11,Time limit exceeded on test 2,1000 ms,89900 KB
18695386,2016-06-24 09:50:03,681B - Economy Game,GNU C++11,Wrong answer on test 2,998 ms,84900 KB
18695380,2016-06-24 09:49:33,681B - Economy Game,GNU C++11,Compilation error,0 ms,0 KB
18695361,2016-06-24 09:48:28,681B - Economy Game,GNU C++11,Time limit exceeded on test 2,1000 ms,133900 KB
18695305,2016-06-24 09:45:03,681B - Economy Game,GNU C++11,Time limit exceeded on test 2,1000 ms,153500 KB
18695288,2016-06-24 09:44:06,681B - Economy Game,GNU C++11,Time limit exceeded on test 2,1000 ms,237600 KB
18695206,2016-06-24 09:38:05,681B - Economy Game,GNU C++11,Wrong answer on test 2,0 ms,0 KB
18695148,2016-06-24 09:34:45,681B - Economy Game,GNU C++11,Memory limit exceeded on test 2,498 ms,262100 KB
18694836,2016-06-24 09:13:12,681B - Economy Game,GNU C++11,Wrong answer on test 1,15 ms,0 KB
18694833,2016-06-24 09:12:50,681A - A Good Contest,GNU C++11,Wrong answer on test 1,0 ms,0 KB
18694693,2016-06-24 09:00:52,681A - A Good Contest,GNU C++11,Accepted,31 ms,0 KB
18636167,2016-06-21 23:13:05,682B - Alyona and Mex,GNU C++11,Accepted,280 ms,1000 KB
18635702,2016-06-21 22:32:10,682C - Alyona and the Tree,GNU C++11,Accepted,779 ms,35200 KB
18635446,2016-06-21 22:07:45,682C - Alyona and the Tree,GNU C++11,Wrong answer on test 5,15 ms,30300 KB
18633906,2016-06-21 20:10:07,682C - Alyona and the Tree,GNU C++11,Wrong answer on test 3,15 ms,25400 KB
18633895,2016-06-21 20:09:36,682C - Alyona and the Tree,GNU C++11,Wrong answer on test 1,0 ms,25600 KB
18627393,2016-06-21 12:34:34,682B - Alyona and Mex,GNU C++11,Compilation error,0 ms,0 KB
18627090,2016-06-21 12:09:32,682A - Alyona and Numbers,GNU C++11,Accepted,15 ms,0 KB
18627070,2016-06-21 12:08:23,682A - Alyona and Numbers,GNU C++11,Wrong answer on test 11,15 ms,0 KB
18411737,2016-06-13 14:43:43,680A - Bear and Five Cards,GNU C++11,Accepted,15 ms,2200 KB
18410721,2016-06-13 13:51:33,680C - Bear and Prime 100,GNU C++11,Accepted,15 ms,2200 KB
18410559,2016-06-13 13:43:40,680C - Bear and Prime 100,GNU C++11,Wrong answer on test 6,15 ms,2200 KB
18409902,2016-06-13 13:11:45,680B - Bear and Finding Criminals,GNU C++11,Accepted,15 ms,2200 KB
18409641,2016-06-13 12:57:35,118A - String Task,GNU C++11,Accepted,30 ms,2200 KB
18409456,2016-06-13 12:46:54,158A - Next Round,GNU C++11,Accepted,30 ms,2200 KB
18409442,2016-06-13 12:46:17,158A - Next Round,GNU C++11,Wrong answer on test 2,0 ms,2000 KB
18409271,2016-06-13 12:36:02,637A - Voting for Photos,GNU C++11,Accepted,15 ms,6100 KB
18409235,2016-06-13 12:34:24,637A - Voting for Photos,GNU C++11,Runtime error on test 4,15 ms,2200 KB
18387881,2016-06-12 13:03:28,643A - Bear and Colors,GNU C++11,Accepted,62 ms,2300 KB
18387598,2016-06-12 12:46:18,643A - Bear and Colors,GNU C++11,Wrong answer on test 1,0 ms,2100 KB
18387279,2016-06-12 12:23:30,675A - Infinite Sequence,GNU C++11,Accepted,15 ms,2200 KB
18387251,2016-06-12 12:20:58,675A - Infinite Sequence,GNU C++11,Wrong answer on test 4,0 ms,2000 KB
18387125,2016-06-12 12:11:31,675A - Infinite Sequence,GNU C++11,Wrong answer on test 5,15 ms,2000 KB
18387106,2016-06-12 12:09:58,675A - Infinite Sequence,GNU C++11,Runtime error on test 2,15 ms,2000 KB
18387029,2016-06-12 12:04:33,673A - Bear and Game,GNU C++11,Accepted,15 ms,2200 KB
18387023,2016-06-12 12:04:17,673A - Bear and Game,GNU C++11,Wrong answer on test 1,15 ms,2000 KB
18354403,2016-06-10 11:00:43,672A - Summer Camp,GNU C++11,Accepted,15 ms,2200 KB
18354123,2016-06-10 10:42:39,677A - Vanya and Fence,GNU C++11,Accepted,15 ms,2200 KB
18354058,2016-06-10 10:37:56,680A - Bear and Five Cards,GNU C++11,Accepted,15 ms,2200 KB
17761009,2016-05-06 15:24:53,670B - Game of Robots,GNU C++11,Time limit exceeded on test 13,1000 ms,6100 KB
17760982,2016-05-06 15:23:39,670C - Cinema,GNU C++11,Accepted,1934 ms,23300 KB
17760979,2016-05-06 15:23:24,670B - Game of Robots,GNU C++11,Wrong answer on test 1,0 ms,5900 KB
17760970,2016-05-06 15:22:51,670A - Holidays,GNU C++11,Accepted,31 ms,2200 KB
17341890,2016-04-16 17:49:23,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,421 ms,5000 KB
17341379,2016-04-16 17:09:45,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,405 ms,4100 KB
17148385,2016-04-03 19:54:40,659D - Bicycle Race,GNU C++11,Accepted,15 ms,2200 KB
17148363,2016-04-03 19:52:49,659D - Bicycle Race,GNU C++11,Wrong answer on test 7,15 ms,2100 KB
17148236,2016-04-03 19:42:30,659D - Bicycle Race,GNU C++11,Wrong answer on test 3,15 ms,2100 KB
17147971,2016-04-03 19:20:00,659C - Tanya and Toys,GNU C++11,Accepted,327 ms,2800 KB
17147931,2016-04-03 19:17:18,659C - Tanya and Toys,GNU C++11,Wrong answer on test 1,0 ms,2000 KB
17147695,2016-04-03 18:58:55,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,405 ms,19700 KB
17147662,2016-04-03 18:56:13,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,436 ms,11200 KB
17147630,2016-04-03 18:53:31,659B - Qualifying Contest,GNU C++11,Runtime error on test 6,420 ms,11400 KB
17138843,2016-04-03 06:00:17,659A - Round House,GNU C++11,Accepted,15 ms,2200 KB
17138827,2016-04-03 05:58:55,659A - Round House,GNU C++11,Wrong answer on test 3,0 ms,2000 KB
17138801,2016-04-03 05:55:53,659A - Round House,GNU C++11,Wrong answer on test 19,15 ms,2200 KB
16891517,2016-03-23 19:19:50,648C - Путь Робота,GNU C++11,Accepted,30 ms,2200 KB
16889862,2016-03-23 18:33:20,648B - Собери стол,GNU C++11,Accepted,30 ms,2600 KB
16889244,2016-03-23 18:20:18,648A - Наибольший подъем,GNU C++11,Accepted,15 ms,2200 KB
16889202,2016-03-23 18:19:29,648A - Наибольший подъем,GNU C++11,Runtime error on pretest 1,15 ms,2200 KB
16880955,2016-03-23 08:49:27,646A - Три брата,GNU C++11,Accepted,15 ms,2000 KB
16312209,2016-02-24 19:07:47,629B - Far Relative’s Problem,GNU C++11,Accepted,31 ms,100 KB
16312129,2016-02-24 19:03:28,629B - Far Relative’s Problem,GNU C++11,Wrong answer on test 1,0 ms,100 KB
16311897,2016-02-24 18:50:49,629A - Far Relative’s Birthday Cake,GNU C++11,Accepted,31 ms,0 KB
16311150,2016-02-24 18:10:18,630A - Again Twenty Five!,GNU C++11,Accepted,15 ms,0 KB
15983585,2016-02-13 11:04:35,586C - Gennady the Dentist,GNU C++11,Accepted,62 ms,200 KB
15983548,2016-02-13 11:01:19,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 56,46 ms,200 KB
15983528,2016-02-13 10:59:24,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 56,46 ms,100 KB
15983255,2016-02-13 10:39:56,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15982580,2016-02-13 09:44:01,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 13,15 ms,100 KB
15982575,2016-02-13 09:43:30,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 1,0 ms,200 KB
15961643,2016-02-11 21:11:52,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 12,15 ms,100 KB
15961604,2016-02-11 21:09:44,586C - Gennady the Dentist,GNU C++11,Wrong answer on test 1,0 ms,200 KB
