ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:19819
21768058,2016-10-25 12:51:24,427C - Checkposts,GNU C++14,Accepted,1029 ms,23300 KB
21751899,2016-10-24 18:42:55,731C - Socks,GNU C++14,Accepted,1154 ms,30600 KB
21721481,2016-10-23 22:54:19,725B - Food on the Plane,GNU C++14,Accepted,31 ms,0 KB
21721344,2016-10-23 22:46:34,725B - Food on the Plane,GNU C++14,Wrong answer on test 87,15 ms,0 KB
21720932,2016-10-23 22:29:40,725B - Food on the Plane,GNU C++14,Wrong answer on test 2,15 ms,0 KB
21720035,2016-10-23 21:52:54,725B - Food on the Plane,GNU C++14,Wrong answer on test 7,0 ms,0 KB
21717711,2016-10-23 19:59:06,725A - Jumping Ball,GNU C++14,Accepted,62 ms,500 KB
21717608,2016-10-23 19:53:55,725A - Jumping Ball,GNU C++14,Runtime error on test 6,46 ms,500 KB
21715086,2016-10-23 17:37:14,731C - Socks,GNU C++14,Wrong answer on test 6,701 ms,2300 KB
21714858,2016-10-23 17:25:05,731C - Socks,GNU C++14,Wrong answer on test 6,702 ms,2300 KB
21714706,2016-10-23 17:16:46,731C - Socks,GNU C++14,Wrong answer on test 6,686 ms,2300 KB
21714411,2016-10-23 17:01:58,731C - Socks,GNU C++14,Wrong answer on test 5,0 ms,0 KB
21671662,2016-10-22 18:12:48,723A - The New Year: Meeting Friends,GNU C++14,Accepted,15 ms,0 KB
21667881,2016-10-22 16:23:03,724A - Checking the Calendar,GNU C++14,Accepted,15 ms,0 KB
21662936,2016-10-22 12:49:21,731B - Coupons and Discounts,GNU C++14,Accepted,296 ms,800 KB
21662871,2016-10-22 12:46:52,731B - Coupons and Discounts,GNU C++14,Wrong answer on test 2,15 ms,0 KB
21662742,2016-10-22 12:41:34,731B - Coupons and Discounts,GNU C++14,Wrong answer on test 8,233 ms,800 KB
21652479,2016-10-21 23:19:56,731A - Night at the Museum,GNU C++14,Accepted,31 ms,0 KB
21651944,2016-10-21 22:52:31,732D - Exams,GNU C++14,Accepted,218 ms,400 KB
21649875,2016-10-21 21:19:13,732C - Sanatorium,GNU C++14,Accepted,30 ms,0 KB
21649833,2016-10-21 21:17:20,732C - Sanatorium,GNU C++14,Wrong answer on test 40,15 ms,0 KB
21573314,2016-10-18 19:50:58,732B - Cormen --- The Best Friend Of a Man,GNU C++14,Accepted,15 ms,1900 KB
21556675,2016-10-18 07:05:44,732A - Buy a Shovel,GNU C++14,Accepted,15 ms,1900 KB
21121919,2016-10-02 20:56:57,722B - Verse Pattern,GNU C++14,Accepted,15 ms,0 KB
21120145,2016-10-02 19:34:16,722A - Broken Clock,GNU C++,Accepted,30 ms,0 KB
20158993,2016-08-25 19:16:41,362B - Petya and Staircases,GNU C++,Accepted,15 ms,2100 KB
20158877,2016-08-25 19:10:24,362B - Petya and Staircases,GNU C++,Runtime error on test 9,31 ms,2100 KB
20158832,2016-08-25 19:08:03,362B - Petya and Staircases,GNU C++,Runtime error on test 8,30 ms,2100 KB
20086023,2016-08-23 16:05:08,276B - Little Girl and Game,GNU C++,Accepted,30 ms,2000 KB
20001918,2016-08-20 17:45:24,707B - Bakery,GNU C++,Hacked,15 ms,2700 KB
20001090,2016-08-20 17:39:17,707B - Bakery,GNU C++,Wrong answer on pretest 10,15 ms,2100 KB
19986149,2016-08-20 16:15:42,707A - Brain's Photos,GNU C++,Accepted,30 ms,2000 KB
19985264,2016-08-20 16:13:14,707A - Brain's Photos,GNU C++,Skipped,15 ms,2000 KB
19985256,2016-08-20 16:13:12,707A - Brain's Photos,GNU C++,Skipped,15 ms,2000 KB
18463907,2016-06-14 20:07:50,681B - Economy Game,GNU C++,Wrong answer on pretest 3,15 ms,2000 KB
18458977,2016-06-14 19:45:33,681A - A Good Contest,GNU C++,Accepted,15 ms,2200 KB
18399436,2016-06-12 22:57:57,432B - Football Kit,GNU C++,Accepted,452 ms,3000 KB
18364218,2016-06-10 22:17:44,486B - OR in Matrix,GNU C++,Accepted,30 ms,2200 KB
18364112,2016-06-10 22:06:53,486B - OR in Matrix,GNU C++,Wrong answer on test 10,15 ms,2300 KB
18348529,2016-06-10 00:07:31,259B - Little Elephant and Magic Square,GNU C++,Accepted,30 ms,2200 KB
18347995,2016-06-09 23:22:00,448B - Suffix Structures,GNU C++,Accepted,15 ms,2200 KB
18347417,2016-06-09 22:33:42,285B - Find Marble,GNU C++,Accepted,374 ms,2500 KB
18346018,2016-06-09 20:55:34,265B - Roadside Trees (Simplified Edition),GNU C++,Accepted,372 ms,2400 KB
18344906,2016-06-09 19:36:59,450B - Jzzhu and Sequences,GNU C++,Accepted,15 ms,2200 KB
18344797,2016-06-09 19:29:43,450B - Jzzhu and Sequences,GNU C++,Wrong answer on test 3,15 ms,2000 KB
18342157,2016-06-09 16:33:11,454B - Little Pony and Sort by Shift,GNU C++,Accepted,202 ms,2600 KB
18341650,2016-06-09 15:58:39,507B - Amr and Pins,GNU C++,Accepted,15 ms,2200 KB
18339074,2016-06-09 12:52:44,447B - DZY Loves Strings,GNU C++,Accepted,15 ms,2200 KB
