ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:19862
20994983,2016-09-29 17:24:39,710E - Generate a String,GNU C++11,Accepted,124 ms,78300 KB
20994962,2016-09-29 17:23:55,710E - Generate a String,GNU C++11,Wrong answer on test 6,15 ms,0 KB
20994913,2016-09-29 17:21:43,710E - Generate a String,GNU C++11,Wrong answer on test 6,15 ms,0 KB
20994882,2016-09-29 17:20:20,710E - Generate a String,GNU C++11,Wrong answer on test 1,0 ms,0 KB
20994822,2016-09-29 17:18:03,710E - Generate a String,GNU C++11,Wrong answer on test 1,15 ms,0 KB
20994432,2016-09-29 17:02:53,710E - Generate a String,GNU C++11,Wrong answer on test 6,15 ms,0 KB
20994354,2016-09-29 17:00:21,710E - Generate a String,GNU C++11,Wrong answer on test 6,15 ms,0 KB
19998110,2016-08-20 17:18:39,707B - Bakery,GNU C++11,Accepted,795 ms,6700 KB
19987683,2016-08-20 16:22:00,707A - Brain's Photos,GNU C++11,Accepted,15 ms,2000 KB
19643461,2016-08-05 07:31:08,703B - Mishka and trip,GNU C++11,Wrong answer on test 5,15 ms,2000 KB
19632902,2016-08-04 20:01:57,703B - Mishka and trip,GNU C++11,Time limit exceeded on pretest 10,1000 ms,2800 KB
19622962,2016-08-04 18:39:23,703A - Mishka and Game,GNU C++11,Accepted,30 ms,2000 KB
19388627,2016-07-24 21:28:53,701C - They Are Everywhere,GNU C++11,Accepted,31 ms,200 KB
19388341,2016-07-24 21:05:46,701C - They Are Everywhere,GNU C++11,Wrong answer on test 17,30 ms,200 KB
19387638,2016-07-24 20:02:48,701B - Cells Not Under Attack,GNU C++,Accepted,811 ms,6300 KB
19387217,2016-07-24 19:32:05,701A - Cards,GNU C++,Accepted,30 ms,0 KB
19384104,2016-07-24 15:54:50,676A - Nicholas and Permutation,GNU C++,Accepted,30 ms,0 KB
19370146,2016-07-23 21:15:52,680B - Bear and Finding Criminals,GNU C++,Accepted,15 ms,0 KB
19370082,2016-07-23 21:11:56,680B - Bear and Finding Criminals,GNU C++,Wrong answer on test 1,15 ms,0 KB
19369705,2016-07-23 20:47:52,680A - Bear and Five Cards,GNU C++,Wrong answer on test 5,15 ms,0 KB
19154402,2016-07-15 16:25:30,691A - Fashion in Berland,GNU C++,Accepted,15 ms,0 KB
19154337,2016-07-15 16:22:39,691A - Fashion in Berland,GNU C++,Wrong answer on test 13,15 ms,0 KB
18687729,2016-06-23 22:56:57,685B - Kay and Snowflake,GNU C++,Time limit exceeded on test 3,3000 ms,4000 KB
18687525,2016-06-23 22:50:40,686D - Kay and Snowflake,GNU C++,Time limit exceeded on test 3,3000 ms,4000 KB
18672248,2016-06-23 19:52:08,686A - Free Ice Cream,GNU C++,Accepted,15 ms,0 KB
18193488,2016-06-01 20:14:34,677B - Vanya and Food Processor,GNU C++,Time limit exceeded on test 14,1000 ms,2400 KB
18189747,2016-06-01 19:51:33,677A - Vanya and Fence,GNU C++,Accepted,15 ms,2100 KB
