ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:21748
21675570,2016-10-22 18:34:55,725A - Jumping Ball,GNU C++,Accepted,61 ms,500 KB
21542121,2016-10-17 19:27:14,732C - Sanatorium,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
21539730,2016-10-17 19:05:37,732C - Sanatorium,GNU C++,Wrong answer on pretest 4,15 ms,2000 KB
21531469,2016-10-17 18:10:35,732B - Cormen --- The Best Friend Of a Man,GNU C++,Accepted,31 ms,2000 KB
21527660,2016-10-17 17:54:23,732A - Buy a Shovel,GNU C++,Accepted,15 ms,2000 KB
9896963,2015-02-17 20:42:08,515B - Drazil and His Happy Friends,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
9895922,2015-02-17 20:33:22,515B - Drazil and His Happy Friends,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
9889016,2015-02-17 19:52:27,515A - Drazil and Date,GNU C++,Accepted,30 ms,0 KB
9462028,2015-01-18 17:17:36,505B - Mr. Kitayuta's Colorful Graph,GNU C++,Accepted,15 ms,0 KB
9461296,2015-01-18 17:07:11,505B - Mr. Kitayuta's Colorful Graph,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
9460729,2015-01-18 16:59:43,505B - Mr. Kitayuta's Colorful Graph,GNU C++,Wrong answer on pretest 3,0 ms,0 KB
9460208,2015-01-18 16:52:54,505B - Mr. Kitayuta's Colorful Graph,GNU C++,Wrong answer on pretest 6,15 ms,0 KB
9457393,2015-01-18 16:22:55,505A - Mr. Kitayuta's Gift,GNU C++,Accepted,30 ms,0 KB
9360535,2015-01-04 17:31:36,499C - Crazy Town,GNU C++,Wrong answer on test 3,15 ms,0 KB
9360532,2015-01-04 17:30:39,499C - Crazy Town,GNU C++,Accepted,31 ms,0 KB
9358860,2015-01-04 12:58:52,499C - Crazy Town,GNU C++,Wrong answer on test 3,15 ms,0 KB
9358830,2015-01-04 12:53:55,499C - Crazy Town,GNU C++,Wrong answer on test 3,15 ms,0 KB
9358819,2015-01-04 12:52:36,499C - Crazy Town,GNU C++,Wrong answer on test 3,31 ms,0 KB
9358720,2015-01-04 12:34:08,499B - Lecture,GNU C++,Accepted,31 ms,600 KB
9358705,2015-01-04 12:31:35,499B - Lecture,GNU C++,Wrong answer on test 1,15 ms,100 KB
9358695,2015-01-04 12:29:37,499B - Lecture,GNU C++,Wrong answer on test 1,15 ms,100 KB
9358659,2015-01-04 12:21:26,499A - Watching a movie,GNU C++,Accepted,31 ms,0 KB
9358572,2015-01-04 12:02:32,499A - Watching a movie,GNU C++,Wrong answer on test 3,15 ms,0 KB
9358565,2015-01-04 12:01:00,499A - Watching a movie,GNU C++,Wrong answer on test 3,15 ms,0 KB
9131370,2014-12-14 17:26:01,495C - Treasure,GNU C++,Accepted,124 ms,300 KB
9129364,2014-12-14 14:33:39,495C - Treasure,GNU C++,Wrong answer on test 14,46 ms,300 KB
9124528,2014-12-14 08:45:12,495A - Digital Counter,GNU C++,Accepted,15 ms,0 KB
9114398,2014-12-13 20:54:00,495B - Modular Equations,GNU C++,Accepted,62 ms,0 KB
9113518,2014-12-13 20:45:34,495B - Modular Equations,GNU C++,Skipped,218 ms,0 KB
9112677,2014-12-13 20:37:34,495B - Modular Equations,GNU C++,Wrong answer on pretest 6,93 ms,0 KB
9111931,2014-12-13 20:31:42,495B - Modular Equations,GNU C++,Wrong answer on pretest 6,93 ms,0 KB
9106987,2014-12-13 19:54:54,495A - Digital Counter,GNU C++,Hacked,31 ms,0 KB
9105504,2014-12-13 19:46:23,495A - Digital Counter,GNU C++,Wrong answer on pretest 5,15 ms,0 KB
9104940,2014-12-13 19:43:15,495A - Digital Counter,GNU C++,Wrong answer on pretest 5,0 ms,0 KB
8821208,2014-11-23 14:38:25,490B - Queue,GNU C++,Accepted,389 ms,7200 KB
8819120,2014-11-23 14:08:29,490B - Queue,GNU C++,Wrong answer on pretest 7,15 ms,400 KB
8819011,2014-11-23 14:06:51,490B - Queue,GNU C++,Memory limit exceeded on pretest 7,997 ms,262100 KB
8817588,2014-11-23 13:44:24,490B - Queue,GNU C++,Memory limit exceeded on pretest 7,1013 ms,262100 KB
8816162,2014-11-23 13:22:04,490B - Queue,GNU C++,Wrong answer on pretest 3,15 ms,800 KB
8815371,2014-11-23 13:11:37,490C - Hacking Cypher,GNU C++,Time limit exceeded on test 42,1000 ms,2100 KB
8813190,2014-11-23 12:42:07,490B - Queue,GNU C++,Compilation error,0 ms,0 KB
8812691,2014-11-23 12:35:48,490B - Queue,GNU C++,Runtime error on pretest 3,15 ms,900 KB
8812512,2014-11-23 12:33:19,490B - Queue,GNU C++,Runtime error on pretest 3,15 ms,0 KB
8810716,2014-11-23 12:16:43,490A - Team Olympiad,GNU C++,Accepted,31 ms,100 KB
8133550,2014-10-07 21:40:50,474D - Flowers,GNU C++,Wrong answer on test 3,15 ms,800 KB
8133541,2014-10-07 21:39:50,474D - Flowers,GNU C++,Accepted,342 ms,800 KB
8133528,2014-10-07 21:39:05,474D - Flowers,GNU C++,Accepted,389 ms,800 KB
8133516,2014-10-07 21:37:28,474D - Flowers,GNU C++,Accepted,327 ms,800 KB
8132430,2014-10-07 19:43:24,474D - Flowers,GNU C++,Wrong answer on test 3,15 ms,800 KB
8132354,2014-10-07 19:37:08,474D - Flowers,GNU C++,Wrong answer on test 3,15 ms,800 KB
8116688,2014-10-06 20:46:28,474D - Flowers,GNU C++,Wrong answer on pretest 3,15 ms,800 KB
8112618,2014-10-06 20:01:10,474B - Worms,GNU C++,Accepted,373 ms,800 KB
8111373,2014-10-06 19:52:44,474A - Keyboard,GNU C++,Accepted,46 ms,0 KB
5757496,2014-01-20 21:23:06,384D - Volcanoes,GNU C++,Runtime error on pretest 4,93 ms,262100 KB
5756123,2014-01-20 21:03:29,384C - Milking cows,GNU C++,Accepted,78 ms,800 KB
5755048,2014-01-20 20:48:36,384B - Multitasking,GNU C++,Wrong answer on pretest 3,15 ms,0 KB
5754885,2014-01-20 20:46:16,384B - Multitasking,GNU C++,Wrong answer on pretest 2,15 ms,0 KB
5753936,2014-01-20 20:32:16,384B - Multitasking,GNU C++,Wrong answer on pretest 1,0 ms,0 KB
5748226,2014-01-20 19:38:03,384A - Coder,GNU C++,Accepted,62 ms,0 KB
5747657,2014-01-20 19:35:36,384A - Coder,GNU C++,Wrong answer on pretest 1,15 ms,0 KB
5669966,2014-01-12 20:01:25,381B - Sereja and Stairs,GNU C++,Accepted,46 ms,400 KB
5667038,2014-01-12 19:38:34,381A - Sereja and Dima,GNU C++,Accepted,15 ms,0 KB
5578986,2013-12-30 20:18:03,379C - New Year Ratings Change,GNU C++,Time limit exceeded on test 26,1000 ms,7000 KB
5577139,2013-12-30 20:02:50,379B - New Year Present,GNU C++,Accepted,15 ms,0 KB
5573619,2013-12-30 19:43:43,379A - New Year Candles,GNU C++,Accepted,15 ms,0 KB
5571302,2013-12-30 19:35:40,379A - New Year Candles,GNU C++,Wrong answer on pretest 4,15 ms,0 KB
5109087,2013-11-14 21:27:32,362C - Insertion Sort,GNU C++,Time limit exceeded on pretest 6,2000 ms,100 KB
